date_time,city,state,shape,duration,summary
5/16/21 09:54,Vincent,AL,Light,35 minutes,Two objects were headed towards each other then they stopped abruptly. They headed east and 3 other objects came from the east and stop
5/9/21 23:30,Mobile,AL,Circle,3 min,Orange Light Over Mobile AL
4/27/21 10:22,Gulf Shores,AL,Sphere,10 minutes,Flashing white light hovering near an airport before jetting away at well over 1000 miles an hour without sound.
4/11/21 20:35,Altoona,AL,Other,3 minutes,Orbital object over N. Alabama that twice came to stop and made sudden course corrections
3/5/21 23:00,Bessemer,AL,Triangle,8 minutes,DEATH STAR came to mind electrical fire colored lights really white/blue
2/20/21 10:15,Fort Payne,AL,Cylinder,1 minute,Shiny UFO over Fort Payne
2/13/21 19:53,Citronelle,AL,Other,7 minutes,"The sky lights up along the horizon light flashes numerous times. Tonight it happened for seven minutes.

This is not the only time i"
2/9/21 19:30,Silas,AL,Sphere,15 minutes,Three Orange round Shapes Appear in Silas Alabama three separate times. ((NUFORC Note: Launch of SLBM from a submarine?? PD))
12/26/20 18:20,Decatur,AL,Light,45 seconds,single white light rapidly blinking. Decatur Alabama 6:20 pm. clear night stars were out. total view time approximately 45 seconds. dir
12/1/20 17:50,Birmingham,AL,Light,10 seconds,Bright light moving sporadically up and down and across the sky
11/30/20 00:40,Huntsville,AL,Light,5-10 seconds,Saw a teal light  thought it was lightening at first but the teal color was solid and stayed there for a few seconds and blinked a few
11/7/20,Columbia,AL,Disk,8 seconds,at Farley Nuclear plant I was walking outside and saw a slow moving object flying at a slow speed not too far in the sky. It startled
10/16/20 21:35,Billingsley,AL,Circle,45 minutes,Several round pulsating stationary crafts with red green yellow orange lights.
10/13/20 20:30,robertsdale,AL,Changing,10 minutes,DIRECTLY over our house one appeared and was a visible UFO.
10/8/20 05:20,Baileyton,AL,Light,~1 minute,"There were three lights 2 brilliant blue Lights on the sides and 1 green/blue large light in the middle.

None of the lights flashed"
10/1/20 05:00,Moundville,AL,Changing,30 minutes,It wasn't the normal star. It was strobing and sparkling like a sparkler and it was lower than a star .All the years that I've lived h
9/28/20 15:00,Athens,AL,Other,5 seconds,A command module looking craft.
9/26/20 00:34,Huntsville,AL,Light,1 minute,A flying object was seen traveling SW slowly in a straight line. The object had one red and two green flashing lights. The object insta
9/11/20 20:20,Huntsville,AL,Light,30 seconds,Two white point sources of light (one and then another) rose straight up from NW horizon and slowly faded in brightness while veering o
9/4/20 21:30,Gulf Shores,AL,Light,15 seconds,Light seen moving erratically above cloud layer through NVGs. Gulf Shores AL
8/19/20 22:00,Fort Morgan,AL,Circle,10 seconds,Stationary large orange red lights one light moving out from another to become to separate lights
8/19/20 16:15,Huntsville,AL,Light,15-20 minutes,Saw 1 bright light that dimmed out & got really bright in an erratic manner the movement was unlike a plane or anything Ive ever seen
8/18/20 22:00,Gulf Shores,AL,Cylinder,1 hour,Looking out at the stars son and I noticed red craft come on like a beacon go off about six times then it did this with several times c
8/14/20 13:30,Mobile,AL,Rectangle,15 seconds,Rectangle dark object hovering and disappearing
8/8/20 13:00,Daphne,AL,Sphere,few minutes,Very reflective or pulsating white light seen above Daphne AL in broad daylight.
8/2/20 01:45,Satsuma,AL,Circle,40 seconds,I was on my patio watching tv. I looked over and saw 2 round discs of lights that hovered and then both shot out of view. I recorded th
8/1/20 22:50,Madison,AL,Light,~10 seconds,Ball of light in an upward arc trajectory.
7/31/20 23:00,Spanish Fort,AL,Changing,15 minutes,Two stars move one transforms into a triangular object. It moves multiple times then rockets off through the earth's atmosphere
7/26/20 19:45,Birmingham,AL,Light,20-30 minutes,High flying slow moving object that seemed to be floating then was destroyed and disappeared
7/21/20 08:45,Axis,AL,Oval,2 minutes,White craft move west to east at high speed f 16 cam from north east turned hard left chased craft about a 1/4 mile from me about 2000
7/10/20 22:00,Deatsville,AL,Circle,2 minutes,A black circle in the night sky shoots beam of light out of its side.
7/4/20 21:30,Anniston,AL,Circle,15 minutes,We saw a red object coming at a high speed of velocity from the southeast region of the sky. It grew larger as it came closer and stopp
7/4/20 20:00,Huntsville,AL,Circle,10-15 minutes,I saw what looked like a ball of fire. It was moving faster than an airplane. As it got closer to the fireworks it went black. I watche
7/2/20 21:30,Fort Payne,AL,Circle,20 minutes,It was bright red and move before it disappeared.
6/18/20 03:00,Oneonta,AL,Circle,10-15 seconds,3 AM 6 bright lights rotating in perfect circle made no noise
6/11/20 12:00,Altoona,AL,Other,6 minutes,Me and my nephew were out talking. We saw two square objects with flashing red lights. One was following the other. In sync came low.
6/10/20 19:00,Enterprise,AL,Disk,25,Green glowing aircraft
5/25/20 21:00,Trussville,AL,Triangle,2 minutes,UFO hovered over my car.
5/13/20 23:50,Pike rd,AL,Cylinder,1.5 seconds,As soon I as I started to get off of the exit I saw a huge cylinder object flash light lightning with bright blue light heading at down
4/30/20 22:00,Lincoln,AL,Other,10-15 minutes,Lights moving across the night sky. ((Starlink satellites?))
4/29/20 21:00,Birmingham,AL,Circle,Night,About 20 Craftsin the sky moving at a fast rate in a single filed line. ((Starlink satellites??))
