date_time,city,state,shape,duration,summary
3/17/21 23:00,Chugiak,AK,Light,2 minutes,Blue lights in sky
11/30/20 18:20,Lahaina,AK,Circle,5-10 seconds,Circular pattern of lights.
11/10/20 03:00,Esther,AK,Cigar,5 minutes,Large craft with several circular lights surrounding it.
10/30/20 02:45,Palmer,AK,Light,10 seconds,I have video
10/3/20 18:00,Anchorage,AK,Circle,over a month already,bright orange UFO moving around all night. ((NUFORC Note: Possibly a planet?? PD))
9/7/20 04:45,Anchorage,AK,Circle,20 minutes,3 circular orange lights that were extremely bright they didn’t move they just hovered and one of the circles was close to the moon. I
9/6/20 23:45,Ketchikan,AK,Light,1 hour,A bright light that seems to disappear when I zoomed in on the object.. Sometimes disappearing though this time it looked as if it almo
8/22/20 01:00,Anchorage Ak,AK,Circle,1 minute,One craft seen much lower and moving slower than satellite. Changed direction through the clouds. Bright orange light in the distance t
8/21/20 10:15,Anchorage,AK,Disk,10-12 minutes,Elmendorf Airbase launched 3 F-22 jets with afterburners which caught my attention. The jets were going up vertical and the first jet
8/20/20 04:00,Anchorage,AK,Triangle,45 minutes,Spinning pyramid with red green blue lights turned yellow in orbit then gone to stars
8/17/20 00:30,Bethel,AK,Triangle,3-4 minutes,Black Triangle UFO in Alaska
3/30/20 21:30,Seward,AK,Light,Several hours,Reports from witnesses in different locations confirm seeing 4 objects with flashing colored lights hovering over resurrection bay
3/30/20 01:18,Point Makenzie,AK,Light,30 minutes,I don't know if I'm correct but I just stare at it for a good couple seconds and it moves around.
3/23/20 12:00,Juneau,AK,Changing,30 minutes,Yellow light craft That changes shapes over Juneau Airport area
3/12/20 20:57,Eagle River,AK,Circle,4 minutes,Two bright flying objects flying above Eagle River
3/6/20 05:30,Point Mackenzie,AK,Unknown,2-12 seconds,I only heard it it sounded like a jet at a speed close to or exceeding that of the speed of sound
2/29/20 00:00,Wasilla,AK,Triangle,Unknown,Went to walk my dog and a UFO was not very far away.
2/24/20 04:30,North Pole,AK,Unknown,10 minutes,Yellowish sphere with light and a haze to it stopped went back the direction it came from. ((anonymous report))
2/15/20 19:00,Knik,AK,Oval,2-3 hours,Very bright stationary light.
