date_time,city,state,shape,duration,summary
5/6/21 22:00,Bauxite,AR,Formation,5 minutes,String of objects silently moving through the night sky
5/6/21 21:50,Fayetteville,AR,Sphere,2 minutes,Looking towards the west sky I saw several oval shaped glowing vessels in kind of a line. They were not making any sound but seemed cl
5/6/21 21:30,Flippin,AR,Circle,5-10 minutes,30 bright objects moving in a wave motion and 1 by 1 disappearing up into the sky.
4/25/21 17:00,Hot Springs,AR,Triangle,2 minutes,We saw what looked like a big triangle shaped mirror and I'm assuming you could only see it when the light was shining on it right beca
4/15/21 05:13,Jonesboro,AR,,,MADAR Node 143
3/14/21 16:27,Jonesboro,AR,,,MADAR Node 143
3/2/21 21:30,Fayetteville,AR,Other,5 minutes,I had just gotten my children out of our minivan. I was holding my 2year old and following my 5 year old. Looking ahead of the sidewal
2/28/21 16:06,Jonesboro,AR,,,MADAR Node 143
2/1/21 17:02,Jonesboro,AR,,,MADAR Node 143
1/18/21 05:47,Jonesboro,AR,Other,45 min,We went to home depot at 5 o'clock while in the store my 12 year old son was in the car with my wife and two other kids as my son start
1/17/21 22:00,Springdale,AR,Other,10 seconds,I saw a white streak of light with what looked like a ball of white fire in the front for maybe 5 seconds. It arched upward and then fl
1/4/21 05:30,Jonesboro,AR,,,MADAR Node 143
1/3/21 01:00,Hampton,AR,Circle,,Have videos of UFO the light on it would be bright and then go dim there appeared to be smaller ones nearby it.
12/31/20 04:33,Jonesboro,AR,,,MADAR Node 143
12/27/20 19:15,Hensley,AR,Formation,1 hour,I noticed what I thought was a satellite in the sky above my housemy daughter pointed out that there were several others.they were mov
12/26/20 23:50,Waldron,AR,Light,5 seconds,It was a green light with a trail traveling at an insane speed I have seen shooting stars and this was not one of them.
12/3/20 21:02,Jonesboro,AR,,,MADAR Node 143
12/1/20 05:09,Jonesboro,AR,,,MADAR Node 143
11/25/20 21:30,Hampton,AR,Light,10 min,There was a white light to the southwest looking towards union County that flickered and zig zagged right above tree line of our pastur
11/22/20 09:46,Jonesboro,AR,,,MADAR Node 143
11/16/20 00:00,Hamburg,AR,Formation,1.5 hours,Silent dimly lit lights forming the shape of some type of aircraft moving relatively fast across the night sky.
11/10/20 11:54,Jonesboro,AR,,,MADAR Node 143
10/18/20 00:51,Jonesboro,AR,,,MADAR Node 143
10/14/20 09:48,Littlerock,AR,,,MADAR Node 56
10/13/20 20:20,Russellville,AR,Light,~ 2 minutes,I was fishing just west of the Shiloh ball fields when I noticed a non flashing yellowish white orb that was somewhat erratically flyin
10/5/20 14:12,Littlerock,AR,,,MADAR Node 56
9/30/20 22:45,Huntsville,AR,Diamond,2-3 minutes,Diamond shaped UFO 4 white lights on each corner back one slowly fading in/out white to yellow. Electric humming & unusual dog howls
9/30/20 05:08,Jonesboro,AR,,,MADAR Node 143
9/28/20 14:50,Winslow,AR,Light,5 minutes,We saw a pulsating and hovering bright light in the sky near I-49 at exit 40 to the east and again at exit 45 to the west that had trai
9/27/20 07:14,Flippin,AR,Light,1 minute,Green light appears and disappears followed by the sound of a jet
9/26/20 21:00,Cotter,AR,Other,5 minutes,Oval/triangle/filled in boomerang shaped spacecraft. Lights flashing in a row noises too loud for aircraft and for its size.
9/26/20 03:00,South Bend/Jacksonville,AR,Diamond,15 minutes,Saturday morning around 3am I was on my front deck looking out into the hay field across the street. It completely dark except for the
9/19/20 13:46,Jonesboro,AR,,,MADAR Node 143
9/11/20 00:00,Cabot,AR,Other,1 hour,A red object flying in the sky seen spinning at a very fast rate and still photos show a circle with another circle inside it.
8/25/20 21:00,Fayetteville,AR,Diamond,30-45 seconds,4 flashing white lights in a diamond pattern and then there were 5
8/25/20 19:15,Fayetteville,AR,Other,4 minutes,Large cluster of slowly moving fast blinking lights moving south to north in sky over S.E. Fayetteville AR.
8/23/20 23:00,LITTLE ROCK,AR,Light,20 minutes,Unexplained light in sky that lasted for 20 minutes.
8/16/20 18:30,Sardis,AR,Triangle,2 minutes,Triangular shaped craft multiple lights very bright hovered over some trees for a while then disappeared.
8/9/20 10:30,Hot springs,AR,Triangle,,Three white lights in a triangle formation.
8/7/20 09:30,Mountain View,AR,Light,30 minutes,Out in an area with no light pollution. Incredible lights shooting across the the night sky then dissapearing. Also small lights trav
7/24/20 21:13,Siloam Springs,AR,Triangle,1 minute,White lights alternating in a triangular motion.
7/13/20 05:04,Fayetteville,AR,,,MADAR Node 136
7/13/20 00:15,West Fork,AR,Light,2 seconds,Fast red light faster than a plane changed from red to white; then another white light moved in opposite direction.
7/4/20 17:00,Ola,AR,Circle,5 minutes,bright circle object
7/1/20 21:00,Hope,AR,Rectangle,20 minutes,Seen many fast moving red/white lights in the sky thn a drone type thing with green and red lights chased us for 4 minutes.. this happe
6/17/20 22:00,Marshall,AR,Light,20 minutes,Multiple fast moving pulsing objects doing crazy maneuvers.
