date_time,city,state,shape,duration,summary
5/19/21 01:00,Sharon Connecticut,CT,Light,1 hour,Strange star over northwestern connecticut
5/2/21 20:45,Westport,CT,Unknown,30 seconds,Unusual path and abrupt changes of direction by a star-like object in the sky
4/26/21 00:30,New Britain,CT,Unknown,3 seconds,Chrome blue light moving quickly and curving from northwest to dew north.
4/23/21 20:55,Branford,CT,Fireball,2 minutes,"Bright orange fireball moving slow speed over trees, hovering and disappearing. Second encounter recorded, clear sky and moonlight."
4/20/21 21:30,Hartford,CT,Formation,1 minute,3 red bright light dots in line then form a triangle form and disappear in the sky
4/8/21 00:30,Ellington/Somers,CT,Light,5,"Intensely bright white light steadily hovering in place–no other lights. Checked against tree to be sure not moving, it was not. Watch"
4/5/21 20:51,Norwalk,CT,,,MADAR Node 103
3/24/21 19:30,Moosup,CT,Fireball,5 minutes,I saw six fireballs of light in the sky strung like lights that moved with intent and intelligence. ((Starlink satellites??))
3/21/21 13:00,Stafford Springs,CT,Other,20 seconds,"The floating object appeared South of my location the sun directly overhead on a cloudless sky . No trees to block vision , not looking"
3/16/21 06:11,Bristol,CT,Light,15 seconds,Potentially Huge UFO with 6 sets of a total 18 lights appears & takes off!
2/9/21 19:14,Newington,CT,,,MADAR Node 106
2/4/21 19:00,Willimantic,CT,Triangle,40 seconds,Two low flying triangle crafts with lights at tips of wings gravelly silently following very close together over Main Street Town Hall!
1/29/21 18:18,DARIEN,CT,Light,3 minutes,Golden Orb flying above and along I95 North
1/24/21 07:10,Bristol,CT,Unknown,2 minutes,Brilliantly lit flat object of large size seemingly falling from space at sunrise
1/22/21 07:47,Ellington,CT,Cone,Seconds,"It was a small, glowing, green, floating object that I have tried to make sence of but I can not explain. I managed to capture it by ac"
1/21/21 01:39,Middletown,CT,Fireball,32 Minutes,It was just hovering and blinking and moving strangely
1/11/21 06:56,Manchester,CT,,,MADAR Node 151
1/6/21 17:48,Naugatuck,CT,Light,5 minutes,While standing on my back porch I saw a very bright light in the distance.The light was traveling in my direction and flew in a east to
1/6/21 00:00,Bristol,CT,Disk,2 hours,They were like light blueish/ white circles moving in a figure 8 position repeatedly for a few hours.
1/5/21 22:00,Bristol,CT,Formation,1 hour,Strange light formation appeared to be surveying residential area
1/5/21 17:30,Weston,CT,Teardrop,4 seconds,"Big, bright white with neon green interior teardrop-shaped light crossed the road low in the night sky."
1/5/21 01:00,bristol,CT,Formation,3hrs,"I WENT OUTSIDE AT 1 AM TO SEE IF IT WAS CLEAR ENOUGHT TO SET UP MY VIXEN 120MM F/8.3 REFRACTOR TELESCOPE, IT WAS CLOUDY THEN I NOTICED"
1/4/21 18:00,East Hartford,CT,Fireball,5 to 8 seconds,Bluish/green fire ball
12/30/20 22:37,Manchester,CT,,,MADAR Node 151
12/26/20 03:45,Norwalk,CT,Triangle,5 minutes,It was a clear enough night to see it was triangular in shape with no sound moving very slowly
12/16/20 02:20,Newington,CT,,,MADAR Node 106
12/15/20 17:56,Westport,CT,Circle,10 seconds,Blue circular light falling from sky
12/15/20 14:44,Manchester,CT,,,MADAR Node 151
12/11/20 00:03,Stonington,CT,Cone,Continuing,"Long. Without my glasses, it looked like a cluster of stars."
12/2/20 22:00,Fairfield,CT,Light,0.60,"two objects that appeared through my camera as white, seem that they had the ability to become one and seperate at high speed."
12/2/20 01:00,Stamford,CT,Circle,5 minutes got scared went,"12/02/2020 UFO 1. SIGHTING I took my dog outside at 1:00 am.

Something caught my eye in the sky and I looked up I could see about 15"
11/28/20 06:13,Manchester,CT,,,MADAR Node 151
11/27/20 20:00,Manchester,CT,Sphere,30 seconds,Glowing blue ball of light moving horizontally across sky then suddenly dropping straight down quickly
