date_time,city,state,shape,duration,summary
4/14/21 23:29,Washington DC,DC,Triangle,1 hour,Washington DC craft and sky events
12/10/20 18:00,Washington,DC,Light,30 seconds,Bright light not blinking moves across sky making no sound.
3/25/19 22:22,WashingtonWhite House,DC,Other,21:26 - 21:28 2 seconds,Sideways 8 yellow steady UFO seen during TV News Show during Adam Schiff’s Comment at the Whitehouse.
9/21/18 22:00,Washington D.C. (6 miles west of),DC,Rectangle,2 minutes,((HOAX??)) I had the urge to buy Hersheys Kisses afterwards as I felt on a sugar low. ((anonymous report))
6/16/18 21:58,Washington,DC,Light,,Took a photo of the waxing moon June 16 2018 and notice ufo in photo.
5/14/18 00:00,Washington D.C.,DC,Disk,5 minutes,Odd this is the second time it’s Happened!
12/21/17 06:24,Washington,DC,Unknown,1 minute,Buzzing Lighted Craft. ((anonymous report))
5/12/17 14:30,Washington DC,DC,Circle,1 hour +,Directly SE of DC driving S on 395 I saw a BRIGHT yellow light ~3000' in the sky COMPLETELY still. ((anonymous report))
10/2/16 11:00,Washington D.C.,DC,Other,4 minutes,I have never reported a sighting before so please forgive missing details. I was walking home Sunday morning around 1100hrs in northwes
8/8/16 22:00,Washington,DC,Triangle,ongoing,There are 3 lights in the DC sky that are stationary and forming a triangle.
4/12/16 01:30,Washington D.C.,DC,Circle,Few seconds,Watching tv I see a round object with a bright light coming from it. The object flew across the sky at about
3/15/16 23:15,Washington D.C.,DC,Chevron,2 minutes,large boomerang floating across sky in wash.d.c.-observed with night vision goggles.
3/13/16 05:40,Washington D.C. (above I-295 bridge),DC,Flash,2 seconds,I want to be clear on this event I was on my way to N.H from Doswell Virginia after staying the night in Kings dominion Best western.
10/17/15 13:00,Washington D.C.,DC,Unknown,10 seconds,Unidentified Ground Object' Spotted in Northwest Washington DC
2/9/15 20:20,Washington DC,DC,Changing,40 minutes,A colorful object was seen from a far distance. It gave off red then orange. then yellowish white light. have pictures.
1/1/15 21:25,Washington D.C.,DC,Other,2 minutes,2 glowing orange crafts in the shape of hang-gliders passed across the sky.
12/23/14 02:20,Wilmington,DC,Circle,20 minutes +,Sighting of a look alike 6 bright star like in circle with 1 bright starlike in middle in Wilmington De 12/22/2014.
12/8/14 01:00,Washington D.C.,DC,Flash,2 seconds,Saw a green orb shoot straight down. Too low for a shooting star. Brilliant emerald color.
10/26/14 10:10,Rehoboth Beach,DC,Light,30 seconds,4 orange lights flying east to west. ((NUFORC Note: Possible advertising lights in a rotating display? PD))
8/27/14 19:40,Washington DC,DC,Light,4 minutes,A light as if a star was observed around 7:30 PA while it was still bright and no other stars were visible. Initially I thought that th
7/31/14 18:30,Washington D.C.,DC,Light,5 minutes,Green red light that hovered moved hovered and disappeared.
6/20/14 21:00,Washington D.C.,DC,Formation,30 minutes,Multiple light formation seen at 9pm Friday June 20th over the Potomac river in VA from tallest hill in Washington DC.
2/22/14 10:30,Washington D.C.,DC,Formation,20 seconds,8 orbs of light flew directly over head in a formation before a synchronized deformation and dissapearance. Lone orb 5 min later.
7/4/13 23:30,Washington D.C.,DC,Triangle,5 seconds,Triangular shaped object flew across sky during Wash DC 7/4/13 fireworks display.
3/16/13 13:00,Washington D.C.,DC,Circle,seconds,Taking a picture and two objects moved quickly past in both pictures. It was so quick no one saw them but they are in the two pictures
12/31/12 01:20,Washington D.C.,DC,Triangle,10-15 minutes,Saw a triangular craft flying north to south few minutes saw a chemtrail moving east to west.
12/4/12 14:00,Washington D.C.,DC,Sphere,15:00,MUFON CONFIRMS ORB UFOS OVER WASHINGTON DC DEC. 2012.
8/9/12 03:00,Washington,DC,Light,10 minutes,6 glowing objects fly near roof. (reoccuring)
7/26/12 22:30,Washington D.C.,DC,Light,30 minutes,Ball of light brighly flashing green and orange.
7/25/12 21:30,Washington,DC,Changing,10-15 minutes,3 objects in 15 minutes 2 balls of light moving north to south and 1 shape changing white &quot;ball&quot; moving in same direction
7/4/12 23:40,Washington D.C.,DC,Light,15 minutes,Two lights/objects over DC with quick erratic movements
7/4/12 21:06,Washington,DC,Sphere,5.5 seconds,Luminous spheres in flight then suddenly vanishing into nothingness
6/22/12 20:02,Washington D.C.,DC,Other,1 ML sec,Perfectly vertical streak of light
5/6/12 22:52,Washington D.C.,DC,Sphere,3 seconds,2 luminous spheres converged into the image frame from 2 different directions and flew by
4/9/12 03:00,Washington D.C.,DC,Light,3 minutes,At about 3:00 am I was watching out my window which faced East. I noticed a very bright ball of light passing from North to South. It
1/29/12 19:20,Washington,DC,Other,8 to 10 seconds,A group of darting/revolving round white lights moving together at a very high speed across the sky.
12/11/11 20:08,Washington,DC,Cylinder,4 seconds,Luminous object thought to be a star?
12/5/11 23:00,Washington D.C.,DC,,1 minute,22:55 U.S. eastern From a third floor balcony facing Northwest observed a bright red-orange light that I thought at first was a Chine
7/31/11 19:30,Washington D.C.,DC,Sphere,10 seconds,while watching the debt debate on cnn news channel we witnessed an ornage sphere flying over the capital during an commercial break on
7/4/11 00:00,Washington D.C.,DC,Cylinder,1.5 seconds,Black cylinder zips through Fireworks.at the Washington Monument
7/4/11 21:15,Washington D.C.,DC,Cylinder,2 seconds,My family and I saw something fly over head silently and without lights.
6/15/11 20:19,Georgetown,DC,Disk,6 seconds,metallic disk hovering silent in crowded airspace shoots up out of site leaves smoke cloud
5/21/11 20:00,Washington D.C.,DC,Triangle,on going,((HOAX??)) Saw hover triangle with eight lights in D.C.
2/12/11 22:24,Washington D.C.,DC,Light,50 minutes,I was watching web-cams in Washington DC as The Agency had notified forums members on the 10th of Feb that they would fly their craft o
12/25/10 21:45,Maroochydore (Queensland) (Australia),DC,Diamond,5 mins,At first I saw these two bright lights come up over the horizon from behind my house roof. I shouted out to my partner to come check it
8/28/10 22:06,Washington,DC,Fireball,2 minutes,Red flaming object flying low over Washington DC with no sound
7/25/10 10:00,Washington D.C.,DC,,30 seconds,I saw a silver metallic ball fly over my house in Wash. D.C. in broad daylight!
7/20/10 03:18,Washington D.C.,DC,Sphere,3 seconds,At 03:18 AM I was called to take a look at a bright object by a friend. I went outside with my camera and camera platform (tripod) and
7/20/10 03:10,Washington D.C.,DC,Sphere,5 minutes,Moving star with beam of light
7/20/10 03:00,Washington D.C.,DC,Light,nightly,I live in Wash. D.C. For weeks I had observed a bright luminous celestial body in the sky I couldn’t identify. The object would rise
7/4/10 21:11,Washington D.C.,DC,Sphere,1 second,2 luminous objects over Washington Monument July 4 2010
7/4/10,Washington D.C.,DC,Circle,2mn.,I saw Two ufo object's over the Washington Monument during the 4th. of July events.
6/19/10 14:00,Washington D.C.,DC,Disk,unknown,In June 19 while on vacation in Washington CD with my wife I took a photo of this sighting by chance. We didn't know of the UFOs until
5/8/10 23:00,Washington D.C.,DC,Light,5 min,two star light object seen minutes apart moving slowly across the sky originating and ending at the same locaiton
4/30/10 20:45,Washington D.C.,DC,Sphere,1 minute,luminous craft with halo's in slow flight over the rooftops of the buildings
2/14/10 12:00,Washington D.C.,DC,Oval,Unknown,Object spotted in photos of D.C.
12/9/09 23:00,Washington D.C.,DC,Sphere,one minute,Sighting of a large flying sphere near our nation's capital.
8/19/09 20:57,Washington D.C.,DC,Fireball,2 seconds,a vectoring orange streak which at the end of forwards vectoring makes a sudden 90 degree turn?
8/10/09 23:12,Washington D.C.,DC,Other,5 minutes,I captured a red sphere like anomaly in 15 frames of 1080 i HD imagery? 5 minutes later and 100 yards from POV we stopped the car and I
5/27/09 23:00,Washington D.C.,DC,Fireball,4 minutes,Glowing orb with sharp turns in Washington DC
3/20/09 20:40,Washington D.C.,DC,Other,5 minutes,The object looked like top of a heart shape and was very large and appeared to make no noise and also had no patter
1/20/09 17:00,Washington D.C.,DC,Cigar,1 sec,I was watching this video on cnn.com look in the far right and watch object fly past sky infront of statue
1/20/09,Washington D.C.,DC,,,Hello im a 17 year old girl and Im from New York. I was watching a video before Barack Obama inaguration these news people were spe
1/2/09 20:00,Washington D.C.,DC,Sphere,split second,A green colored sphere appeared out of nowhere and fell straight to the ground
11/18/08 19:06,Washington D.C.,DC,Other,19:06:54,UFO flies into frames taken @ US Capitol Building @ 17:06 PM 1080 HD
9/23/08 21:00,Washington D.C.,DC,Light,56 minutes,3 lights moving very smoothley at the capital
8/17/08 22:06,Washington D.C.,DC,Egg,1 minute,(egg shaped) anomaly shooting a beam of light towards the ground?
8/13/08 20:00,Washington D.C.,DC,Cylinder,3 to 5 min,Cylindrical object over Washington D.C. viewd from near Smithsonian Metro Station
6/11/08 16:45,Washington D.C.,DC,Disk,1.5 -3 min,Daytime sighting of bright light changing to stationary white/blue gray annulus and then moved very fast.
5/29/08 06:47,Washington D.C.,DC,Other,30 min,It was a round white light with tentacles sticking out blue and white look like a spider.
1/3/08,Washington D.C.,DC,Disk,1 min,"The news caster seen it also then shut up. I saw it plain as day.

500 Lights On Object0: Yes"
10/31/07 21:45,Washington D.C.,DC,Sphere,about 1 hour,Two UFO's Lingering In The Sky On October 31 Followed By Lights And Surrounded By Green Fog. ((NUFORC Note: Satellites?? PD))
3/5/07 19:00,Washington D.C.,DC,Other,10 min,Hovering saucer-shaped object yellow lights approached by bronze-colored object triangular or flying wing shape which hovered near.
1/27/07 12:30,Washington D.C.,DC,Fireball,4 seconds,Fireball Over Capitol Hill- Very Long Deep Blue Tail- During Anti- War Rally
12/30/06 20:00,Washington D.C.,DC,Light,NA,cell phone picture of Capitol - apparent objects
11/10/06 08:20,Washington D.C. (area),DC,Cylinder,30 Seconds,Sighting recorded Friday November 10th 8:20AM. I witnessed an object off the lower left side of the plane (South/West). It would be be
9/11/06 01:00,Washington D.C.,DC,Diamond,12 minutes,((HOAX??)) It was a very shiny diamond-shaped crystal UFO craft and it sounded like a high pitched whistle.
5/17/06 00:30,Washington D.C.,DC,Triangle,10 seconds,black triangular object with three red lights underneath it flying over DC
4/16/06 23:00,Washington D.C.,DC,Triangle,20 minutes,This is my second report of these Triangular shapped flying objects with red flashing lights. This second sighting compelled me to rep
4/5/06 00:45,Washington D.C.,DC,Oval,1.5 min,Large object covers the moon
3/17/06 09:00,Caracas (Venezuela),DC,Disk,35 sec,El objeto despego a alta velocidad dejando una estela era de mañana en un dia muy claro aproximadamente a unos 10 km de distancia del
2/15/06 04:15,Washington D.C.,DC,Formation,30 seconds,a formation of dimly glowing objects...maybe birds? Very odd.
12/6/05 20:40,Washington D.C.,DC,Formation,2 minutes,I witnessed a series of lights traveling from the north (heading south) over the nation's capital from my apartment balcony. At first I
8/14/05 14:02,México,DC,Cone,10 minutes,This sigthtin occurs a day after a sismologic event in mexico city the ufo was seen in an area called mexican volcanos a common area
7/27/05 06:30,Washington D.C.,DC,Disk,25 Minutes,U.F.O. Reported in Washington D.C.
5/22/05 22:00,Washington D.C.,DC,Light,still going on. its now 1,Unidentified Light circling houses
12/11/04 19:00,Washington D.C.,DC,Unknown,unknown,Possible UFO seen in skies over nation's capital
12/9/04 03:00,Washington D.C.,DC,,,this being was observed in the city. ((NUFORC Note: Bizarre creature apparently witnessed by sec. guard in Washington D.C.. PD))
12/8/04 23:00,Washington D.C.,DC,Other,,In the air flying very low 20 feet above tree line. No sound at all. Moving from north to south. looked like a flat dark hangglyder typ
10/31/04 20:00,Washington D.C.,DC,Light,10-15 seconds,3-4 crazy star-like objects moving at very high speeds and direction change. defies convention. I saw over D.C!
9/29/04 02:30,Washington D.C.,DC,Circle,10 minutes,circular disc coming to a slight point-like the bottom of a top only flatter-lights pointing at Andrews Air Force Base or Reagan Nat'l
8/31/04 15:39,Washington D.C.,DC,Cigar,Five seconds,Cigar-shaped craft over Washington D.C.
7/17/04 18:10,Washington D.C.,DC,Flash,Split second,Bright flash of light exploding off the horizon into space - Washington DC
5/25/04 08:10,Washington D.C.,DC,Other,10 seconds,Craft with bright white lights motionless over Southwest Washington D.C.
5/21/04 22:42,Washington D.C.,DC,Light,five minutes,Lights moving in a counterclockwise oval pattern
3/13/04 18:30,Washington D.C.,DC,Disk,less than one minute?,I am not the witness to this sighting. My sister mentioned that a lady in her office saw the UFO along with her husband while in their
3/2/04 20:30,Washington D.C.,DC,Light,1 minute,"A ""formation"" of about 20 pale lights moved slowly across the Washington D.C. evening sky."
11/30/03 16:00,Washington D.C.,DC,Light,10 seconds,Bright light that was stationary and moved and light became smaller over a 10 sec period untill it vanashed
11/21/03 16:00,na,DC,,15 minutes,USO seen my military coming up out of the water.
7/22/03 21:15,Washington D.C.,DC,Chevron,2 minutes,Chevron-shaped craft gliding over Washington D.C.
6/10/03,Caracas (Venezuela),DC,Oval,20 mn,huge black oval shaped flying object  hollow in its center
