date_time,city,state,shape,duration,summary
5/6/21 21:45,Dover,DE,Formation,3-5 minute,Massive String of lights in sky
3/3/21 18:34,Lewes,DE,Light,?,Is this explainable?
2/5/21 00:00,Millville,DE,Sphere,5 seconds,Watching a airplane high in sky saw a silver object come out of the clouds west of airplane flew at high rate of dipped from one cloud
12/1/20 17:00,Wilmington,DE,Cylinder,30 sec,Driving on Old Coach Road towards Polly Drummond Road at 5pm when noticed a skinny object with a red and white light at either end fly
11/28/20 07:30,North Wilmington,DE,Fireball,20 min,7 fireballs moving horizontally very slowly
11/15/20 07:00,Delaware City,DE,Flash,5 sec,Orange flashes in sky
11/13/20 17:30,Wyoming,DE,,10 min,
11/8/20 08:25,Dover,DE,Disk,scary,i heard i weird noise that flew over the house i look it wasn't a plane if was a disc shape aircraft i don't know it was a aircraft bec
11/5/20 18:33,Georgetown,DE,Chevron,1 minute,Chevron in Georgetown DE
10/20/20 19:28,Wilmington,DE,Circle,,Red lights floating and disappearing
10/2/20 21:18,Lewes,DE,Sphere,5 minutes,Red fiery round object in sky
8/20/20 22:00,Selbyville,DE,Sphere,8 minutes,Round reddish orb looking object. No sound just glided slowly in the dark sky. Hovering east to northwest then vanished.
8/20/20 22:00,West Fenwick Island,DE,Sphere,8 minutes,I walked outside looked at southwest sky and saw this huge red orb no sound at all. I called for my mom and we both saw it move backwa
8/10/20 23:00,Dover,DE,Circle,,I was 3 minutes from my mother in laws house at 11 at night I was telling my husband to speed up because I had to go to the bathroom ou
7/4/20 21:47,Selbyville,DE,Cigar,12 minutes,2 Red vertical Cigar shaped objects spotted near Ocean City DE July 4th 2020.
7/4/20 21:47,Selbyville,DE,Cigar,12 minutes,2 Red vertical Cigar shaped objects spotted near Ocean City DE July 4th 2020
6/8/20 21:00,Smyrna,DE,Teardrop,45 minutes,My little brother was gazing in the sky and saw something flying in the atmosphere and told me to look to my surprise when I looked was
5/24/20 21:00,Wilmington,DE,Changing,20 minutes,What started out as 4 cylindrical lights changed into one it looked like a purple cloud. It then switched to 8 smaller cylinder shaped
4/28/20 20:51,Newark,DE,Light,1 minute,Lights moving evenly in single file at a fast pace. ((Starlink satellites?))
4/27/20 21:08,Townsend,DE,Formation,3 minutes,Lasted 3 minutes.right over my house 25 to 30 bright single and seperated by almost the same distance. ((Starlink satellites?))
3/21/20 22:00,Wilmington,DE,Light,1-2 minutes,Three lights in a horizontal line
3/1/20 05:30,Bethany Beach,DE,Other,45 seconds,"Observed a long line of objects moving at very high rate of speed and making no sound. ((""Starlink satellites??))"
1/23/20 18:20,Wilmington,DE,Light,15 seconds,What first appeared as a bright star turns a dim red and starts jumping location.
1/22/20 09:35,Bear,DE,Triangle,3 minutes,I noticed an elongated blackish triangle shaped object. It seemed to be moving pretty fast it’s angle was very steep. I would say on a
1/6/20 17:08,Wilmington,DE,Triangle,10 minutes,"Witnessed a formation heading south on 95 very bright light in sky. ((""Starlink"" satellites??))"
1/5/20 18:00,Bear,DE,Light,30 seconds,On route 40 going east just past wrangle Hill Rd. Saw what I thought might be 2 planes however 1 of the white objects grew larger and
1/1/20 19:30,Milford,DE,Rectangle,5min,Flying C5 sized quadcopter made good video footage.
12/12/19 19:30,Newark,DE,Light,20 seconds,Witnessed low flying craft over the PA side of White Clay Creek State Park while driving on Hopkins Rd towards Route 896. Object was m
12/5/19 05:00,Newark,DE,Triangle,10 mins.,Observed a stationary triangular shaped object over Cecil County Md. at 5:10 on 12/5/2019.
12/1/19 20:47,Wilmington,DE,Light,Multiple Hours,The object was large and changed color. ((NUFORC Note: Twinkling star?
10/31/19 20:00,Bear,DE,Light,30 seconds,Two bright white lights flying silently over Bear Delaware
10/29/19 23:00,Wilmington,DE,Light,2 minutes,Two tiny lights become one then fade away slowly.
10/5/19 20:00,Millsboro,DE,Fireball,5 minutes,Fireball that moved slowly changed direction then disappeared followed by a second aircraft.
9/28/19 23:00,New Castle,DE,Flash,15+ minutes,Flashing light over New Castle DE.
9/27/19 20:00,Wilmington,DE,Fireball,4 minutes,Two fireballs heading in the same direction. Silent flickering moving quickly for how low they were. They were heading north east tow
9/26/19 22:50,Newark,DE,Triangle,10 minutes,Triangular UFO sighting.
7/20/19 22:03,Bethany Beach,DE,Fireball,10 minutes,Orange glowing ball hovering over the Atlantic Ocean for about ten minutes . Seemed to be changing size and slowly moving . Eventually
6/15/19 21:45,Newcastle,DE,Fireball,20 seconds,Object was clear oval with fire inside.
5/9/19 21:00,Newark,DE,Circle,30 seconds,we seen a very bright circular object it was in an angle sitting still with two rings the lights
2/6/19 02:00,Millsboro,DE,Rectangle,2 hours,I saw three different crafts not at the same time or day first 200 am screen in porch 3 floor condo end unite. craft moving out from th
1/28/19 22:00,Dover,DE,Triangle,20 minutes,My boyfriend and I we’re headed is south on Route  somewhere around 10 p.m. just a few miles past Dover Air Force Base when my boyfri
12/7/18 19:30,Greenwood,DE,Triangle,3 minutes,Hovering aircraft with orange lights
9/18/18 06:26,Newark,DE,Circle,~20 seconds,Early AM with some fog but light in a circle shined though slightly then was gone within seconds. ((anonymous report))
8/15/18 08:45,Millsboro,DE,Light,2 minutes,((HOAX??)) As I was driven home from work I noticed 2 flashing lights in the sky in between the hwy. approx. 50-60 feet in the air.
8/9/18 21:00,Magnolia,DE,Egg,2 minutes,Peanut shaped a/c completely silent hovering over a corn field in my town 50-60 yds. ((NUFORC Note: College student report. Pd))
7/4/18 21:30,Dewey Beach,DE,Sphere,1 hour,07/04/18 at approx. 9:30 when the first annual Dewey Beach fireworks show started. Most people watching the fireworks on the Dewey/Reh
7/2/18 04:30,Greenwood,DE,Light,1 minute,Pulsing orb of light flying just over cornfield.
4/12/18 07:00,Brandywine,DE,Triangle,15 seconds,I could see a black triangle just showing through the lower bottom end of cloud. ((anonymous report))
2/8/18 19:40,Camden,DE,Other,30 seconds,Something called me to look up at the sky. At first I thought I saw the big dipper then I noticed a large low flying object. It consis
12/19/17 20:00,Newark,DE,Diamond,30 seconds,Very large diamond shaped craft with lights on all 4 points moving very slowly then disappeared.
12/16/17 19:30,Talleyville,DE,Triangle,5 minutes,((NUFORC Note: Source of report provides no detailed information. PD))
12/14/17 03:30,Anderson's Corner,DE,Fireball,Seconds,Arc of fire streaking across the sky. ((NUFORC Note: Meteor? PD))
11/24/17 17:25,Selbyville,DE,Circle,4-5 seconds,Shooting star descending heading towards the horizon; split into 3 spheres. ((NUFORC Note: Satellite re-entry. PD))
10/22/17 20:50,Rehoboth Beach,DE,Chevron,2-3 seconds,Vibrating double chevron travelling at impossible speed southern delaware heading toward washington DC.
10/6/17 20:30,Claymont,DE,Circle,>1 hour,Three sets of lights orbiting around three centers. ((NUFORC Note: We suspect advertising lights. PD))
9/30/17 19:51,Hockessin,DE,Light,2 seconds,Large light blue beam of light flying over very quickly
8/14/17 17:20,Selbyville,DE,Rectangle,5 seconds,"Bright light in the sky over the trees a rectangular shape.

It was a bright light in the sky over the trees a re"
7/24/17 03:00,Newark,DE,Cylinder,15-20 seconds,An UFO generated intense orange light with sound modulated those synchronously for 20 sec while hanging above our house.
7/11/17 23:12,South Dewey Beach,DE,Fireball,3 seconds,Bright White Fireball traveling sky left to land-water right over Rehoboth Bay DE. ((NUFORC Note: Meteor?? Anonymous report. PD))
6/29/17 04:30,Georgetown,DE,Diamond,10-15 minutes,Four bright lights appeared myself and wife witinessed in disbledisbleif. ((NUFORC Note: Rocket launch from Wallops Island. PD))
6/28/17 00:05,Bear,DE,Triangle,15 seconds,Triangular object. White light illumination not yellow. No port or star at lights. Traveled from L to R in seconds. Heading N.
6/11/17 14:30,Wilmington,DE,Fireball,10 minutes,100s of blinking fireball like object free fall then hover before disappearing.
6/11/17 14:30,Wilmington,DE,Other,20 minutes,Falling orbs.
