date_time,city,state,shape,duration,summary
5/16/21 05:30,Fort Myers,FL,Other,~2,Quick moving object in the sky
5/15/21 22:30,Kissimmee,FL,Light,1 minute,I was outside preying looked up and the picture says it all. I usually have about 3 sightings a week where I am.
5/12/21 23:00,Naples,FL,Disk,5 min.,Saw 3 UFOs hovering above - looked like they were playing games flying around each other amongst the three saucers
5/11/21 05:03,Atlantic Beach,FL,Unknown,Seems like an hour,I noticed the unidentified bright lights and vertically aligned squared shaped objects moving sporadically as seen on the security cam.
5/10/21 22:00,Sarasota,FL,Other,2 minutes,String of lights
5/10/21 11:00,Naples,FL,Circle,10 min.,UFO sighting
5/10/21 10:30,Tampa,FL,Oval,3 seconds,I was driving home headed southbound on Bayshore Blvd. approaching Gandy Blvd. driving 35mph. Approximately 6 or 7 streets north of G
5/9/21 22:25,Port Charlotte,FL,Sphere,11 seconds,My home security camera captured two spheres of light hovering around. It appeared as if they were aware of each other. Then the bigges
5/9/21 21:30,Ocala,FL,Formation,2 minutes,Flying line Formation of unidentifiable objects in clear sky
5/9/21 02:39,Nokomis,FL,Circle,3 seconds,Ball of fire. 1/8 th inch from my perspective. No light trail. Looks like landed in Gulf of Mexico. Did not look like shooting star
5/7/21 23:45,Weeki Wachee,FL,Unknown,<10 minutes,Watching TV then go outside and see a large pulsating light in the sky
5/7/21 05:30,DeFuniak Springs,FL,Fireball,25 seconds,South toward the the Gulf of Mexico a comet like object traveling east to west vertically with a very large tail lighting up the sky.
5/3/21 21:15,Jacksonville,FL,Fireball,<5 minutes,"We saw a bright fireball in the sky that was very bright and moving slowly. Initially we thought it was a drone.

As it moved towards"
5/2/21 22:50,Clearwater Beach,FL,Formation,00:00:10,Two bright white object moving in high rate of speed and synchronized movements.
5/1/21 08:45,Vero Beach,FL,Other,20 minutes,Metal object in daylight sky very slow moving
4/29/21 23:39,Homosassa,FL,Fireball,5 minutes,I was sitting outside looking to the east and homosassa Florida I saw a hot pink streak and as I watched it go across the sky it turned
4/28/21 23:46,Kissimmee,FL,Fireball,3 minutes,We saw what looked like a huge fireball in the sky. It looked very different than a falling star. It was a falling fireball. And then t
4/27/21 07:00,Tallahassee,FL,Unknown,10 minutes,I arrived at work and I parked my car in front of the building. The sky was clear without clouds. As I was walking I looked into the s
4/26/21 06:21,Fort Myers,FL,Other,~2 minutes,Fast moving light seen in early morning sky of Fort myers Florida.
4/23/21 06:00,Vero Beach,FL,Light,5 minutes,I was driving and saw something strange in the sky. ((NUFORC Note: Rocket launch from Cape Canaveral. PD))
4/23/21 05:59,St. Augustine,FL,Light,3 minutes,2 extremely bright lights appeared over east coast nearly simultaneously. One appeared to catch fire and fall towards ocean second app
4/23/21 05:54,Parrish,FL,Light,5 minutes,Two bright lights one flashing with a descending expanding ring. ((NUFORC Note: Rocket launch from Cape Canaveral. PD))
4/23/21 05:45,Champions Gate,FL,Light,~10-15 minutes,Im former military and have never seen aircraft do that. ((NUFORC Note: Rocket launch from Cape Canaveral. PD))
4/23/21 05:45,Belleview,FL,Diamond,15-20 minutes,((NUFORC Note: Rocket launch from Cape Canaveral. PD))
4/23/21 03:00,Tampa,FL,Light,1 minute,((name deleted))
4/18/21 17:52,Hollywood,FL,Other,~10-15 seconds,"My girlfriend and I were seated on her 15th floor balcony facing due west towards the adjacent intracoastal waterway.

At approximat"
4/16/21 23:15,Sanford,FL,,,MADAR Node 91
4/16/21 22:49,Sanford,FL,,,MADAR Node 91
4/16/21 05:00,Palm Coast,FL,Circle,30 seconds,Saw a black circle right below the cloudline then it rose into the clouds
4/12/21 22:50,Coral Springs,FL,Oval,3 hours,Orbs zig zagging and circular patterns.
