date_time,city,state,shape,duration,summary
5/9/21 20:30,Kailua,HI,Unknown,5 minutes,Zooming ball of light in the Hawaiian night sky defying all propulsion physics.
4/16/21 10:08,Kaneohe,HI,Unknown,35 minutes,An array of sparkley multicolored lights in the far distance that did not move for 30 minutes from when I observed it.
4/16/21 10:08,Kaneohe,HI,Unknown,35 minutes,UFO on Oahu. ((NUFORC Note: Possibly the star Sirius?? PD))
3/2/21 21:40,Kapolei,HI,Light,3 seconds,Green glowing cigar shape descends in to ocean
1/15/21 19:15,Kilauea,HI,Light,30 seconds,Large moving bright light over Kauai North Shore
12/15/20 20:56,honolulu,HI,Flash,2 minutes,Stationary flashing lights - red then white then blue. Then it displayed a white light strobe effect then it zipped away really fast!
11/2/20 19:15,Kihei,HI,Diamond,45 seconds,Red diamond-shaped light moving erratically across the sky for approximately 45 seconds
11/2/20 18:00,Kanapali Beach/ Maui,HI,Unknown,45 seconds,Stationary light in the sky vanishes after 45 seconds west of Kanapali beach Maui off north edge of Lanai.
10/24/20 23:00,Waikiki,HI,Triangle,10 minutes,https://www.facebook.com/523634054329414/posts/5188298421196264/?vh=e&d=n Shaped like a wide V or triangle w g F lashing lighits and b
10/24/20 22:02,Kahuku,HI,Triangle,57 seconds,Unsual lights floating above.
10/24/20 22:01,Kona,HI,Cigar,Minutes,Video of cigar shaped UFO ship in Kona
10/24/20 22:01,Honolulu,HI,Formation,21 seconds,Shark formation floats across the pacific islands of Hawaii
10/24/20 22:00,Kula,HI,Formation,20 seconds,A group of light in the shape of a gigantic ship floating by in space upper Kula.
10/24/20 22:00,Honoluu,HI,Rectangle,2 minutes,floating scaffolding in T-shape spotted above ocean /Diamondhead lookout
10/24/20 21:00,Mokuleia,HI,Other,1-2 minutes,Cluster of Stars Shaped Like Plane. ((Starlink satellites?))
10/2/20 19:40,Mililani,HI,Disk,1 minute,Peace sign like saucer with red and green lights moving slowly in the sky
8/31/20 19:30,Lahaina,HI,Light,9 seconds,Bright ball of light moving up high into space.
8/19/20 04:30,Lihue,HI,Circle,5 minutes,Circular white object with “Halo” and appears to have 3 dimensions
8/11/20 21:00,Kailua,HI,Circle,5 second,Small dull opaque UFO Kailua
7/31/20 22:53,Honolulu,HI,Chevron,5 minutes,V Shaped bright light object flying unusually in the sky without a beacon light
7/27/20 17:53,Honolulu,HI,Rectangle,1 minute,Seen on photo taken at 15:53 rectangle shape with 2 white lights on either end. Middle of Honolulu and there are no eagles in this area
7/3/20 19:37,Honolulu,HI,Circle,1 second,UFO spotted in photo after picture taken. No aircraft were spotted in the sky prior to he photo.
6/27/20 16:25,Hawaii,HI,Unknown,1 minute,happen so fast
6/22/20 22:31,Mililani (Oahu/Honolulu),HI,Sphere,~1 minute,A singular orb of orangish light spotted for around a minute at 10 PM Hawai’i.
6/8/20 21:45,Lahaina,HI,Disk,2 minutes,Spinning disc  metallicflexible force field type edges
6/3/20 20:00,Honolulu,HI,Formation,1 minute,Series of Star like objects linked together. ((Starlink satellites?))
5/28/20 19:20,Honolulu,HI,Circle,45 seconds,Aloha At 7:20pm local time a bright light appeared in the west facing sunset sky just below the moon. We thought it was Venus so we too
5/27/20 16:00,Waikapu,HI,Circle,45 seconds,Green light circular ufo over the water in Kihei.
5/22/20 00:00,Haleiwa,HI,Triangle,24 hours,Confirmed Traingle Shapes in Sky’s over North Shore Oahu .
