date_time,city,state,shape,duration,summary
5/17/21 01:20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.
5/17/21 01:20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.
5/15/21 23:39,Nampa,ID,Triangle,3 minutes,My father and I were coming back from Lake Lowell and on our way back home we noticed a long low glowing bar of light floating along th
5/15/21 23:30,Star,ID,Disk,10 minutes,UFO in Star Idaho
5/5/21 21:24,Bliss,ID,Light,3 minutes,I saw these lights and Bliss Idaho.They were all in a straight line.Possibly a little higher than a small plane would fly.Moving slowly
5/4/21 10:28,Sand Hollow,ID,Unknown,45 seconds,Four of us sitting on our front porch enjoying the evening before bed out of nowhere we see this long line of straight white lights not
3/30/21 09:30,Twin falls,ID,Fireball,5 minutes,Hi this is real sigting i watched that and take the pictures video they come from moonred white yellow light ball they fly like so sc
3/29/21 22:00,Boise,ID,Light,15 seconds,FAST MOVING CRAFT.
3/28/21 21:30,Glenns Ferry,ID,Circle,10 seconds,Truck driver observes 3 bright lights
3/20/21 02:13,Boise,ID,,,MADAR Node 111
3/4/21 06:08,Middleton,ID,Disk,10 minutes,Horizon of white lights going slowly with no sound and slowly turned vertical and then once it got horizontal it very quickly shot down
3/2/21 02:00,Payette,ID,Flash,10min,strobing red light moving slow then fast witnessed by a police officer.
3/1/21 04:59,Boise,ID,,,MADAR Node 111
2/24/21 21:45,Nampa,ID,Light,1 minute,I went out onto our back deck which faces East to call our cat. We are directly west (approximately 20 miles) of the airport in Boise a
2/18/21 06:27,Caldwell,ID,Unknown,2 min,Column of 15-20 objects in Idaho
2/17/21 06:20,Garden City,ID,Formation,one mnute,At 6:20 am on Wednesday February 17 I saw a string of lights moving through the sky above the clouds. The object contained about 50 d
2/11/21 04:27,Boise,ID,,,MADAR Node 111
1/31/21 23:50,Garden City,ID,Sphere,>20 minutes,3 Bright Hovering Spheres in night sky
1/31/21 17:51,Pocatello,ID,Light,3 minutes,White lights popping into view moving a short distance in the sky and popping out of sight.
1/24/21 19:15,Meridian,ID,Fireball,3-4 minutes,The objects were a orange color leaning more towards the red side of a scale then yellow glowing brightly in a fireball/orb like shape.
1/20/21 15:15,Boise,ID,Other,3 seconds,Odd shaped ship under the Moon.
1/17/21 20:00,Boise,ID,Fireball,5 minutes,Whole back yard lit up orange fiery sphere no more than 30 feet over head went north west to east really quick then just disappeared
1/14/21 18:15,Boise,ID,Light,30 seconds,One light two lights. Three lights four.. and they're gone.
1/14/21 09:25,Boise,ID,,,MADAR Node 111
1/10/21 16:00,Colburn,ID,Light,~4-5 minutes,I was driving north on US- Hwy95 just before I went over the pack river bridge me and my 7 year old daughter saw a light in the sky str
12/31/20 22:38,Caldwell,ID,Circle,2 min,Out back on my patio my wife and i saw a very large orange orb floating through the sky. Got video and picture if it. It came up slowl
12/25/20 19:00,Star,ID,Unknown,5 minutes,red lights in a round configuration hovering was not a drone nor an aircraft
12/5/20 19:10,Fairfield,ID,Formation,30,25 ufo's over Fairfield ID
12/4/20 19:20,Mountain home,ID,Light,2 minutes,Straight Line of 10 “stars” seen in the sky to the southwest in western Idaho
12/4/20 19:15,Middleton,ID,Light,5 minutes,Line of bright white illuminated projectiles
