date_time,city,state,shape,duration,summary
5/13/21 21:05,Shelbyville,IN,Light,1-2 minutes,It was just a light. Moved around seemed to zoom out of view and back in one or twice.
5/8/21 23:49,Evansville,IN,Circle,,Circle of light going around in a circle in the sky.
5/6/21 23:30,South Bend,IN,Oval,40 seconds,Look at the clear north Sky. Looking at big dipper. I saw 6 orbs bright light. Much larger the the stars. Moving much faster then a sat
5/6/21 22:30,Lafayette,IN,Light,3 minutes,As I was waiting outside for my uber I looked up to see a sting of 6 lights flying right behind each other ((Starlink satellites??))
4/29/21 22:45,Corydon,IN,Oval,10 minutes,Sighting: Date: April 29 2021 Location: Corydon Indiana Time: Approx. 10:45PM Weather: Partly cloudy with rain Visual observers: 2 D
4/25/21 12:54,Swayze,IN,,,MADAR Node 22
4/25/21 05:38,Santa Claus,IN,,,MADAR Node 114
4/19/21 16:51,Indianapolis,IN,,,MADAR Node 21
4/17/21 21:45,Indianapolis,IN,Light,Hours,All the time see this u.f.o outside of my house it has been outside of my house for about 2-3 years now. I see all throughout the year
4/13/21 23:38,Oaklandon,IN,,,MADAR Node 87
4/12/21 22:15,Alton,IN,Other,75 minutes,What I thought was supernova clearly was not
4/10/21 21:45,Terre Haute,IN,Circle,1 minute,Unidentified Non-Drone Object
4/6/21,New Pekin,IN,Teardrop,30 seconds,5 large silver teardrop-shaped ufos flying away from where I was heading (In a car). Nothing happened to my car afterwards.
3/13/21 02:19,Newburgh,IN,,,MADAR Node 142
3/11/21 01:06,Oaklandon,IN,,,MADAR Node 87
3/4/21 13:52,Fishers,IN,,,MADAR Node 84
2/16/21 15:15,Fishers,IN,,,MADAR Node 84
2/15/21 19:00,Peru,IN,Light,7 minutes,A bright orange light with blue-ish white middle was observed launching upwards into the sky while driving home on a clear night.
2/6/21 22:02,Fishers,IN,,,MADAR Node 84
2/4/21 22:50,Santa Claus,IN,,,MADAR Node 114
2/3/21 12:32,Evansville,IN,Sphere,1 minute,short series of photos shows spherical object traveling east. (((NUFORC Note: Possibly lens flares?? PD))
1/28/21 03:46,Mt. Vernon,IN,,,MADAR Node 119
12/29/20 16:16,Oaklandon,IN,,,MADAR Node 87
12/24/20 13:50,Mt. Vernon,IN,,,MADAR Node 119
12/11/20 04:00,Oaktown,IN,Diamond,Ongoing 24/7,I have reported this once alreadyit is ongoing.The lights around my home & the Sawmill in Oaktown laminatedrone-like.I can see people
12/10/20 17:00,Lagrange,IN,Light,30 minutes,Strange lights over Lagrange Indiana 12/10/2020
12/9/20 15:00,Greenfield,IN,Light,,It was the size of a football field at least. This object was hovering over a barn on 200 North in Greenfield .
12/9/20 06:18,Oaklandon,IN,,,MADAR Node 87
12/8/20 23:56,Fishers,IN,Triangle,,I heard a slight hum and looked up to see a huge triangular airplane with a light at the front 1 in the middle and 3 at the back.
12/8/20 15:00,Greenfield,IN,Light,,It was the size of a football field at least hovering over a barn on 200 North
12/6/20 00:25,Mt. Vernon,IN,,,MADAR Node 119
12/5/20 18:30,Columbia city,IN,Sphere,10 sec,It was a trail of lights in a vertical line.
12/4/20 18:30,South whitley,IN,Unknown,30/45 seconds,13 lights (what looked like stars but a bit bigger) moving at a steady pace perfectly spaced out (but too close for airplanes) in a st
12/2/20 08:00,Anderson,IN,Oval,10 seconds,Driving 50 MPH East bound when I observed a metallic stationary/oval shape in South Eastern sky 10 to 15000 feet in elevation that wa
11/24/20 00:05,Elwood,IN,Sphere,20 minutes,3 disks gathered in the midnight sky
11/16/20 20:37,Saint John,IN,Triangle,,Low flying quiet but deep & muffled Triangle. Hovering capabilities.
