date_time,city,state,shape,duration,summary
5/6/21 22:55,Burlington,KS,Light,~3 minutes,Over New Strawn Ks a line of white bright objects traveled in a uniform straight line slowly aprox. 200 to 500mph im guessing. It mig
4/18/21 04:20,Independence,KS,Light,5 minutes,Driving home early morning 3 bright orange lights were witnessed on the south side of the city on highway 75
4/6/21 12:30,Wichita,KS,,,MADAR Node 123
3/13/21 16:37,Wichita,KS,,,MADAR Node 123
3/11/21 21:20,Bennington/Minneapolis,KS,Disk,<1 minute,Second sighting within 10 day timeframe same location same look to UFO same time of day.
3/8/21 06:10,Wichita,KS,,,MADAR Node 123
2/26/21 21:16,Bennington,KS,Disk,1 minute,I was driving home from work and saw green lights hovering off the side of the road about level with the top of power lines.
2/12/21 20:45,Lindsborg,KS,Triangle,20 seconds,Seven fiery craft seen in Kansas sky.
1/8/21 03:22,Topeka,KS,Triangle,10 minutes,I was driving north on Topeka Blvd. About 1/2 mile past Forbes Field when I saw a triangle UFO zig zagging around and then flew over th
1/7/21 21:30,Wichita,KS,Circle,Still Occurring,We have submitted the video my husband took tonight in Wichita. There were 3 circular objects hovering and quickly moving. Please see v
12/26/20 20:00,Topeka,KS,Cigar,Approx 10 minutes,Blue colored circular object in the night sky.
12/8/20 12:45,Eureka,KS,Light,5 mins,Two white lights traveling at a high rate of speed.
12/3/20 22:00,Salina,KS,Light,,My boyfriend was outside smoking a cigarette when he called me to the front porch there was at least 10 lights in a row going the same
11/28/20 23:35,lenexa,KS,Changing,1.5 hours,Rainbow like flashing object that was stationary in the sky
11/26/20 20:15,Olathe,KS,Fireball,3 minutes,Driving home from work and saw one fireball. Watched for about a minute and it disappeared. Drove home about a minute away and looked
11/13/20 17:03,Wichita,KS,Formation,3 minutes,Black formation that gyrated into different S shapes.
11/11/20 18:00,Mission,KS,Sphere,2 seconds,Fast moving bright white spherical object.
11/2/20 12:46,Wichita,KS,Cigar,3 minutes,My mother and I were out running errands in West Wichita on Interstate 235 going south just south of Zoo Blvd. We saw 2 fighter type j
11/1/20 01:00,Pratt,KS,Light,1 minute,it was loud and bright
11/1/20 00:30,Herington,KS,Light,Ongoing,Light hovering southeast of Herington KS
10/31/20 21:00,Ogden,KS,Other,10 minutes,Row of white lights slowly moving over the highway. ((Starlink satellites?))
10/22/20 18:45,Newton/park city,KS,Triangle,30 minutes,About 9-10 objects were all over the sky With a red light. I had thought they were an airplane as they had one light that would blink 3
10/7/20 19:08,Spencerville,KS,,,MADAR Node 81
10/7/20 19:08,Spencerville,KS,Cylinder,2-3 minutes,It appeared to be 20-40 feet long possibly longer cylinder/cigar-shaped clearly outlined and silver/chrome reflective.
10/3/20 15:00,Rossville,KS,Sphere,1 minute,White spheres spotted in Rossville Kansas
9/20/20 20:00,Rossville,KS,Changing,<30 seconds,My friend and I saw a pink/orange light expel a dark object and then dissappear.
9/19/20 22:50,Overland Park,KS,Sphere,10-15 seconds,Spherical-ish shaped orange light traveled from east to west overhead. Thought it might be a lantern but it moved across the sky (ove
9/14/20 15:36,Oaklandon,KS,,,MADAR Node 87
9/4/20 22:54,Topeka,KS,Light,1 minute,Bright ball of flickering red light across the sky in Topeka Kansas
8/25/20 16:30,Leavenworth,KS,Triangle,2 minutes,Witnessed 2 bright orange lights rise and change direction and color. One objects lights went off revealing a dark triangle.
8/22/20 20:45,Kansas City,KS,Light,25 seconds,4-5 small very bright green lights moving around in different directions then zooming off leaving a streak of light and disappearing.
8/19/20 21:00,Topeka,KS,Unknown,5 minutes,Three lights in formation
8/18/20 11:20,Topeka,KS,Circle,10 seconds,Flew very fast and was crazy
8/5/20 22:00,Gardner,KS,Light,14 seconds,It was a huge ball of light it zoomed across the sky but it was like right above the tree line above Walmart and stayed still then it
7/18/20 23:03,Salina,KS,Changing,3 seconds,Two strange balls of light in the sky move away from each other and stop
7/18/20 22:48,Lawrence,KS,Teardrop,7 seconds,Mysterious yellow teardrop shaped UFO Lawrence Kansas
7/18/20 10:30,Bel Aire,KS,Light,3-5 seconds,Me and a neighbor were sitting outside trying to find the Neowise Comet and I looked up to the East and I saw a light that was hovering
7/15/20 21:45,Wichita,KS,Light,7 minutes,Sitting on patio one us seen a light travel across the sky at a steady speed traveling south to north. All of us watched it continue no
7/14/20 00:00,Wichita,KS,Light,5 seconds,The fasted object I’ve ever seen in the sky!
7/7/20 09:00,Goodland,KS,Cigar,3-4 minutes,I let my dog out to relieve himself. I look to northwestern sky. I always watch bird flying. I see a cigar shaped object flying from no
7/4/20 22:30,Salina,KS,Circle,5 minutes?,Our family was watching our town's firework display to the east and one family member felt the urge to look behind them (to the west) a
6/15/20 04:30,Derby,KS,Light,10-15 seconds,Multiple lights over cemetary in Derby KS approx 4:30 AM
6/14/20 20:30,Melford,KS,Circle,7-10 seconds,Round metallic object moving slowly across the skyline for approximately 7-10 seconds stopped then vanished. No sound or lights.
5/30/20 19:46,Wichita,KS,Oval,10 minutes,Was out relaxing on the deck and saw a vertical oval shaped cloud like formation descending in the West horizon. It had a distinct vapo
5/28/20 23:53,Independence,KS,Fireball,1 second,Color-changing fireball craft slowly popped in-and-out of existence.
5/16/20 23:17,Wichita,KS,,,MADAR Node 123 corrected date from previous entry.
5/3/20 13:30,DeSoto,KS,Cigar,3 minutes,Cigar-shaped metallic object hovering north of DeSoto KS in broad daylight
5/2/20 21:00,Eudora,KS,Circle,1:12,11 ufos making an arrow shape flying across the sky. ((Starlink satellites?))
4/28/20 21:20,Wichita,KS,Formation,Minutes,Saw a bunch of round bright lights in formation across the whole sky..((Starlink satellites??)
4/28/20 11:00,Lake Quivira,KS,Sphere,2 minutes,During the morning we saw a UFO fly over us black and transparent almost. It disappeared after a few minutes. Was weirdly shaped
4/27/20 21:30,Kansas City,KS,Formation,15 seconds,1 object with 6 lights or 6 smaller objects in a perfectly straight line moving West to east ((Starlink satellites?))
4/27/20 21:00,Edwardsville,KS,Light,5 sec,Walked outside and seen a straight line of about 15 lights not in a row but two or three separated by a space. ((Starlink satellites?))
4/25/20 21:00,Eudora,KS,Changing,1 week,Increasing activity over the past week . Circular objects on camera . One large crescent moon like object fading in and out like an ecl
4/21/20 00:00,Overland Park,KS,Cross,2-3 hours,Diamond in the sky?
4/18/20 21:46,Eudora,KS,Oval,30 minutes,Small bright lights traveling straight before a few split off in different directions. ((Starlink satellites))
4/18/20 19:45,Topeka,KS,Triangle,5 minutes,Triangle shaped craft surrounded by small crafts in formation moved one direction then another then disappeared.
4/15/20 05:57,Wichita,KS,Light,~10 minutes,Line of lights equally spaced traveling from the north to south ((Starlink satellites?))
4/13/20 11:56,Wichita,KS,,,MADAR Node 123
4/5/20 23:20,Olathe,KS,,2 seconds,Successive bright flashes up into he sky
3/29/20 22:00,St. John,KS,Diamond,2 hours,We live on a farm in southern Stafford County Kansas I went out on our deck and I noticed two bright lights in oblong form that were
3/28/20 10:25,Wichita,KS,Circle,30 minutes,Was walking my dog. And I'm always looking up into the sky. There was a light cloud with lighs streaking through it. It was weird light
3/20/20 09:18,El Dorado,KS,Formation,,"Over 50 small but very visible lights in formation one after the other coming from the N headed S. ((""Spacelink"" satellites??))"
3/12/20 21:00,Council Grove,KS,Light,10 seconds,Flashing red and green lights hovering in the sky
3/11/20 21:13,Olathe,KS,Chevron,45 seconds,Chevron with no lights.
3/6/20 20:00,Junction City,KS,Other,4 minutes,Look like stars moving in a row. ((Starlink satellites))
3/6/20 19:43,Olathe,KS,Light,2 minutes,Multiple lights zoom across the sky. ((Starlink satellites))
3/6/20 19:40,Junction City,KS,Light,>5 minutes,We noticed what we thought was a satellite. Then another one appeared. Then another. ((Starlink satellites))
3/3/20 19:00,Wichita,KS,Circle,2 minutes,I was headed East on West Central when I looked in my rearview mirror in the sky was a red ball falling. Then a smaller red ball broke
3/2/20 17:30,Olathe,KS,Light,2 minutes,15-20 individual circular bright white orb shapes of light moving in a uniform line across the sky. ((anonymous))
2/20/20 07:50,Hutchinson,KS,Circle,3 seconds,Driving down Main St/6th headed North I looked over to my left a bit and noticed a green ball of light shooting across similar to a sho
2/12/20 01:00,St. Marys,KS,Formation,5 minutes,The formation of lights in the sky was moving i. An add fashion and accompanied by these noises as if it were producing very loud sound
2/8/20 19:00,Lenexa,KS,Oval,05:00,Four UFO Blue light shaped objects circulating close to ground in a park
2/8/20 06:14,Overland Park,KS,Light,10 minutes,At 6:13 am  Saturday morning I stepped out on my back porch to have a smoke. I was facing west and the moon was full in the Northwest
2/6/20 18:40,Topeka,KS,Light,~3 minutes,Me (a middle school student) and my dad (who drives my library's book mobile) saw an orb shaped object the color of Venus in the sky mo
2/1/20 19:30,Lenexa,KS,Light,5 minutes or more.,"Seemingly endless stream of equally spaced lights traveling across the night sky. ((""Starlink"" satellites??))"
1/21/20 03:00,Hutchinson,KS,Oval,10 seconds,I sighted the object at 3am-ish in Kansas. My fiancee and I went out to my vehicle to have a cigarette because we couldn't sleep. He w
1/15/20 18:35,Newton,KS,Formation,60-seconds,"Several stars were moving quickly over my headi stopped((""Starlink"" satellites??))"
1/14/20 00:00,Phillipsburg,KS,Other,Weeks,I am copy/pasting a recent news article concerning the recent drone sightings over southern Nebraska and northern Kansas. FBI has rece
1/5/20 02:30,Topeka,KS,Light,Never stopped,I've seen UFOs before but this was different! It wasnt the satelites everyone is seeing either! I walked outside to go to the store and
1/1/20 13:20,Wichita,KS,,,MADAR Node 123
12/29/19 22:15,Lenexa,KS,Light,15 minutes,While driving south on highway 35 I saw a light moving quickly through the clouds from the south east. It stopped abruptly went quick
12/22/19 18:00,Hays,KS,Light,10 min,I stepped out back and saw a straight line procession of &quot;Stars&quot; ... ((Starlink satellites?))
12/21/19 06:20,Wichita,KS,Unknown,5 minutes,Saw a dot in the sky moving slowly with my brother. We watched it move from northwest to northeast. Thought it was a satellite until it
12/19/19 19:40,Belleville,KS,Sphere,30 + seconds,Sighting was at 7:40 pm Saturday December 19th 2019 In Belleville KS.  ((NUFORC Note: Starlink satellites? PD))
12/11/19 22:27,Evansville,KS,,,MADAR Node 153
12/11/19 17:45,Independence,KS,Light,90 seconds,There were four lightsin the sky that appeared to be chasing each other
11/30/19 21:35,Overland Park,KS,Light,3 to 4 mins,Bright lights merge into V formation and vanish.
11/24/19 17:23,Wichita,KS,,,MADAR Node 123
