date_time,city,state,shape,duration,summary
5/13/21 01:00,Radcliff,KY,,30 Min,Cancer and Grey Beings
5/1/21 23:00,Burkesville,KY,Oval,5 minutes,Was over cumberland river near bridge and flew over house on south side bluetooth radio and lights outside started to blink radio made
4/21/21 05:31,Franklin,KY,,,MADAR Node 54
4/17/21,Lexington,KY,Circle,20 minutes,I was bird watching as I was looking up at the sky I noticed something circle shaped color of aluminum foil in the sky at first I thou
4/9/21 20:00,Ewing,KY,Other,30 seconds,Ambulance or UFO
4/1/21 02:00,Louisville,KY,Circle,past couple weeks,So this ships showed up a couple weeks ago. basically theres 3 i can point out every night now cause they go to same general area when
3/19/21 05:36,Franklin,KY,,,MADAR Node 54
3/9/21 21:15,Louisville,KY,Fireball,30 minutes,3 bright orange lights flew over on the same trajectory. From south west to northeast
3/9/21 19:00,Louisville,KY,Formation,20 minutes,March 9 2021 At approximate between 1900 hrs and 1930 hrs today my family and I saw several reds light orbs in the sky. I say they w
3/8/21 22:40,Frankfort,KY,Cigar,<10 seconds,4 lights speed across the sky in a way that planes can't. ((Starlink satellites??))
2/16/21 11:30,Corbin,KY,Diamond,6 minutes,While outside I heard a very loud airplane like noise. The noise was loud enough to startle me and lasted 5-6 minutes. The object itsel
2/5/21 18:30,Hopkinsville,KY,Light,13,Ball of light floating across the sky!
1/29/21 19:30,Demossville,KY,Chevron,6 minutes,My son and I were driving down route 17 where Kenton county meets Pendleton county. We seen a bright red flashing object on the right s
1/28/21 19:30,Demossville,KY,Chevron,6 minutes,My son and I were driving down route 17 where Kenton county meets Pendleton county. We seen a bright red flashing object on the right s
1/4/21 01:15,Bardstown,KY,Changing,~30 minutes,((NUFORC Note: No significant information provided by witness. PD))
1/2/21 11:30,Middletown,KY,Disk,45 minutes,When originally spotted it had red lights on that where in a saucer or disc shape. The object was moving left to right and stopping on
12/25/20 23:30,Hyden,KY,Unknown,Unknown,Bright red orb reported by local 911 center law enforcement dispatched to investigate sightings
12/11/20 18:00,Louisville,KY,Disk,3 minutes,Saucer seen by two individuals over Louisville KY.
12/8/20 05:35,Princeton,KY,Other,8-10 minutes,I observed an orb of white light passing over north Princeton going west to east. It was slow moving and without sound. Two family mem
11/28/20 02:45,Albany,KY,Circle,<2 seconds,Odd light that changed directions.
11/14/20 17:30,,KY,Unknown,3 Minutes,Lights hover above he trees before moving
11/9/20 20:30,Irvine,KY,Other,unknown,star shape high in the sky.it glittered at one of the edges.i was driving when i saw this huge 5 point star
11/5/20 19:15,Louisville,KY,Sphere,5 seconds,Blue moon falls right out of the sky
11/2/20 09:00,Owensboro,KY,Triangle,5 minutes,White luminous triangle in morning sky south of the city.
10/31/20 23:15,Crittenden,KY,Triangle,10 minutes,Pyramid shaped ufo at low altitude and speed with clear visibility.
10/30/20 00:00,Winchester,KY,Changing,10 seconds,I asked my friend if he had looked at the night sky he had said no I walked towards the outside for a look and he followed then nothing
10/22/20 02:00,Bowling Green,KY,Triangle,15 minutes,I had gotten up to use the bathroom and a bright orangish flickering light caught my eye out the window because it was low and relative
10/10/20 21:00,(Unspecified by witness),KY,Light,1 hour,Lights moving around the sky.
10/5/20 13:00,Louisville,KY,Cigar,3 minutes,Low flying all white craft est. 100 ft up. Looked like a military drone.
10/5/20 00:30,Prestonsburg,KY,Disk,2 minutes,Disc shaped object moving in strange directions very quickly
10/2/20 22:00,Berea,KY,Triangle,,3 noiseless and dark triangular aircraft were spotted hovering completely still over the interstate I-75.
9/17/20 21:28,Winchester,KY,Light,2 minutes,Small continuous light moving slowly across the horizon.
9/16/20 06:50,Nicholasville,KY,Unknown,5 minutes,Blue red and white lightswas dark so I couldn't tell the shape but what was odd is that it didn't move at all
9/5/20 20:40,Paducah,KY,Light,30 seconds,Sitting on the patio of a restaraunt downtown. Looked up and saw two fairly big orange lights. Not sure how to relate how big it was. 2
8/22/20 22:20,Lexington,KY,Light,30 minutes,Repeat performance of flashing light see report- 08/09/20 (& 08/04/20-unreported w/ witness)
8/22/20 20:24,Fairdealing,KY,Fireball,~60 seconds,Orange Fireball in Eastern Sky video and photo obtained.
8/20/20 01:00,Jenkins,KY,Light,,There was a bright light in the sky that zoomed off and disappeared!
