date_time,city,state,shape,duration,summary
4/4/21 21:30,Eunice,LA,Cigar,6 seconds,"It was seen coming out north north west heading south southwest and then turned and headed East southeast.

The craft was bright blu"
3/27/21 22:00,cynthiana,LA,Circle,30 minutes,"my best friend and i were sitting on the porch i was facing the roof toward the road, we were behind the house, and she was facing the"
12/9/20 19:24,Benton,LA,Sphere,2 minutes,Two to three objects seemingly intelligently operated. Stopped then swelled in size with large flash and streak of light.
12/7/20 19:00,Slidell,LA,Light,2 hours,Here are longitude and latitude 30 18'15&quot; N 89 52'15&quot; w 30 17'39&quot; N 89 52'15&quot;W 30 17'38&quot;N 89 52'23&quot;W
12/1/20 20:00,Baton Rouge,LA,Circle,all night,"lights, orbs, spaceships, and drones all following me for months"
11/26/20 00:00,Pollock,LA,Changing,2 hours,Bright orange orb stalking my farm. We have had 4 incidents. It changes shape and colors as well as comes all hours.
11/26/20,Pollock,LA,Changing,2 hours,"Update with proof and recordings and pics! I was @ 455-515am walking to my deer stand in my back pasture, not paying attention to the"
11/24/20 05:50,Gibson,LA,Cigar,1 minute,The object was approximately 1/8 of a mile long and had a line of non blinking lights. The object was filmed the entire duration of the
11/24/20 04:45,baton rouge,LA,Other,10 15min,Long skinny no height crystal glass diamond pattern as long as aircraft carrier ufo floating nosound or lights
11/21/20 23:00,Seiper,LA,Formation,1 hour?,"Extremely vivid flashing lights. Seemed to chase us, they would flash in succession, some would be brighter but whatever it was could m"
11/19/20 21:00,Shreveport,LA,Oval,4 min,1 low flying craft at slow speed. Disappeared around 250 yds from me. Orange orb. Grabbed binoculars and craft was covered in an oran
11/18/20 21:30,Shreveport,LA,Oval,3 secs,"Looking at the moon, Saturn, and Jupiter with my binoculars a craft moving extremely fast zoomed past my line of sight amd disappeared"
11/17/20 12:00,Camp Minden,LA,Unknown,8 mins,I been debating should I talk about this topic for a very long time. I been thinking to myself I wonder what the people that saw what I
11/12/20 08:10,Gibson,LA,Disk,5 seconds,Silver reflective object that immediately disappears!
10/29/20 07:15,Thibodaux,LA,Unknown,5 minutes,While unloading fuel I saw this object either giving of light or reflecting light moving slowly across the sky.
10/14/20 20:36,Alexandris,LA,Flash,>1 second,Flash Racing Down Street
10/14/20 07:13,Metairie,LA,Sphere,1 minute,What seemed to be a morning star dimmed the light and disappeared
9/26/20 18:30,Ville Platte,LA,Cigar,1 minute,White cigar shape flying straight with no sound or light emitted.
8/25/20 21:52,River Ridge,LA,Oval,<5 seconds,"While videoing lightning from my porch, I accidentally filmed a UFO/Orb flying over my house at an incredible speed."
8/20/20 22:00,Covington,LA,Triangle,15 seconds,Triangular metallic object with lights seen hovering over subdivision.
8/10/20 21:00,Haughton,LA,Circle,5 minutes 10 seconds,I saw a white light had a red blinking light was moving then stopped then stayed there
6/28/20 20:35,Walker,LA,Triangle,2 minutes,Large Triangular UFO Spotted Moving Slowly Over Louisiana Town.
6/15/20 22:00,New Orleans,LA,Triangle,10 minutes,Smooth white triangle shaped object.
6/8/20 03:30,Franklinton,LA,Triangle,2-3 minutes,Hovering approximately 90sec.at 100 to 150 foot over the Tchefuncte River on the Parish line a dark Triangle Shape Craft seem to be 100
5/21/20 01:00,Carencro,LA,Oval,,V shaped craft with several flashing lights hovered over my house heading west it was silent moving straight over the trees
5/16/20 20:30,Dutchtown,LA,Light,5 minutes,Stationary red/green object then quick acceleration.
4/30/20 00:00,Thibodaux,LA,Light,5,"14 Objects in a row, one behind each other and watch one by one disappear. ((Starlink satellites?))"
4/30/20 20:50,Baton Rouge,LA,Formation,5 minutes,Line of light moving across the sky. ((Starlink satellites?))
4/10/20 10:15,Dubach,LA,Light,3 minutes,I saw a string of lights in the sky with a bright light pulsing down the line fly from 100ft away to over horizon in seconds.
3/12/20 16:43,New Iberia,LA,Formation,2 seconds,"Almost invisible, completely silent, and able to fly from one pole to the other at incredible speed."
3/5/20 21:30,New Orleans,LA,Unknown,3 minutes,Orange Fire Like Orbs Flying Across Mississippi River.
2/22/20 20:00,West Monroe,LA,Oval,2-3 minutes,"Witness 10-12 lights in stairstep fashion hovering over west Monroe (good Hope area). After a few minutes the lights faded, but you cou"
2/16/20 18:00,Kinder,LA,Oval,25 minutes,Shiny non moving object
2/13/20 14:00,Alexandria (near),LA,Disk,10 seconds,Covered Disk shaped Object on Flatbed with US Army Soldiers Following Closely ((NUFORC Note: Military craft?? PD))
2/13/20 02:20,Homer,LA,Fireball,~2 minutes,"I was driving to work and notice a light moving in an unusual manner; very fast, and moving in every direction. ((anonymous report))"
1/28/20 18:35,Natchitoches,LA,Light,5 minutes,Orange/white light in the sky.
1/21/20 16:54,Baton Rouge,LA,Circle,10 minutes,"Large black “balloon” spotted over Baton Rouge, LA, USA"
1/7/20 05:50,Crowley,LA,Light,10 minutes,"A dozen bright strars appeared in a straight line over Crowley, La. this morning. ((""Starlink"" satellites??))"
1/5/20 18:17,Shreveport,LA,Flash,10 minutes,7 flashing lights going from the East to the west flashing one after another in a nice formation i was standing on Yuri Drive
1/5/20 18:07,Shreveport,LA,Formation,30 minutes,"On video chat with husband. There were many trucks in the lot, so it is possible it was more than just he and I who saw the lights."
1/1/20 02:00,Ada Taylor,LA,Light,Nightly 6 hours,I see lights nightly begining about 6:30 pm. Lights move slow then stop for 10 mins then slowly move west. I loose sight of it around 7
12/30/19 08:00,Kelly,LA,Changing,80 seconds,"I don’t have a fancy story to tell or lots of details. I set my ISS app to record while I did the dishes, like I normally do. I later w"
12/29/19 00:06,Marksville,LA,Disk,7 seconds,Me and my fiance seen 2 grayish saucers high up in the sky flying parallel and in sync with each other. They didn't have any lights or
12/25/19 01:40,Mandeville,LA,Light,30 minutes,"Bright light at 0140 a.m. bobbing in the sky, then darting extreme left, right, then back to neutral - constantly moving."
12/19/19 06:00,Hammond,LA,Disk,10 minutes,2 spinning ufo's with flashing lights teleporting around and moving southbound
12/12/19 05:36,Rayville,LA,Light,10-15 mins.,50 to 60 white lights streaming from the Nortwestern to Southeastern sky in almost perfect formation. There was a few that was slightly
12/11/19 19:00,Doyline,LA,Rectangle,10 min,I look across the street and about as high up a a cell tower I saw a group of lights stationary in the sky.it was there for about 10 mi
12/11/19 18:30,Kaplan,LA,Triangle,approximately 2 minutes,I saw strange blinking lights in the sky and when I got underneath it was a triangle.
11/28/19 18:00,Metairie,LA,Circle,10-15 seconds,"very large 3 bright circles, 3 different colors, low in the sky"
11/24/19 18:00,Doyline,LA,Disk,2 min,Huge disc with a flashing light hovering as far up as a cell tower.
11/24/19 02:00,Walker,LA,Other,2 minutes,"Astrophotographer sees 5 dim orangish lights travel across the sky ((NUFORC Note: ""Starlink"" satellites? PD))"
11/16/19 04:38,Lafayette,LA,,0.3s,"I work at an airport, during my morning inspection, I was traveling east , at 290' direction I saw a green / fluorescent light shooting"
11/12/19 18:32,Shreveport,LA,Light,1 minute,"20-25 bright white lights streamed in perfect formation across the sky, ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))"
11/12/19 13:55,Monroe,LA,Other,5 minutes,Dark gray silent craft observed traveling at low altitude at slow speed over north Monroe LA at 2:PM 11/12/19.
11/9/19 20:00,Shreveport,LA,Circle,5 minutes,3 bright lights circular..was watching something else when 3 citcular bright shapes caught my attention. Thought it was stars..then the
10/21/19 19:45,Walker,LA,Circle,30 minutes,"Looking west from porch, ball of flashing lights, stationary long enough to call friends who also saw from 20 miles away from my locati"
10/12/19 16:00,Benton,LA,Other,dont know,ok. How are you or youll. 1st off this really isnt my thing. i myself am very up in the air about what the ufo's may or may not be. thi
10/7/19 22:00,Campti,LA,Circle,3 minutes,Bright orange glow what appeared to be a fire ball at first glance but it was hovering for a minute or so then it just got fainter then
10/3/19 03:49,DeQuincy,LA,Fireball,4 seconds,I saw a large fireball streak across the sky from west to east north of the Lake Charles area. It streaked quickly giving off a bright
10/2/19 22:45,Denham Springs,LA,Triangle,4-5 seconds,Wing shaped grouping of white dots/lights
10/2/19 19:15,Morgan City,LA,Light,2 minutes,"there was a stationary orange light in the eastern sky(stayed there for at least 5 minutes, then it started moving in a westward direct"
9/29/19 01:00,Baton Rouge,LA,Cigar,Continue as of 1:41,"Green, red and white flashing lights.

Visible in the eastern sky.

Extremely slow moving upward Almost stationary.

No other air"
9/17/19 06:40,Geismar,LA,Sphere,3 hours,"Saw a big white round sphere looking blimp, close to the moon. stood stationary for a couple hrs. ((anonymous report))"
9/16/19 20:13,Baton Rouge,LA,Oval,2 seconds,My girlfriend and I both witnessed an oval object flash three times and fly extremely rapidly into darkness above the EBR library.
9/12/19 20:14,Westwego,LA,Light,Multiple lights moving ex,Video take multiple heading toward the batonrudge direction. The hole thing lasted about 5 minutes. ((anonymous report))
7/31/19 21:00,Shreveport,LA,Triangle,1 hour,"White / Orange Orbs In Triangle Formation Shreveport, La"
7/21/19 20:00,Reeves,LA,Unknown,2 hours,My girlfriend and I saw a giant red aura in the sky that we watched for over two hours.
7/19/19 23:35,Lafayette,LA,Unknown,12 minutes,"4 crafts/objects in night sky. Each one occupying a particular, navigable direction. Moved in manner that defied physics. Phenomenal."
7/19/19 03:23,Denham Springs,LA,Unknown,10 seconds +,Object with two lights moving up and down in back yard. ((NUFORC Note: Report retracted by witness. PD))
5/31/19 19:00,Kenner,LA,Triangle,20 seconds,"A triangle object with 2 white lights close together and a red and blue light on each side , near the airport."
5/30/19 20:46,Gulf of Mexico (Desoto Canyon),LA,Other,20 seconds,Lights above the Gulf of Mexico off Louisiana Coast
5/17/19 19:35,Ponchatoula,LA,Other,5 minutes,"Object looked similar to a large plane,but it looked as though it had two cigar shaped bodies the length of the object. it moved at"
5/15/19 20:30,Mt. Hermon,LA,Disk,40 minutes,My husband and I left mt hermon headed to amite Louisiana. It was around 830pm. As soon as we got out onto hwy 38 we noticed about 4 di
5/13/19 22:11,New Orleans,LA,Other,8-9 seconds,"Point of light, like a satellite, transiting the sky east to west, made abrupt directional changes that seemed to defy physics."
5/12/19 16:00,Lake Charles,LA,Other,10 minutes,Was at air show and was in a pic I took of a F-22
5/12/19 10:37,Baton Rouge,LA,Triangle,,There were lights on the object and the object changed colors. ((anonymous report))
5/10/19 10:30,Morgan City,LA,Cigar,3 minutes,"It was Cigar shaped, Fluorescent Orange & Brighter at Both Ends, Positioned Horizontally & Slowly Moving East.

It was around lunch t"
5/8/19 00:00,Lawtell,LA,Unknown,10,Someone just told me a UFO was seen in this area and supposedly on the news. I have no other information. ((anonymous report))
4/17/19 22:20,Gonzalez,LA,Triangle,1 minute,Three lights in the shape of a triangle with one red light in the center.
3/18/19 19:00,Kenner,LA,Unknown,15 minutes,I saw a craft(s) with a hugh bright light in front and the light wrapped around craft like a semi circle.
3/10/19 22:00,Harahan,LA,Circle,5 minutes,Green fireball ufo gliding across the sky without a trail.
2/20/19 22:00,Lafayette,LA,Disk,35 seconds,"Data Surveillance, Data Manipulation, Gravity Effects"
2/13/19 05:00,Slidell,LA,Circle,30 minutes,I saw a bright white light at first moving and then just staying in the same spot and moving slightly like it was just hovering there f
1/1/19 20:00,Baton Rouge,LA,Triangle,5 min,Three red stationary orbs. Couldn’t tell if connected to craft. I’d for several minutes until two airplanes and two helicopters came to
12/10/18 14:30,Sulphur,LA,Oval,10 seconds,"Oval, shiny object very high in clear sky moving SE to NW. ((anonymous report))"
11/22/18 21:45,Lake Charles,LA,Triangle,10-15 seconds,"Saw a triangular aircraft that hovered approx. 25 yds above trees with a orb of white light, then the white light went green and left."
10/21/18 15:15,Opelousas,LA,Cylinder,20 seconds,"Oblong shape suspended in southern sky to the south and west of Opelousas, Louisiana."
10/15/18 20:30,Amite,LA,Disk,5 minutes,Object seen hovering over a field behind a large church. It was stationary at first. We watched from a stop sign in our car as it hover
10/1/18 21:30,Taensa Parish,LA,Other,10 minutes,I noticed on the horizon Facing E what appeared to be 1 to 3 flashing lights in the sky.
9/8/18 00:30,New Orleans,LA,Cross,2 minutes,Spooky cross-like object tumbling and moving along very high in the air. perhaps 5000 ft or so and not losing altitude. 5mph winds.
7/14/18 21:20,LaPlace,LA,Chevron,1 minute,Pentagonal lights/very large black craft.
7/5/18 18:45,Baton Rouge,LA,Disk,5 minutes,"Outside got dark, I went out to roll up windows when I saw up in the clouds a round silver shinny saucer with a tall dome in the clouds"
6/8/18 22:12,Lafayette,LA,Light,20 seconds,"First the space station, then another distinct light crossed it, hesitated and zigzagged opposite it until disappearing."
5/26/18 23:00,Crowville,LA,Other,6 seconds,Rotating tic-tac shaped object rotating end over end.
