date_time,city,state,shape,duration,summary
5/16/21 00:12,Bowdoin,ME,Formation,10 seconds,Very large silent Light formation moving at plane speed.
5/4/21 21:30,Harrington,ME,Cylinder,30-45 seconds,"I was taking out my trash for the following morning and saw this florescent cylinder shaped craft hovering above our home, I called to"
4/27/21 15:31,South Portland,ME,Other,5 minutes,My husband saw a sparkle in the sky and thought it was a balloon. I thought it was too high up and big to be a balloon so I grabbed my
4/20/21 23:00,Bridgton,ME,Light,10 minutes,"I was outside at midnight on April 20th 2021 when I saw what I think was multiple UFOS. I was out in the backyard in Bridgton Maine, wh"
4/8/21 00:15,Cape Elizabeth,ME,Formation,30-45 seconds,"5 white orbs seen moving south, spread out+ erratic movement."
3/20/21 21:45,Presque Isle,ME,Light,30 seconds,"Three white dull lights in triangle formation, moved fast and disappeared."
3/20/21 20:00,Levant,ME,Sphere,5 minutes,Several amber spheres hovering silently
3/14/21 09:00,Isleboro,ME,Egg,Picture,"Round White Ball over Water in Isleboro, Maine"
2/13/21 18:30,Casco,ME,Formation,5-10 minutes,Multiple lights in a formation disappearing one by one. ((Starlink satellites??))
2/13/21 06:30,Berwick/Wells,ME,Triangle,10 minutes,My husband and I were driving home from a shopping trip in NH. We were near the Berwick / Wells line and it was 6:30 PM. I looked in th
1/7/21 17:00,Wells,ME,Light,5 seconds,"Greenish, white orb appears and drops straight to the ground."
1/2/21 21:30,Buxton,ME,Cross,30 seconds,"Close encounter with a massive UFO in Buxton, Maine"
12/31/20 17:00,Eagle Lake,ME,Disk,40 Minutes,UFO In My Backyard On New Year’s Eve
12/22/20 21:00,Searsport,ME,Changing,Over an hour,Bright changing objects hovering over Searsport’s bay making dipping motions and then we noticed a three lighted object very very high
12/9/20 21:47,York Harbor,ME,Circle,44 minutes,Pulsating Circular Light in sky off Southern Maine Coast
12/4/20 18:45,Alfred,ME,Diamond,7 minutes,I’ve seen drones fly in a night sky these things were so visible they were very noticeable
10/26/20 14:00,Standish,ME,Triangle,20 minutes,Triangular shaped craft with bright flashing lights moving slowly then stopping overhead.
10/2/20 19:15,Brunswick,ME,Circle,2 minutes,2 very fast circular crafts moving impossibly fast followed by 3 helicopters at much lower speed.
9/27/20 00:00,Kennebunk,ME,Triangle,30 minutes,Is this a UFO or the government
9/18/20 23:48,Trenton,ME,Light,4 seconds,Looking up to the east.I saw a bright pink light shoot down and then sharply shoot straight up and disappeared. I thought it was a weir
9/18/20 20:23,Jefferson,ME,Triangle,1,"Bright triangle shape, no flashing or colored lights. Saw it approaching from the south headed northeast. No sound. Some zig zag right"
9/18/20 20:20,Prospect,ME,Light,3-4 minutes,"Bright Light UFO spotted in Prospect, Maine"
9/11/20 22:01,Portland,ME,Other,7 minutes,Lights that turned into a white cloud
9/6/20 22:00,Pemaquid,ME,Light,5 seconds,My wife and went to have a nice relaxing night on a Sunday night just got dark and laying on beach watching stars and talking and I gra
9/2/20 20:00,Rumford,ME,Triangle,All day all night but mor,Total invasion in home town by Extra dimensional entities that torment me and my family night and day.
8/26/20 00:13,Ellsworth,ME,Circle,1 hour and counting,"Small Circular Orange in color moving up, down, left, right switching between slow and quickly actions."
