date_time,city,state,shape,duration,summary
5/19/21 10:50,Clarksburg,MD,Triangle,1 min,Triangle ufo
5/16/21 21:30,Williamsport,MD,Formation,10 minutes?,varying pattern of blinking lights VERY bright shaped like an inverted question mark
5/6/21 22:33,Rockville,MD,Light,2 minutes,Multiple lights moving with constant brightness.
4/27/21 13:06,Hanover,MD,,,
,,,,,
MADAR Node 77,5/20/21,,,,
4/11/21 22:00,Baltimore,MD,Changing,20 minutes,Pulsating orb miles in the sky remained still. Broke into multiple lights then back into 1. Disappeared after 20 minutes.
4/9/21 23:00,Saint Leonard,MD,Sphere,3 minutes,Red/orange spheres flying across the sky and I have video
3/22/21 23:37,Clarksburg,MD,Oval,5 seconds,Looked up and noticed a cylindrical object moving horizontal in the sky with what almost looked like a flame like tail.
3/21/21 20:35,Annapolis,MD,Formation,10 minutes,Red green white and blue lights moving across sky in Annapolis MD.
3/19/21 20:15,Ellicott City,MD,Changing,10 seconds,Seen and object 2 times 1er time it look like a light and it will turn light on and off 2 time 2 minutes later  my son in the car sa
3/17/21 19:25,Pasadena,MD,Light,2 minutes,Bright flying object hovered then disappeared in the sky
3/14/21 06:00,Boonsboro,MD,Light,10 minutes,A round white light with a &quot;V&quot; tail streaming behind it slowly moving across sky. ((Falcon 9 launch))
2/21/21 11:11,Towsan,MD,,,
,,,,,
MADAR Node 31,3/31/21,,,,
2/8/21 20:45,Hagerstown,MD,Light,20 minutes,Distant light moving oddly in night sky above Hagerstown MD
1/16/21 19:49,Westminster,MD,Sphere,30 seconds,Noticed a white light expanding and contracting approximately 300 yards from my window. It approached my direction at around 500 feet a
1/15/21 13:55,Hanover,MD,,,
,,,,,
MADAR Node 77,3/2/21,,,,
1/13/21 20:00,Dundalk,MD,Sphere,2 mintues,Hovering Light
1/7/21 18:49,Pylesville,MD,Diamond,2 minutes,Diamond shaped bright light aircraft seen slowly moving
1/3/21 23:00,Edgewater,MD,Unknown,1 minute,Bright flashing multi colored lights coming from object traveling across the sky
1/1/21 15:25,Towson,MD,,,
,,,,,
MADAR Node 31,1/19/21,,,,
12/31/20 23:30,Damascus,MD,Fireball,12:00,Red sphere transitions into an eye...
12/27/20 22:20,La Plata,MD,Sphere,5 seconds,A yellow sphere circle twice and the zoom out to disappear. It traveled from Northeast to the Southwest
12/26/20 21:40,Delmar,MD,,,
20min,Unexplainable bright pulsating yellow-orange object hovering and then flying away at a high rate of speed.,1/19/21,,,
12/15/20 01:00,Worton,MD,Changing,From the year 2017,I have seen and still have them fallowing me . I have them on video hundreds they also interfere with my phone I can send you pictures
12/13/20 07:10,college park,MD,Other,1 second,4 dots and a beam
12/13/20 06:45,annapolis,MD,Light,45 min,1 object north east bound disappeared then two bright objects disappeared then the last object covers a large area of the sky making n
12/8/20 18:10,OCEAN CITY,MD,Light,15 minutes,2 sets of lights hovering over the ocean near the inlet. The lights kept appearing and disappearing in the same area. The lights were
12/5/20 09:34,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
11/29/20 19:14,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
11/26/20 03:26,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
11/13/20 17:35,Baltimore,MD,Light,6 minutes,Two White Lights Over Baltimore
11/7/20 09:00,Essex,MD,Cigar,3 minutes,It was as clear a sky as there can beno clouds whatsoever. I just arrived at my destination to work. I got out the truck and looked up
11/7/20 09:00,Essex,MD,Cigar,2 minutes,3 ufo were right in front of my eyes and I'd love to know who else might have seen the same thing!!!
10/31/20 20:00,Dundalk,MD,Sphere,5 minutes,Red lights over Dundlak
10/31/20 20:00,Dundalk,MD,Sphere,5 minutes,Red Lights and Spotlight
10/31/20 07:00,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
10/23/20 06:55,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
10/21/20 01:00,Annapolis,MD,Oval,,
Green and red flashing lights moving in a zig zag super bright and looks like its hovering in the air,12/23/20,,,,
10/20/20 06:53,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
10/9/20 23:25,Elkridge,MD,Diamond,3 minutes,Approached by diamond shaped white light on I-95 alone at night.
10/7/20 14:38,Hanover,MD,,,
,,,,,
MADAR Node 77,12/23/20,,,,
