date_time,city,state,shape,duration,summary
5/17/21 00:20,Fall River,MA,Fireball,3 minutes,Early Monday morning I was sitting on my deck looking north east that's when I noticed a large red and orange ball of light just unde
5/16/21 12:05,Plymouth,MA,Cigar,3 min,Large dull white cigar or disc hovered gradually glided east where it vanished as if the night sky absorbed it it made no sound
4/13/21 22:15,West Bridgewater,MA,Triangle,10 seconds,Triangular shaped craft with star field camouflage on underside which made no engine noise as it passed overhead.
4/5/21 20:25,Lancaster,MA,Disk,1 minutes,There was a flying saucer with flashing lights hovering and the quickly disappeared
4/5/21 20:22,Lancaster,MA,Unknown,1 minute,Big saucer like figure floating with green blinking lights just blipped into nothing
4/2/21 06:57,Whately,MA,,,MADAR Node 67
3/30/21 20:29,Brewster,MA,Oval,4 minutes,Moving lights on dark mass
3/29/21 19:00,Gloucester,MA,Sphere,30,Across Gloucester Harbor south of Eastern Point were to spheres hovering near the lighthouse area dimming then brightening their lights
3/16/21 20:30,Hyannis,MA,Unknown,5 minutes,Silent object flying relatively low beneath clouded sky
3/14/21 06:10,Winthrop,MA,Triangle,60 seconds,large triangular craft fixed white lights slow moving with white haze / mist around craft west to east roughly altitude 4000 ft no so
3/7/21,Boston,MA,Light,20:45,I was driving south on I-95 with my daughter at almost 9pm and we saw 6-7 lights flying low over the city then crossing over the Char
2/27/21 23:30,Danvers,MA,Light,1 minute,Last night on the 27th of February 2021 I was on my 5th floor balcony when I noticed a bright light coming from the Southeast. This is
2/17/21 21:00,MEDFIELD,MA,Chevron,2:00-300 minutes,Three chevron shaped brightly lit objects (perfectly spaced apart) flew just above tree level at 21:00 hrs.
1/14/21 02:20,Wareham,MA,Circle,2-3 seconds,Reported as a meteor American Meteor Society. Object was round white 1/4 the size of a full moon though very light haze moving SSE t
1/11/21 23:00,Lake Pleasant,MA,Light,1 hour,Dancing Orange and red star
1/7/21 20:30,Northampton,MA,Sphere,5 minutes,Glowing flashing spinning orb spotted moving around in night sky
12/22/20 08:00,Pembroke,MA,Circle,60,Green Orange and White Lights Low to Ground in Pembroke MA USA
12/18/20 16:45,Marlborough,MA,Light,1 minute,Object Emits Bright Light Turns Off and Quickly Leaves the Sky
12/13/20 20:05,Framingham,MA,Circle,4 minutes,Saw four red glowing balls moving at a high rate of speed one of them turning at a 90° angle. They were blinking in and out
12/12/20 23:37,Hanover,MA,,,MADAR Node 77
12/3/20 19:15,Amherst,MA,Chevron,30 seconds,On Friday December 3rd I spotted a black triangle aircraft flying North to South over Amherst Massachusetts.
11/23/20 16:00,Salem,MA,Light,3-5 mins,Three orbs spotted over Salem Ma
11/21/20 03:19,Barnstable,MA,Disk,5 minutes,At about 3:19 in the afternoon 2 friends and myself were watching a sunset with heavy cloud cover when we all witnessed an object reve
11/15/20 16:03,Somerset,MA,Fireball,30 Seconds,Single orange-red orb traversing the sky in 30-seconds above cloud cover SE to NW
11/15/20 02:00,braintree,MA,Sphere,30 to 45 minutes,object dropped from the sky and the creatures picked it back up
11/8/20 19:00,Needham,MA,Triangle,20 seconds,Triangle/chevron shaped stationary craft still in the sky and than shot up out of the sky and disappeared
11/6/20 17:00,Swampscott,MA,Light,3 minutes,Me and my girlfriend Witnessed to moving lights around the planet mars just when the sun went down. It looked like one light faded away
