date_time,city,state,shape,duration,summary
5/16/21 20:15,Grand Rapids,MI,Light,1-2 minutes,Bright white light in twilight sky.
5/16/21 15:45,New Baltimore,MI,Circle,3 minutes,Reflective slow moving white ball
5/15/21 23:30,Rochester,MI,Sphere,3 minutes,Silver Sphere Ufo
5/15/21 22:55,Holland,MI,Circle,20 lus minutes,I use the ce5 protocols and got footage totally by accident i was sitting on my porch recording and it wasn't until after I looked an
5/14/21 21:30,Ironwood,MI,Circle,,It was a clear night in May 14 2021. I saw a bright white “star-like” thing in the sky. It was moving. I was looking west of Ironwood.
5/10/21 23:00,Taylor,MI,Oval,All night,Dark spots in the night are UFO.s
5/8/21 00:00,Eagle River,MI,Formation,15 minutes,At night midnight sky. First saw 10-12 white lighted capsules moving across the sky in perfect formation. Moving in a straight line s
4/27/21 04:00,Okemos,MI,Triangle,1 minute,On the morning of April 27th 2021 I was sitting outside smoking cigarettes under my deck at approximately 4:00 in the morning near Eas
4/2/21 22:00,Clarkston,MI,Formation,3 seconds each,Two instances of a formation of three lights moving rapidly across the sky
3/12/21 01:47,Battle Creek,MI,Unknown,~2 hours,Triangular Lights
2/27/21 00:42,Riverdale,MI,Diamond,2 frames,I speed lit object flying from Earth at rapid speed
2/26/21 03:00,Pinkney,MI,Circle,90 minutes,Observed very large circular object with white lights along edges top and bottom. Observed moving around a 50 mile area at an altitude
1/29/21 20:10,Kentwood,MI,Formation,10 minutes,A line of lights just appeared in the sky over the building on the street behind me. There was no sound. ((Starlink satellites??))t
1/29/21 18:45,Warren,MI,Light,continuing,Light is continually flashing in the south west sky. No movement. Seen with the naked eye.
1/22/21 15:28,Farmington Hills,MI,,,MADAR Node 144
1/18/21 10:36,Farmington Hills,MI,,,MADAR Node 144
1/17/21 08:30,Jonesville,MI,Flash,20 seconds,Strange flashing lights across the sky
1/14/21 05:45,Rockford,MI,Light,Hour/s,Bright light that moved in a very unusual &quot;flight&quot; pattern
1/13/21 06:47,Farmington Hills,MI,,,MADAR Node 144
1/9/21 07:29,Harrison,MI,Unknown,Seconds,After taking this picture then getting home I reviewed the picture and noticed the object?
12/29/20 06:44,Farmington Hills,MI,,,MADAR Node 144
12/24/20 20:10,Marshall,MI,Circle,1 minute,Fast moving large orange orbs in the sky.
12/23/20 07:30,Canadian Lakes,MI,Light,5 seconds,light in sky no sound
12/15/20 17:30,Brookly,MI,Light,2 min,Saw a bright light hovering low over a piece of farmland the light shifted to my right as I was facing it stopped and then started to
12/10/20 06:55,Petoskey,MI,Light,8 seconds,Bright Flash on Fast Little Light Traveling over Little Traverse Bay
12/5/20 18:33,Naubinway,MI,,2 minutes,Forty “Stars” In A Straight Line As They Headed Towards Mars from West to East
12/1/20 14:45,Weidman,MI,Light,4-5 minutes,Extremely bright mirror like light that left vapor trail then disappeared in clear sky
11/30/20 20:27,Farmington Hills,MI,,,MADAR Node 144
11/28/20 17:00,Buchanan,MI,Fireball,1 minute,large arching fireworks; no sound; two large glowing circles formed an arch and then split and disappeared
11/24/20 05:00,Grand Ledge,MI,Chevron,5 seconds,v shaped object over Grand Ledge MI
11/22/20 20:00,Midland,MI,Fireball,2 Minutes,Orange plasma orbs; Midland Mi -2 minute sighting West of MBS airspace
11/13/20 19:05,Cadillac,MI,Triangle,20 seconds,craft hovered in the sky hard to make clear of the shape because it was dark though I think triangular. Had lights like a vehicle's h
11/10/20 06:19,Farmington Hills,MI,,,MADAR Node 144
11/8/20 18:05,Kalamazoo,MI,Unknown,10,Strange Orange/Yellow Lights Sequential Aircraft North East Kalamazoo
11/4/20 18:47,Howell,MI,Unknown,10 minutes,Entity appeared night sky changed 4 times
11/1/20 12:22,Farmington Hills,MI,,,MADAR Node 144
10/24/20 20:45,Fraser,MI,Formation,3 minutes,String of lights on top of cigar share light beam. ((Starlink satellites?))
10/24/20 19:30,Sterling Heights,MI,Cigar,30 seconds,Long UFO seen from sterling heights. ((Starlink satellites?))
10/24/20 19:25,Jackson,MI,Unknown,1 minute,The five of us were by a bonfire. It just had turned dark outside. We saw a long line moving from the northwest to the southeast. It fi
10/24/20 19:00,St. Clair Shores,MI,Formation,7 minutes,There was a string of whitish blue lights in single file formation silently gliding by in the night sky and then disappearing into the
10/16/20 09:45,Brighton,MI,Rectangle,15 seconds,Completely white 1 object with 2 shapes moving at various speeds
10/15/20 06:30,Irons,MI,Circle,4 minutes,30 to 40 dots moving from west to north east over 4 minutes ((Starlink satellites?))
10/13/20 05:00,Battle Creek,MI,Light,Weeks?,Strange blue lights from the sky
10/10/20 20:00,Beaver Island,MI,Triangle,5 hours,3 triangle objects hoovering
10/10/20 16:30,Otisville,MI,Other,5 minutes,Neon Orange lines making zigzags and circles in a small area
10/8/20 03:00,Lansing,MI,Circle,2 seconds,green light with a smoke tale falling in the south sky.
10/7/20 21:00,Ferndale,MI,Chevron,45 seconds,Pale blue asymmetric chevron of several steady lights.
10/7/20 09:13,Waterford,MI,Flash,2:31,Object started flashing ( I’m aware it’s not the planet next to it) lasting actually about 5 minutes. I was parked in my car craft a
10/5/20 14:21,Farmington Hills,MI,,,MADAR Node 144
10/5/20 10:35,Potterville,MI,Disk,Unknown,Object was noticed post event in a cell phone picture.
10/4/20 21:30,Mason,MI,Light,1 minute,It was what looked like a bright star or thought it was maybe mars but as I video it it seemed to change colors and pulse it's not the
10/4/20 20:45,Lowell,MI,Circle,30 seconds,Bright light looked like shooting star from south to north then immediately stopped. The objected turned 90 degrees and accelerated out
9/26/20 21:36,Fremont,MI,Fireball,8 minutes,Two orange balls silently fly over Michigan from south to north.
9/21/20 10:33,Farmington Hills,MI,,,MADAR Node 144
9/19/20 21:00,St. Clair,MI,Sphere,21:03,My girlfriend and I were outside and have witnessed the same thing in the sky two evenings in a row flying East towards Canada from whe
9/15/20 22:39,Coldwater,MI,,5 minutes,((NUFORC Note: Witness provides no text about her sighting. PD))
9/12/20 06:30,Grosse Ile,MI,Sphere,~7 hours,Two objects that appeared as planets even after sunrise - one may have been Venus but then what was the other one?
9/11/20 22:40,St. Clair,MI,Circle,on going,Satellite drone disguising as a star
9/3/20 21:22,Farmington Hills,MI,,,MADAR Node 144
9/3/20 20:00,Dansville/Mason,MI,Light,10 seconds,Triple lights in the sky.
9/2/20 23:00,Allendale,MI,Circle,2 minutes,Silver circular craft with white lights.
8/29/20 20:50,Jackson,MI,Disk,8 minutes,Multiple balls of fire moving twice as fast as planes in a triangular pattern. Two were not lit and hovered and we're moving slower.
8/22/20 19:05,Birmingham,MI,Circle,7 minutes,Single bright white circular object spotted in daylight followed by small group of objects moving south to north
8/22/20 18:30,Madison Heights,MI,Circle,10 minutes,Slowly traveling from NNW towards SSE at approximately 95000 feet. Whole object randomly flickered bright then dull due to either th
8/21/20 22:30,Whitmore Lake,MI,Circle,2 minutes,changed direction on a dime
8/18/20 15:30,Holland,MI,Oval,~5-8 seconds,Two white objects flying twice the speed of other jet aircraft following the flight path of a plane that had just flown over.
8/14/20 23:40,Wyandotte,MI,Light,10 minutes,Ball of light hovering in Detroit Metro area.
8/13/20 02:45,Lansing,MI,Unknown,1 second,light mass seen streaking across sky in south westerly direction
8/13/20 02:30,Lansing,MI,Teardrop,1.5 seconds,Was on Moore's River Dr in Lansing on the first dock At river around 2:30 am I got out of my vehicle to look out into the river. Anothe
8/13/20 02:23,Au Train (Forest Lake),MI,Unknown,10 seconds,FOREST LAKE MI 13 AUG 2020 0223 UFO SIGHTING
8/12/20 03:30,Jackson,MI,Light,1-2 seconds,Bright stationary light north of my house that suddenly disappeared.
8/11/20 22:03,Lewiston,MI,Fireball,30 seconds,Orange fireball shot over lake in Lewiston Michigan
8/9/20 06:51,Farmington Hills,MI,,,MADAR Node 144
8/1/20 20:00,Detroit,MI,Light,5 minutes,Two giant light orbs moving over Detroit.
7/29/20 00:02,Monroe,MI,Rectangle,15 minutes,Two stationery rectagular shapes brilliant whte lights with splash of red and green in bottom half.
7/25/20 11:45,Dearborn,MI,Light,06:00,I have watched skies own advanced telescopes and don’t believe in alien visits to earth.
7/20/20 22:45,Waterford,MI,Other,45 minutes,I have pictures of this object and they have great quality. For weeks I looked at how the planets looked from earth and there is no sim
7/19/20 06:01,Farmington Hills,MI,,,MADAR Node 144
7/17/20 04:30,Westland,MI,Circle,2 hours,Circular craft with lights around itfollowed by long straight craft multiple ships over 7 hours.
7/12/20 22:45,Madison Heights,MI,Other,5 seconds,The speed at which this was moving was unbeleivable
7/12/20 20:34,West Bloomfiled,MI,Circle,5 minutes,Walked outside on to the deck looked up and noticed a white thing floating really high up it looked like a small dot but didn't move
7/8/20 23:00,Bridgman,MI,Unknown,5-10 seconds,Quick ufo sighting at night bridgman michigan
7/6/20 06:00,Harper Woods,MI,Circle,5 minutes,3 objects seen by 2 Harper Woods Mi. Police Officers.
7/5/20 19:30,Temperance,MI,Circle,3 minutes,Bright metallic Orb.
7/5/20 17:40,Wales,MI,Circle,5-10 seconds,Laying in hammock in shade looking at sky when I noticed a round object white in color traveling in a straight line at an extremely h
7/1/20 02:30,Oxford,MI,Light,1 + hours,Bright light with red tail that makes a gliding movement across the sky whenever it moves.
6/29/20 22:30,St. Clair Shores,MI,Circle,5-6 seconds,Lights Spinning Slowly for a moment then zoomed north.
6/25/20 08:59,Farmington Hills,MI,,,MADAR Node 144
6/24/20 21:30,Sault Ste. Marie,MI,Light,Two Live Photo’s on my iP,Working on the roof taking pictures of the sunset
6/22/20 06:51,Farmington Hills,MI,,,MADAR Node 144
6/11/20 12:12,Ypsilanti,MI,Triangle,6 minutes,high flying object stationary for at least 5 minutes before quickly flying out of sight
6/6/20 12:30,Kimball,MI,Light,10 seconds,My partner and i were on a walk with our dog looking for loud music in our neighborhood. On the walk home i thought this very bright cl
6/3/20 22:00,Ft. Gratiot,MI,Sphere,~1-2 minutes,At approximately 10:00 on on June 3rd2020... I walked out onto the deck of my 2nd story apartment looking south... I noticed a solid o
5/30/20 09:00,Lansing,MI,Circle,11 seconds,Came outside. Starting recording at 9:51pm. Saw a white circular object moving fast across the sky. Looked like it was going in a str
5/23/20 07:30,Mackinaw,MI,Circle,1 minute,Mackinac bridge cam sighting
5/17/20 01:48,Farmington Hills,MI,,,MADAR Node 144
5/14/20 17:45,Beulah,MI,,,MADAR Node 51
5/14/20 15:13,Farmington Hills,MI,,,MADAR Node 144
5/12/20 22:10,Kingsford,MI,Triangle,1-2 minutes at the most,A craft about the size of a B-52 &quot;flew&quot; over head around 100-300ft above me at a SE to NW direction at 22:10 made no noise ha
5/11/20 21:00,Livonia,MI,Circle,Hours,Have seen it just about every single night for two weeks straight it is not an a/c. ((NUFORC Note: Venus?? PD))
5/6/20 23:00,1479 dundee drive,MI,Other,10 minutes,please i hope to take polygraph to verify
5/4/20 10:00,Hudson,MI,Circle,20 minutes,We saw 35 lighted saucers flying with east in a sight line heading toward Detroit Michigan unbelievable! ((Starlink satellites?))
5/3/20 22:08,Sterling Heights,MI,Light,Five minutes,I noticed one satilte that ((Starlink satellites??))
5/3/20 22:03,Westland,MI,Light,15 minutes,UFO Sighting: Westland Mi. ((Starlink satellites?))
5/3/20 22:00,Garden City,MI,Light,20 minutes,Line of over 25 moving starlike lights seen traveling equal distance and speed west to east single file. ((Starlink satellites?))
5/3/20 21:00,Shelby Township,MI,Rectangle,30 seconds,I was watching TV from my house and saw a large drone like object fly over my house through the window.
5/1/20 21:00,Port Huron,MI,Light,9 hours,On the night of 5/1/2020 at 9 pm me and my wife seen on our security cams in the front of our home a beam of light that looked like a s
5/1/20 05:03,Jacksonn,MI,Disk,,30 or more flashing stars or orange white and yellow in the sky one giant and low flash to the lower East. ((Starlink satellites?))
4/26/20 22:40,Pinckney,MI,Other,15 seconds,Many lights up and down. ((Starlink satellites?))
4/26/20 22:20,Portage,MI,Light,30 swc,Straight line of unevenly spaced lights moving from West-Southwest to East ((Starlink satellites?))
4/26/20 22:14,Cassopolis,MI,Light,30-40 seconds,In-Line groupings of light streaming across night sky and dissapearing at specific point. ((Starlink satellites?))
