date_time,city,state,shape,duration,summary
5/16/21 12:42,Otsego,MN,Disk,2 min,We observed a comet about 10 minutes before. We were fishing by the boat launch opening and looked up and say a line of lights. The li
5/15/21 11:50,Burnsville,MN,Disk,5 sec,Animated looking green glowing flying saucer
5/15/21 00:45,Storden,MN,Cigar,1:00,As I was closing the local bar alone. I looked up to the north and saw a subtle shiny object. It was shaped like a blimp or cigar. It a
5/9/21 03:10,Minneapolis,MN,Light,,blue light crash. cube space craft with yellow lights
5/8/21 23:00,Chisholm,MN,Circle,20 minutes,Hundres of white lights traveling in the same direction and same speed west to east over Chisholm mn  there was a pattern ( *** **
5/7/21 09:57,Sartell,MN,Other,3,"Saw a straight line of possibly 30 lights traveling from the southwest to the northeast.

We didn't hear anything from them. Not sur"
5/4/21 22:00,Spicer,MN,Rectangle,5 minutes,Titanic size slow low floating silent rectangle
5/4/21 21:55,Maple Lake,MN,Cigar,2 minutes,I saw a string of lights in an absolute straight line flying silently across the sky from West to E. ((Starlink satellites??))
5/4/21 01:00,Zimmermann,MN,Fireball,15 minutes,There was a massive line of straight light looking like fire balls but in a perfect formation with blinking lights all around it. It ho
4/20/21 21:48,Minneapolis,MN,Sphere,4 seconds,Bright white sphere briefly materialized over Minneapolis.
3/23/21 01:30,Chaska,MN,Fireball,5 minutes,4 glowing red balls traveling east to west no blinking no noise 2 witnesses
3/15/21 06:35,Plymouth,MN,Sphere,11 minutes,Three bright yellow dots seen hovering over houses and a tree before disappearing into thin air
3/14/21 21:00,Randolf,MN,Circle,20 minutes,Circular light formation see by 4 people
3/8/21 22:20,Rochester,MN,Rectangle,20 Seconds,Black Flat Rectangular Flies Over House in Absolute Silence
2/26/21 23:18,Shakopee,MN,Disk,>1 hour,My fiance saw this on the way to a casino on 1100 Canterbury road in shallows Minnesota on Feb 26 2021. Counted 9 bright blue lights i
1/22/21 18:40,Annandale,MN,Oval,15 seconds plus,"From Annandale MN looking north about 10 degrees above horizon.

Bright white large orb. Stopped/hovered and changed direction quick"
1/5/21 20:00,,MN,Light,continuous,Strange objects around erupting volcano Fuego in Guatemala
1/4/21 05:02,St. Peter,MN,,,MADAR Node 60
12/28/20 18:35,Oronoco,MN,Fireball,2 hours,about 6:35pm I went out side with my little brother to use our Orion telescope to look at the moon and stars. We both saw and orange lo
12/19/20 22:39,St. Peter,MN,,,MADAR Node 60
12/10/20 18:30,Owatonna,MN,Unknown,1 minute,Object with multiple white lights flying east bound making a sharp southern turn then turning back west and finally turns south as it g
12/2/20 00:00,Hopkins,MN,Light,1 minute,I was smoking outside my apartment that night. Since Ilive in thecity there are no stars in the sky. The only thing I can see in the ea
11/25/20 23:24,Sartell,MN,Circle,13 seconds,Circular Light pulsing in northern part of sky with duration of approx 13 seconds.
11/23/20 23:30,Buffalo,MN,Formation,2 minutes,Bright lights were seen over central wright county
11/23/20 18:12,Sauk Rapids,MN,Light,15 seconds,Bright light moved across the Northern sky and suddenly dissappeared
11/16/20 21:00,Forest Lake,MN,Diamond,15 seconds,We were headed northbound on 35E just after 9PM. We saw a triangular formation of Approximately 7 triangular gray objects flying at a h
11/4/20 19:30,Currie,MN,Circle,8 minutes,Meteor stops and changes direction and magnitude
10/31/20 07:00,ST PAUL,MN,Sphere,1 minute,FLYING CLEAR BUBBLE WITH RED LIGHT SUSPENDING IN THE MIDDLE
10/26/20 10:11,St. Peter,MN,,,MADAR Node 60
10/8/20 08:43,Lakeville,MN,Disk,7 minutes,I spotted this disk shaped ufo while driving near Lakeville MN area. I took several pictures. In one picture the ufo was hovering in a
10/8/20 03:25,Bemidji,MN,Circle,5 minutes,Moving object?
9/19/20 21:35,Taylors Falls,MN,Light,30 seconds,Two bright orange fast moving objects second one 3 to 4 seconds behind the first no blinking lights no sound.
9/13/20 14:54,St. Peter,MN,,,MADAR Node 60
9/11/20 05:15,Chisholm,MN,Cylinder,2 minutes,Bright lights following an aircraft and then rapidly changing directions and disappearing.
9/4/20 19:30,Farmington,MN,Oval,5 minutes,Saw a craft in the sky that had a light on the belly of the craft that is much brighter than any light I have seen on a flying craft i
9/1/20 13:26,St. Peter,MN,,,MADAR Node 60
8/31/20 00:30,Minneapolis,MN,Disk,10 minutes,Found a UFO while running took photos.
8/27/20 21:00,St. Paul,MN,Light,8 seconds,Red Light Changing Color and Abruptly Stopping to Hover
8/16/20 21:15,Duluth,MN,Circle,15-20 minutes,3 separate consecutive sightings heading NE N of yellow circular lights gliding at continuous speed across the night sky
8/15/20 20:15,Princeton,MN,Sphere,:30,Object was bright steady in intensity and course in space and blazing fast without shedding debris.
8/13/20 23:00,Lester Prairie,MN,Triangle,2 seconds,Large triangled object with dimmed light around its perimeter only flew across the sky horizon in a matter of 2 seconds
8/1/20 22:30,Wabasha,MN,Fireball,1 minute,
8/1/20 01:10,Big Falls,MN,Triangle,3 seconds,I was sitting on my back porch smoking when I thought I saw a shooting star above the tree line. I looked up to watch it and saw that
7/24/20 22:30,Coon Rapids,MN,Unknown,5 minutes,Tumbling object that flashed similar to iridium flare of satellite
7/24/20 05:07,St. Peter,MN,,,MADAR Node 60
7/22/20 11:00,Coon Rapids,MN,Light,1 minute,1 yellow light flash then 5 lights turn on one after another right to left then go dark all at the same time horizontally.
7/21/20 20:00,Blaine,MN,Fireball,3 minutes,Witnessed with my two children a spinning orange orb that spinner for several seconds before shooting straight up into the sky.
7/9/20 21:45,Duluth,MN,Light,<1 minute,Unexplained light over Lake Superior near Duluth MN.
6/25/20 20:00,Ely,MN,Circle,2 minutes,White silver object that got very bright dimmed down a bit then seemed to disappear .
6/23/20 01:50,Cloquet,MN,Circle,10 minutes,Three craft in a triangle shape flashing red blue and orange
6/11/20 13:26,St. Peter,MN,,,MADAR Node 60
6/10/20 22:00,Victoria,MN,Circle,20 minutes,Flashing red green and pink circular dot high on the sky. The colors are so vivid we know this can’t be a star but it doesn’t appear
6/5/20 23:30,Hackensack,MN,Disk,5 minutes,Large object in sky near HackenSack MN
6/5/20 22:30,Mc Grath,MN,Other,,Fast single file lights. ((Starlink satellites?))
5/27/20 22:30,Cambridge,MN,Changing,10 minutes,Two groups of lights moving at high speeds
5/25/20 21:05,Woodbury,MN,Other,2 minutes,String of 20+ small star-like lights moving silently in unison in a perfect line NW to SE. ((Starlink satellites?))
5/23/20 10:15,St. Michael,MN,Light,1-2 minutes,Round bright pink/orange objects in relation to each other.
5/20/20 05:52,St. Peter,MN,,,MADAR Node 60
5/16/20 05:00,St. Peter,MN,,,MADAR Node 60
5/12/20 21:30,Crosslake,MN,Light,70 minutes,Multiple lights traveling same SW to NE trajectory at 3 to 4 minute intervals. ((Starlink satellites))
5/12/20 02:30,Hermantown,MN,Light,3 minutes,Bright light moving across sky at upbeat pace toward Lake Superior until undetectable by the eye.
5/9/20 03:30,Roseville,MN,Light,1 minute,5 sightings seen from my deck
5/7/20 23:10,Cottage Grove,MN,Circle,3 seconds,Driving North on Chemolite Rd. In front and to the left of me I see a shooting star-like object nosediving towards the ground.
5/3/20 02:55,St. Peter,MN,,,MADAR Node 60
5/2/20 22:00,Chaska,MN,Circle,20-30 minutes,Glowing orange orbs disappearing and reappearing in the distance sky.
5/1/20 10:30,Inver Grove,MN,Light,1 hour,First saw 3 lights star looking in formation then breaking of in random directions then saw multiple lights((Starlink satellites?))
4/30/20 22:30,Vergas,MN,Light,>2 hours,White moving light. ((NUFORC Note: Venus?? PD))
4/26/20 21:10,Jordan,MN,Circle,3 minutes,Line of light appeared and disappeared. ((Starlink satellites?))
4/26/20 21:03,Mankato,MN,Light,10 minutes,I saw a fleet of UFOs straight in a line passing over mankato. ((NUFORC Note: Witness provides no information. PD))
4/25/20 22:35,Bemidji,MN,Sphere,3 minutes,Orange sphere travelling low across the sky then disappears.
4/25/20 22:05,Cambridge Township,MN,Light,30+ minutes,I saw a bright white light when I looked W to the top of the trees. It was 4 to 5 times the size of the largest star. ((Venus?))
4/25/20 21:10,St. Charles (?),MN,Circle,10 seconds,8 or 9 bright star like shapes traveling in a straight line to the southeast' 9:10 pm. ((Starlink satellites?))
4/25/20 00:00,Altura,MN,Formation,30 seconds,4 people saw a formation of at least 19 craft obviously in the outer atmospher travel E to W. ((Starlink satellites?))
4/24/20 11:00,Moorhead,MN,Diamond,7 SECONDS,2 BLUE/GREEN OBJETS AT 5000 FT AND GAINING ALTITUDE IN FULL SUNLIGHT
4/21/20 21:00,Plymouth/ maple grove,MN,Changing,5 minutes,My boyfriend and I were out for a drive because there was supposed to be a meteor shower. As we were driving seen 2 objects in the sky.
4/21/20 01:00,Forest Lake,MN,Triangle,10 seconds,2 black triangles with red lights in each corner flying like a drone but silently and in sync with eachother
4/19/20 23:20,Mora,MN,Triangle,5 seconds,3 very dim lights that formed a triange moving at a fast speed.
4/19/20 23:00,Watkins,MN,Light,Idk,Rural Minnesota odd lights.
4/19/20 21:30,Lakeville,MN,Light,30 minutes,Lights moving in single file line and direction toward NE sky. ((Starlink satellites?))
4/19/20 21:00,Chaska,MN,Circle,10 seconds,Large white ringed low flying slow moving object at tree level.
4/18/20 23:49,St. Paul,MN,Sphere,20 minutes,White hovering sphere with red and yellow lights in its center
4/18/20 23:13,Duluth,MN,Triangle,~10 minutes,Three dots of light arranged in a triangular pattern were hovering silently for around ten minutes before moving away.((anonymous))
4/18/20 22:00,Duluth,MN,Sphere,3 minutes,Large golden sphere of light moving across the sky.
4/18/20 21:20,Mankato,MN,Light,5 minutes,Lights that look like a convoy of ISS's moving from southwest to northeast evenly spaced at first ((Spacelink satellites))
4/18/20 21:05,Janesville,MN,Light,15 minutes,A trail of star like lights moving from the W. They were in a straight line and equally spaced apart. ((Starlink satellites))
4/18/20 21:00,Lakeville,MN,Circle,1 hour,About 45+ satellite looking lights going across the sky and a perfect line perfectly spaced ((Starlink satellites?))
4/18/20 21:00,Blaine,MN,Light,5 minutes,about 30 lights moving to the NE in a straight line about equally spaced. ((Starlink satellites?))
4/18/20 21:00,Hayfield,MN,Light,15 minutes,Flashing lights heading Northeast in a military staggered pattern. ((Starlink satellites?))
4/18/20 21:00,New Brighton,MN,Light,10 minutes,Long row of 20+ satellite looking lights. ((Starlink satellites?))
4/18/20 21:00,Fridley,MN,Light,30 minutes,Approximately 100 starlight objects moving from the SW to NE with no blinking lights or sound. ((Starlink satellites?))
4/18/20 21:00,Lakeville,MN,Circle,1 hour,~45+ satellite looking lights cross the sky and a perfect line perfectly spaced for about 25-40 minutes. ((Spacelink satellites?))
