date_time,city,state,shape,duration,summary
5/6/21 21:38,Amory,MS,Formation,7 minutes,10 lights in a row with the same space between them moving at a high speed. Took pictures with cell phone.
5/3/21 19:30,Brandon,MS,Sphere,5 minutes,Bright mini sized moon appeared near dusk in the northern sky for about 5 minutes and then zoomed out of sight
4/13/21 23:00,Collins,MS,Light,10 minutess,UFOs flashing lights and flying over remote forest area in Collins MS for the 2nd time
4/6/21 21:40,Aberdeen,MS,Formation,5 minutes,8-10 lights in what seemed to be in a perfectly spaced formation as they disappeared across the sky.
3/3/21 03:24,Collins,MS,Light,20 minutes,UFOs flashing lights and flying over remote forest area in Collins MS
2/19/21 13:20,Picayune,MS,Disk,20 second,2 sliver or titanium white crafts wiz by in the sky over the super 8 motel. Came to a dead stop and then shot of at unbelievable speeds
2/16/21 18:00,Purvis,MS,Circle,5-10 seconds,A huge hovering circular object just above the tree lines
1/30/21 04:36,Biloxi,MS,Other,20 seconds,Odd objects flying at the same pace in no particular formation
1/18/21 23:00,Magee,MS,Changing,10 minutes,Orange Glowing Half Oval Shaped UFO
1/2/21 14:04,Gulfport,MS,Sphere,Less than one minute,Adult woman observed sphere moving west just below clouds.
1/1/21 18:00,Gallaman,MS,Circle,1 second,Me and my wife were driving down U.S.51 Highway at approximately 6 p.m. headed south bound toward Hazelhurst Mississipi when we saw a b
1/1/21 04:38,Near Philadelphia,MS,Circle,Approx. 1 hr,My friend and I were en route to Philadelphia Miss. I think the road is 116(?). I noticed 2 suns. Then hundreds and hundreds of pink o
12/26/20 09:30,D’Iberville,MS,Cylinder,5 minutes,Saw metallic cylinder shaped object that didn’t move at about 8000 feet in the sky
12/21/20 03:00,Gulfport,MS,Other,1-2 mins,I went outside. I always look around. And above the tree line behind my house.there was a rather large ball of light. Starting from the
12/20/20 00:00,Starkville,MS,Fireball,15-20 min,Total of 3 orange spheres with what appeared to be rings of fire within
12/6/20 16:45,Indianola,MS,Cigar,10 min,It was about 445pm I was driving in the country and about 1 half mile away was 2 1500 foot tall radio towers and I noticed a small pink
11/13/20 07:26,Pearl,MS,Light,5,Green sphere seen in Pearl Ms
11/7/20 11:30,Southaven,MS,Diamond,1-2 minutes,Southaven MS triangular UFO
10/20/20 06:45,Gulfport,MS,Cylinder,3 minutes,White Tic-Tac object spotted over Gulfport MS
9/26/20 21:30,Biloxi,MS,Fireball,4,Fiery pulsating orb
9/15/20 23:00,Hattiesburg,MS,Disk,10 minutes,Saw colorful lightening illuminate a ufo behind the clouds while my wife saw it glowing behind the clouds with the same color.
8/28/20 10:19,Ocean Springs,MS,Rectangle,11 seconds,rectangular/ diamond shaped UFO over south pointe
8/2/20 21:45,Houston,MS,Sphere,1.5 hours,Rapid moving craft moved into stationary position seemed to fire something downward then something shot upward towards it.
7/21/20 22:00,Vancleave,MS,Light,30 minutes,Fast bright moving round light
7/3/20 21:00,Quitman,MS,Flash,15 minutes,There was a flashing light that was stationary and really high up.it then went really fast and came to a sudden stop.it stayed in one p
5/25/20 23:30,Carriere,MS,Other,5 seconds,Line of horizontal lights flying through the sky at a high rate of speed
5/13/20 23:00,Golden,MS,Sphere,20 minutes,Multiple small white and blue orbs gather in a large tree nearby after i flashing my light toward where i seen the first orb.
5/7/20 21:50,Greenville,MS,Fireball,1-2 minutes,I witnessed 3 floating objects displaying flash a red the orange hue I fists believed to be aircraft of military maybe due to the hori
5/7/20 03:44,Biloxi,MS,,,May 7th 2020. 344 am as i opened my front door the moon glaired in my face to the West. A flat round flying device with green lite zipp
5/4/20 21:08,Greenville,MS,Sphere,Hour plus,100+ round lights traveling NE one after the other. ((Starlink satellites?))
5/3/20 21:00,Jackson,MS,Light,5-10 MINUTES,A Fleet Of Silent White Glowing Orbs Traveling In An Even Straight Line For 5-10 Minutes. ((Starlink satellites?))
4/5/20 10:30,Oxford,MS,Disk,1 minute,round object appeared - vanished within less than a minute
3/21/20 22:13,Lleida,MS,Light,~45 minutes,Bright light that changed intensity and moved slowly.
2/16/20 22:30,Starkville,MS,Light,2 seconds,Bright dot shot to the middle of the sky stopped for 2 seconds and Shit away in a completely different direction
