date_time,city,state,shape,duration,summary
4/29/21 13:58,St. Louis,MO,,,MADAR Node 70
4/29/21 09:32,Kansas City,MO,,,MADAR Node 40
4/27/21 11:19,St. Louis,MO,,,MADAR Node 70
4/22/21 05:32,Springfield,MO,,,MADAR Node 36
4/20/21 11:09,St. Louis,MO,,,MADAR Node 70
4/19/21 14:32,Lees Summit,MO,,,MADAR Node 24
4/16/21 14:42,Imperial,MO,,,MADAR Node 25
3/30/21 11:35,Springfield,MO,,,MADAR Node 36
3/23/21 14:45,Kansas City,MO,,,MADAR Node 40
3/19/21 12:00,Hannibal,MO,Oval,20+ minutes,We saw what looked like a school of 100+ gray and white orbs.
3/8/21 05:09,St. Louis,MO,,,MADAR Node 70
2/28/21 14:14,Kansas City,MO,,,MADAR Node 40
2/20/21 20:00,Kansas city mo,MO,Cylinder,4 hours,Mother ship over platte county missouri
2/15/21 23:00,Wentzville,MO,Changing,2 seconds,Star-looking UFO disappears into distance at great speed
2/10/21 22:47,St. Louis,MO,,,MADAR Node 70
2/5/21 23:00,Centralia,MO,Oval,4 hours,These unknowns have appeared nightly since 12/01/20. One night I was using my telescope to observe a meteor. I spotted something moving
2/3/21 20:15,Fulton,MO,Light,5 seconds,Bright green ball falling quickly from the sky.
2/1/21 15:36,Springfield,MO,,,MADAR Node 36
1/29/21 23:30,Linn,MO,Light,2 hours,Bright orb dancing in the east sky
1/26/21 10:50,Columbia,MO,,,MADAR Node 46
1/21/21 11:20,St. Louis,MO,,,MADAR Node 70
1/21/21 07:24,Robertsville,MO,Disk,Seconds,2 different shaped UFOs in photo
1/10/21 09:11,St. Louis,MO,,,MADAR Node 70
1/8/21 20:30,Saint Peters,MO,Fireball,1 minute,Firey UFO over Unincorporated Saint Peters
1/5/21 22:00,Richmond,MO,Triangle,10 minutes,very low load slow aircraft flew over Missouri last night.
12/14/20 21:30,Kansas City,MO,Other,30 seconds,Worming ribbon object moves through the kansas city sky.
12/14/20 11:08,Earth City,MO,Cylinder,1 min,White cylinder / Stick Shape went from sitting completely still in the sky then moving backwards forwards then gone
12/4/20 22:20,Springfield,MO,Triangle,6 seconds,The dim lights are all that we could see with no flashing. And no visible trail or sound.
12/4/20 17:45,Poplar Bluff,MO,Formation,&gt;3 min,10-15 stars in perfect formation traveling East. My son could not focus his phone to capture video. Amazing to see!
12/3/20 19:15,Kirksville,MO,Unknown,1 min,.&#9196; .&#9196; .&#9196; .&#9196; .&#9196; .&#9196;
11/27/20 07:37,Springfield,MO,,,MADAR Node 36
11/27/20 06:00,Belton raymore,MO,Unknown,1 hr,Red green white Light blinking and twinkling in sky hovering about a mile up in clear sky
11/27/20 05:00,Rolla,MO,Other,,It was shaped like a boomerang and flying low there were lights in the front and as it passed over we could hear a humming noise
11/20/20 21:45,Kingsville,MO,Circle,15 minutes,Kingsville shell gas station. Seen 5 lights going in a circle that would appear and disappear
11/16/20 19:18,Blue Springs,MO,Chevron,5-7,Vehicle in the night sky at low altitude experiences technical difficulties with active camouflage.
11/15/20 06:00,Columbia,MO,,,MADAR Node 46
11/10/20 23:45,Raymore,MO,Triangle,10 minutes,Massive triangular craft seen hovering/twisting. Fast blinking lights that blinked in rhythmic procession. Seemed absolutely massive. D
11/10/20 23:43,Raymore,MO,Triangle,5 minutes,3 Pulsating Lights Hovering in Night Sky
11/10/20 23:37,Belton,MO,Triangle,3 minutes,A black massive triangle shaped ufo with blinking orangish lights on each corner (3) was slowly hovering from the west heading east. Th
11/8/20 21:30,Columbia,MO,,,MADAR Node 46
11/5/20 13:37,Columbia,MO,,,MADAR Node 46
11/1/20 06:47,St. Louis,MO,,,MADAR Node 70
10/31/20 21:06,Kansas City,MO,,,MADAR Node 40
10/24/20 20:04,Columbia,MO,,,MADAR Node 46
10/23/20 10:17,Kansas City,MO,,,MADAR Node 40
10/22/20 01:54,O'Fallon,MO,Light,less than one minute,Orb UAPs with a misty object hovering close by
10/21/20 19:30,Webb City,MO,Light,2 minutes,Bright ball of light in Webb City
10/20/20 14:28,Kansas City,MO,,,MADAR Node 40
10/14/20 00:30,mountain grove,MO,Light,20 seconds,One white ball of light appeared above the trees and was flying straight did a s in the sky then dissapeared
10/11/20 17:10,Columbia,MO,,,MADAR Node 46
10/10/20 18:44,St. Louis,MO,,,MADAR Node 70
10/10/20 06:15,Independence,MO,Unknown,1.5 hours,Observed 2 white lights moving in tandem forward and back up and down just before dawn.
10/9/20 22:00,Rolla,MO,Cigar,30-40 seconds,“Plane” with no wings turns into saucer then vanishes
10/7/20 19:00,saint peters,MO,Other,1 minute,I saw a cloked wedge shaped craft it was slow moving with no sound.
10/6/20 16:15,Kansas City,MO,Sphere,45-60 minutes,Two white spherical objects high in the daytime sky.
10/4/20 22:00,Independence,MO,Triangle,3 minutes,Traiangular silent craft with three white lights flew very low over our heads
10/4/20 14:08,Kansas City,MO,,,MADAR Node 40
9/27/20 22:36,Independence,MO,Changing,15 minutes,Reddish orange fire flame dancing in night sky
9/27/20 20:31,Independence,MO,,,MADAR Node 45
9/18/20 21:45,Columbia,MO,,,MADAR Node 46
9/17/20 20:15,St. Louis,MO,,,MADAR Node 70
9/15/20 23:33,Independence,MO,,,MADAR Node 45
9/15/20 12:58,Kansas City,MO,,,MADAR Node 40
9/13/20 11:13,Kansas City,MO,,,MADAR Node 40
9/3/20 07:38,St. Louis,MO,,,MADAR Node 70
8/28/20 20:28,Pittsburg,MO,Disk,2 seconds,On August 28 2020 approx. 20:48. A group of 5 was looking in the sky to watch a hot air balloon take off. While watching this we happe
8/28/20 20:16,Sullivan,MO,Light,3-7 minutes,Multiple Light Over Pea Ridge Mines seen from Sullivan MO.
8/27/20 19:45,Sedalia,MO,Circle,15,Object was round in same time Square with lights .
8/23/20 12:00,,MO,Cigar,10 minutes,the object left a trail
8/19/20 10:00,Sedalia,MO,Oval,15 minutes,Lights in the sky
8/19/20 05:29,St. Louis,MO,,,MADAR Node 70
8/18/20 23:00,Willard,MO,Fireball,10 seconds,family of 5 witness a huge glowing green ball of light fall from he sky followed by smaller stationary bright white blinking lights
8/17/20 21:30,Holt's Summit,MO,Light,7-10 minutes,Watching sky and 12 lights came out the the middle of corona borealis. All traveled the same direction after leaving the constellation.
8/14/20 17:45,Kirbyville,MO,Other,15 seconds,I just got home from work. I took my girls out to go potty. Something bright drew my eyes to the sky. I saw a very fast moving object.
8/12/20 22:06,St. Louis,MO,,,MADAR Node 70
8/12/20 20:16,Labadie,MO,Circle,1 hour,Double rings of light moving west to east in the south sky.
8/12/20 19:46,Wildwood,MO,Sphere,>10 minutes,There were 2 objects almost directly overhead no detectable motion about 20 degrees apart in the evening sky. White in color.
8/12/20 19:30,Labadie,MO,Disk,Ongoing,Three shiny metallic discs seen floating above with light rings on underside
8/9/20 01:35,Ballwin,MO,Unknown,,strange sounding craft after severe storm flew over our home twice or there were two craft
8/2/20 13:43,Kansas City,MO,,,MADAR Node 40
7/31/20 08:07,St. Louis,MO,,,MADAR Node 70
7/28/20 16:30,Lohman,MO,Disk,30 seconds,Metallic object moved and then disappeared in cloudless sky
7/24/20 04:30,Independence,MO,Triangle,1 minute,Equilateral triangle witnessed at night.
7/22/20 00:12,St. Louis,MO,,,MADAR Node 70
7/18/20 23:00,Warrensburg,MO,Light,30 seconds,Very fast moving reddish yellow light traveld overhead with no sound and disappeared moving east.
7/14/20 15:13,Kansas City,MO,,,MADAR Node 40
7/14/20 04:50,kansas city,MO,Sphere,4 minutes,not starlink
7/11/20 20:15,Jefferson City,MO,Sphere,1 hour,"Translucent orb observed for one hour just East of Jefferson City.

Observed thru spotting scope and telescope. At the 9 to 12 O'clo"
7/11/20 13:00,Scott City,MO,Disk,30 minutes,It was a translucent object with a shining rim. It was watching my drone and then a smaller object split off and went like real fast ac
7/7/20 10:05,St. Louis,MO,,,MADAR Node 70
7/4/20 22:45,Marshall,MO,Other,1 minute,Unidentified object with fiery bright orange circular glow on leading edge enters the atmosphere and passes overhead
7/4/20 21:30,Springfield,MO,Light,3 minutes,I witnessed two strange lights along with a set of parallel lights hovering above that I filmed!
6/30/20 23:30,Monroe City,MO,Sphere,60-90 seconds,On June 30th 2020 at approximately 11:30pm I walked out onto my back deck checking to make sure everything was inside before going t
6/29/20 05:10,St. Louis,MO,,,MADAR Node 70
6/29/20 00:10,St. Louis,MO,,,MADAR Node 70
6/27/20 04:15,St. Louis,MO,,,MADAR Node 70
6/17/20 04:45,Independence,MO,Sphere,2 minutes,My girlfriend and I witnessed 30 or more star-like/satellite-like objects traveling in a straight line from west to east at about the s
6/16/20 00:30,Poplar Bluff,MO,Light,~5-10 seconds,It appeared and vanashed before I could process what it was at first.
6/5/20 20:45,Hadley,MO,Other,3,Large white orb in Southeast Missouri
6/3/20 08:52,St. Louis,MO,,,MADAR Node 70
5/28/20 22:35,Kansas City,MO,Oval,25 seconds,a glowing oval with two flashing lights and a light ring.
5/23/20 17:01,St. Louis,MO,,,MADAR Node 70
5/18/20 13:00,St. Louis,MO,Circle,1 minute,it was flying and then disappered.
5/10/20 20:30,Hardin,MO,Changing,3.5 minutes,Morphing UFO that looked like balloons that navigated close to power lines.
5/10/20 14:34,St. Louis,MO,,,MADAR Node 70
5/10/20 00:30,Blue Springs,MO,Light,about a minute,Red light reverses direction.
5/3/20 21:20,Kirkwood,MO,,15 minutes,When saw started counting lights evenly spaced going east as the count got to twelve. ((Starlink satellites?))
4/27/20 22:00,Marshfield,MO,Light,Apx. 10 minutes,Apx 22:00 went out and looked up and saw a line of lights moving in a straight line. ((Starlink satellites?))
4/27/20 21:20,Jefferson City,MO,Light,5-7mins,A straight line of many multiple lights directly overhead. ((Starlink satellites?))
4/27/20 21:15,Chesterfield,MO,Formation,10 seconds,Star like formations moving quickly in sets of 3 across sky. ((Starlink satellites?))
