date_time,city,state,shape,duration,summary
5/15/21 23:37,Emigrant,MT,Light,20 minutes,String of Attached Lights with No Sound Moving Towards Us
5/15/21 23:37,Emigrant,MT,Light,20 minutes,String of Attached Lights with No Sound Moving Towards Us
5/15/21 22:30,Glasgow,MT,Rectangle,5 minutes,Three individuals witnessed a brightly lit but silent very large object for 5 minutes at 10:30pm on 5/15/2021 west of Glasgow MT.
3/4/21 06:10,Belgrade,MT,Formation,3 minutes,String of lights. ((Starlink satellites??))
12/6/20 06:24,Bozeman,MT,Formation,10mins,20 objects in a straight line broke off figure eights separate directions
12/3/20 04:00,Great falls,MT,Light,4 seconds maybe less,Appeared to be artificial light that bursted randomly out of montana sky's then tapered off as the object seemed to be falling towards
11/14/20 04:55,12 miles east of CulbertsonMt.,MT,Sphere,Approx.5 sec.,Observed what appeared to be a possible Taurids comet or fire ball that was whitish/yellow in color and appeared to on fire.
11/13/20 23:11,Belgrade,MT,,5.00,I was putting my dog outside and I looked up and at first I thought was a star then split very close together then a few seconds. Late
11/7/20 16:30,Helena,MT,,,MADAR Node 128
10/31/20 07:00,Columbia Falls,MT,Circle,5 minutes,Stream of lights 20 plus evenly spaced in a straight line in the sky to the north of Columbia Falls. ((Starlink satellites))
10/26/20 16:15,Bozeman,MT,Cone,2 minutes,Me and 5 coworkers on our way back onto work from a short break spotted a blue inveterate cone shaped object in the sky nothing attache
10/13/20 01:30,Evaro,MT,Circle,45 minutes,Flashing wobbly lights.
10/12/20 20:10,Missoula,MT,Diamond,20 minutes,Circular Star disappearing and reappearing in different locations in the sky
9/17/20 05:34,Polson,MT,Light,7 minutes,30+ lights first three were in a triangle formation and then went into a straight line followed by the others all in a straight line. T
8/14/20 04:00,Kalispell,MT,Circle,2 minutes,16 white circular objects in straight line heading east
8/12/20 22:33,Kalispell,MT,Circle,,I was looking thew my telescope looked away from my telescope then saw a huge light above Venus and Mercury.
8/7/20 04:02,Great Falls,MT,Unknown,5 minutes,6-8 white lights in a straight horizontal line moving very slowly west to east above the Missouri River near Malmstrom AFB.
8/1/20 07:00,Billings,MT,Oval,,Oval object in sw in morning daylight
8/1/20 06:30,Blackfoot River,MT,Disk,6mins,Single UFO: Sighting location the Blackfoot river Montana
7/25/20 18:00,Gallatin Gateway,MT,Oval,4 hours,Happened to look up saw a bright light in a very blue sky while camping. Got binoculars out then proceed to get telescope. The four o
7/20/20 01:04,Billings,MT,Teardrop,2 hours,My husband and I were driving North on I-90 towards Billings. We were right outside of town and I saw a teardrop shap in the sky. It wa
5/23/20 06:13,Helena,MT,,,MADAR Node 128
5/20/20 11:46,Helena,MT,,,MADAR Node 128
5/16/20 01:30,Boulder,MT,Triangle,,Seen this twice in a week.makes loud helicopter like noice... it was just hoovering over the hill. Went outside it continued to moved s
5/15/20 03:00,Missoula,MT,Unknown,6 seconds,3 am Missoula MT. 2 whitish lights blinked on & off as if they were communicating then gone. 10 seconds time period.
5/14/20 21:05,Helena,MT,,,MADAR Node 128
5/12/20 09:18,Helena,MT,,,MADAR Node 128
5/7/20 12:59,Helena,MT,,,MADAR Node 128
5/5/20 04:35,Helena,MT,,,MADAR Node 128
