date_time,city,state,shape,duration,summary
4/15/21 00:45,Omaha,NE,Oval,15 minutes,We saw 3 glowing oval objects in the sky last night.
3/5/21 22:00,Ogallala,NE,Triangle,15 minutes,Three bright green triangles in night sky over Nebraska. Abduction of my friend Mary Joe.
2/17/21 06:45,Arnold,NE,Disk,15 minutes,70’ saucer sat above my neighbor’s house.
2/16/21 03:32,Bridgeport,NE,Light,60 minutes plus,“Brightest landing lights I’ve ever seen.”
2/16/21 02:08,Arthur,NE,Light,Ongoing,Intense white light remains stationary on the western horizon.
2/15/21 06:30,Hyannis,NE,Sphere,10 min,Metallic ball mounted to several legs took off from the highway.
2/14/21 03:00,Alliance,NE,Sphere,20 minutes,Intense light forced me off the road. ((NUFORC Note: Anonymous report. PD))
1/11/21 02:00,Lincoln,NE,Sphere,10 minutes,Multicolor object that seemed to change colors green red blue i have video of it a metal ball that changed colors
12/4/20 18:50,Valentine,NE,Circle,3 minutes,Very bright white lights moved in a straight line from west to east from Jupiter to Mars. Approximately 100 in the first event then 38
12/4/20 18:46,Blair,NE,Light,2 minutes,A string of 12 lights moving southwest to northeast
11/4/20 19:00,Omaha / Papillion,NE,Disk,2 minutes,Row of 20 or so lights evenly spaced over night sky
9/29/20 04:12,Kearney,NE,Light,5 seconds,I was out on the back patio around 4:10 in the morning looking up at eastern sky and saw a light move in a arc “like it was doing a t
9/17/20 23:00,Blair,NE,Light,All night every night,I'm scared
9/17/20 23:00,Blair,NE,Oval,All night every night,I took pictures and now its stalking me
8/20/20 20:00,Norfolk,NE,Circle,1 hour so far,Large white orb overhead
8/11/20 23:10,Lexington,NE,Circle,10 seconds,We didn’t see a craft. What we saw a flashing moving light. It was off to my left. At first I thought it was an airplane. But then I th
8/11/20 19:20,Omaha,NE,Circle,ongoing 30 min so far,this is hanging in the sky white still there in south omaha above the missouri river at 13th and Missouri avenue
7/29/20 21:15,North Platte,NE,,,
2-3 seconds,Fast moving ball of light appears twice in the sky over North Platte Nebraska.,8/6/20,,,
7/29/20 20:15,North Platte,NE,,,
3 seconds,((NUFORC Note: No information provided by witness. PD)),7/31/20,,,
7/4/20 21:10,Gretna,NE,Oval,10-15 minutes,Large oval shaped UFO West of Gretna NE
6/6/20 22:00,Bellevue,NE,Unknown,1 hour,Objects over bellevue ne ((Starlink satellites?))
6/2/20 21:45,Oakland,NE,Circle,90 seconds,White ball of light moving slowly through the sky and switched directions.
6/2/20 21:15,Lincoln,NE,Light,2 minutes,White bright light flying past in the sky for 2 mins and disappeared suddenly.
5/2/20 22:00,Lincoln,NE,Light,7 minutes,Saw 10-15 bright objects flying at very high altitude in a straight line formation headed northeast.
