date_time,city,state,shape,duration,summary
5/6/21 21:15,Pahrump,NV,Unknown,10 minutes,Straight lines of illuminated objects
5/5/21 21:25,Reno,NV,Light,30 seconds,40-50 lights in line across the Reno sky.
5/5/21 21:00,Gardnerville,NV,Circle,2 minutes,My wife and I were in the hot tub when I observed 8 circular lights heading northeast over the Pine Nut Mountain Range in northwestern
5/5/21 04:40,Minden,NV,Light,3-4 minutes,Starlight objects moving rapidly in a straight line across the sky.
4/29/21 21:03,Carson City,NV,Circle,8 minutes,Bright counter-clock spinning
4/28/21 21:50,Carson City,NV,Circle,10 minutes,Ufo staying still spinning
3/31/21 21:30,Hiko Rachel NV,NV,Light,4 Minutes,Red ball of light with occasionally revolving green laser showing a metallic surface of a saucer. I have video.
3/26/21 07:15,Luning,NV,Triangle,90-120 seconds,US Military transporting &quot;UFO&quot; in Nevada
3/1/21 21:35,Fernley,NV,Light,6 Seconds,Object came from South of my windshield in front of my Semi Truck. It was headed north. Not a falling star slower than that. Small shim
2/17/21 05:00,Genoa,NV,Light,3 minutes,20-30 bright circle white lights moving across sky in straight line. ((Starlink satellites??))
2/12/21 05:04,Sparks,NV,Formation,2 minutes,15 objects flashing moving in formation fast across the sky. ((Starlink satellites??))
2/7/21 18:30,Virginia City,NV,Cross,2 hours,Moving star shaped objects seen frequently in the evening and early morning hours
2/6/21 05:00,Las Vegas,NV,Triangle,3 minutes,I watched a triangular ufo reveal its self for a few moments.
1/22/21 17:00,Las Vegas,NV,Circle,5 mins,4 black circular aircrafts flying in triangular formation
1/16/21 20:00,Las vegas,NV,Cylinder,15 minutes,Was real close and silent
12/28/20 20:50,Henderson,NV,Circle,4 minutes,3 low flying circular objects with flashing orange lights
12/21/20 18:00,Virginia City,NV,Flash,20 seconds,We were observing the Great Conjunction with a telescope. After Jupiter/Saturn had set below the horizon we turned to Mars just sout
12/10/20 17:15,Carson City,NV,Light,1 second,Carson City 12/10/20: Just after dusk looking at sky. In a split second 2 blue/white lights streaked very high above me as fast as sn
12/2/20 17:30,laughlin ,NV,Light,5:00 minutes,A single file line of lights in the night sky with the exception of one light set slightly off to the side. Estimated altitude of 1000
11/25/20 22:00,Carson City,NV,Light,Unknown,We were driving on 5th St coming off of Fairview just as we got over the bridge just right after the old barn in the big field in the r
11/22/20 06:47,LAS VEGAS,NV,Changing,10 MINUTES,I personally witnessed and took 15 crystal clear photos of a Green Glowing Spaceship and a Robot-Alien-Angel = Being ?
10/31/20 18:40,Las Vegas,NV,Light,90 seconds,I just saw something that I can only describe as a UFO. I've lived in Las Vegas for 3 years. I live not far from the airport and am ac
10/24/20 16:30,Reno,NV,Diamond,Seconds,Driving entering freeway and for a brief moment I witnessed a glowing diamond shaped light hovering almost touching the pavement floo
10/18/20 06:44,Las Vegas,NV,Changing,2 minutes,Black w red accent a shape changing object that captured the attention of a military jet plane.
10/16/20 12:05,Reno,NV,Oval,10 minutes,Saw a white orb floating across the sky while driving.
10/10/20 16:15,Las Vegas,NV,Cigar,4 minutes,Craft was gliding South to North toward Sheep Mountains. Craft was changing from silvery bright to darker black and back to silvery con
10/9/20 19:19,Las Vegas,NV,Light,~18 seconds,Light Above Plane Following Flight After Takeoff - Stops and Suspends In Air Before Vanishing
9/29/20 09:00,Las Vegas/Ryolite (between),NV,Chevron,3 minutes,We were headed from Las Vegas to Ryolite. We were run off the road by lice/ military vehicles at a high rate of speed carrying an aircr
9/23/20 08:35,Reno,NV,Light,2 minutes,Saw at least 3 white lights moving at fairly high speeds high in the sky with no sound. my little daughter first saw them and pointed t
9/13/20 20:30,North Las Vegas,NV,Circle,8-10 minutes,I took my dogs out for their evening walk. I looked up at the night sky and saw all these lights in the sky. Purpleorangegreen blue
9/4/20 01:15,Pahrump,NV,Light,2-3 minutes,Blue ziggzaging and sudden stops light that tirned redwhen red light was flashed at it
8/12/20 20:12,North Las Vegas,NV,Circle,2:27,I saw 10 red bright light in the sky for several minutes then the disappeared
8/10/20 02:10,Las Vegas,NV,Disk,1 minute,It was as big as the mountain with light at angle pointed towards lone mountain
8/8/20 22:25,Dayton,NV,Other,3-4 minutes,Leading and trailing &quot;stars&quot; moving in perfectly straight trajectory across Northern Nevada (Dayton) night sky.
8/7/20 03:00,Minden,NV,Rectangle,20-30 seconds,Slow moving yellow rectangular object . Seen for 20-30 seconds .. No sound !
8/3/20 18:00,Las Vegas,NV,Circle,30 minutes,Observed a silver point of light at extremely high altitude hold a position over las Vegas for fifteen minutes before slowly moving to
7/24/20 19:30,North Las Vegas,NV,Other,5 minutes,Noticed flying object on a steady northbound trayectory  relatevely close . Spotted from front entrance of Frederick Watson Elementary
7/20/20 04:30,Las Vegas,NV,Light,2 seconds,While at work I stopped just for a second to observe the lightening that was happening this morning. I was at Bonanza and MLK looking
7/16/20 21:00,North Las Vegas,NV,Light,45 minutes,Saw multiple white lights moving at high speeds and disappearing and reappearing and also flashing on and off in formation at one point
7/16/20 20:30,Death Valley National Park region,NV,Light,2 events within one hour,Stationary &quot;planet&quot; like Jupiter starts moving in straight line to north. Second light seen that night.
7/13/20 22:15,Reno,NV,Light,0.15,Object moved swiftly across the sky from north to south. It moved faster than any plane. There was no sound
7/4/20 23:02,Henderson,NV,Circle,4 minutes,2 bright orange lights passed over the houses 4 minutes apart. They came up from the desert then once passed over disappeared.
7/3/20 16:30,Las Vegas,NV,Teardrop,5-6 minutes,At approximately 16:30 on 07/03/20 whole driving northbound on Maryland Pky/ Paradise rd (cross street Windmill) I observed a bright
7/3/20 16:30,Las Vegas,NV,Teardrop,5-6 minutes,Bright white circular object with short contrail standing still in the sky with N/S trajectory
6/28/20 11:00,Reno,NV,Formation,10-20 minutes,4 objects in flight sometimes formation following a path over SE Reno towards CA/NV state line moving in all directions over time
6/23/20 02:00,Wells,NV,Formation,5-7 minutes,White dots of lights appeared in one location then proceeded to move south/southwest at a constant pace. ((Starlink satellites?))
6/10/20 16:00,Fernley,NV,Circle,45 minutes,Celendrical object with flashing lights beyond Fernley's West hills
6/2/20 22:00,Mound House,NV,Light,Ongoing,Bright orbs flying over our house nightly.
5/20/20 22:30,Henderson,NV,Other,1 minute,Glowing lights in the Henderson sky
5/15/20 15:45,Las Vegas,NV,Unknown,1.5 seconds,UFO shot across the sky at remarkable speed and was gone in the blink of an eye leaving a trail of “dust” like a plane would.
5/15/20 10:58,Stateline,NV,,,MADAR Node 160
5/13/20 21:24,North Las vegas,NV,Sphere,,FLASHING RED/ORANGE ORB FLYING THROUGH SKY.
5/13/20 09:24,North Las Vegas,NV,Sphere,,FLASHING RED/ORANGE ORB FLYING THROUGH SKY
5/6/20 03:00,Mesquite,NV,Unknown,2 hours,Star-like object moving in strange patterns in the eastern sky.
5/5/20 05:15,Dayton,NV,Flash,1 minute,White Dot Lights (WDL) that Flash seen over Dayton Nevada
5/2/20 21:30,Sparks,NV,Formation,30 minutes,Linear formation of white dots flying at high speed North East towards Pyramid Lake over Spanish Springs.
5/1/20 21:15,Henderson,NV,Light,30 minutes,15-20 Lights in the sky traveling in pairs. ((Starlink satellites?))
5/1/20 20:00,Las Vegas )South Summerlin),NV,Sphere,5 to 7 minutes,Many Spheres following each other. ((Starlink satellites?))
4/29/20 00:45,Carson City,NV,Sphere,20 minutes,Bright Object jumping back and forth in sky followed by 3 star like diagonally lined object hovering in the sky.
