date_time,city,state,shape,duration,summary
5/17/21 00:07,Bridgewater,NH,Cylinder,3.4 minutes,Cylindrical shape craft hovered in Northeast sky for 1 minute then moved slowly eastward for 2.4 minutes before disappearing from view
5/7/21 02:24,Somersworth,NH,Triangle,1-2 minutes,Around 2:24am I was driving up rte 16 going north & as I past the old exit 8 to my left of me about 8 to 10 stories high above a tree
4/21/21 10:57,Keene,NH,,,MADAR Node 27
4/4/21 02:50,Center Conway,NH,Light,5 minutes,Two distant lights suddenly move in formation.
3/25/21 20:05,Peterborough,NH,Oval,30 seconds,Miller State Park UFO sighting 900sqf object hovering above tree line
2/19/21 12:01,Keene,NH,,,MADAR Node 27
2/3/21 02:20,Center Conway,NH,Light,20 minutes,"NW night sky 25 degrees above horizontal a stationary RED Light pulsed increasing and decreasing in intensity.

Then it pulsed GREEN"
12/31/20 22:30,Ashland,NH,Sphere,10-15minutes,Large brightly glowing orange spheres which moved in a pattern of hovering and rapid movement.
12/19/20 20:14,New Boston,NH,Rectangle,20- 25 minutes,"On December 19 2020 a UFO was observed in the vicinity of River Road in New Boston NH.

As we were traveling down the road we s"
11/20/20 18:25,Center Conway,NH,Light,35 seconds,LIGHT/OBJECT CHANGING DIRECTION THREE TIMES QUICKLY AND CHANGING COLOR.
11/15/20 05:00,Meredith,NH,Light,20 mins,Me and my wife were going out to the car for work and seen a bright light out towards center harbor it was round with what u could call
11/6/20 21:20,Rochester,NH,Circle,1 second,Green orb over Rochester N.H.
11/6/20 21:10,Manchester,NH,Unknown,4 seconds,Mysterious Green Light Zooms Off at the Speed of Light
11/4/20 18:30,Raymond,NH,Flash,1 minute,Glowing object darts across sky followed by a bright white flash then vanished
10/24/20 19:45,Dunbarton,NH,Rectangle,4 minutes,Solid rectangular craft white lights. ((Starlink satellites?))
10/24/20 19:25,Keene,NH,Light,10 seconds,Long string of lights hovering just above the buildings.
10/19/20 22:30,Newmarket,NH,Other,30 minutes,Cylinder like UFO w lights on the tips gliding over the trees in my backyard making a loud hovering noise.
10/17/20 20:30,Rindge,NH,Other,>1 hour,Moving light in sky emitting bursts with solid-like ogtagon shape.
10/12/20 05:25,Center Conway,NH,Light,10 seconds,Stationary light suddenly and rapidly headed north.
10/12/20 05:25,Center Conway,NH,,,Correction 5:25 AM @ 10/12/20 report
10/11/20 22:14,Manchester,NH,Other,4 seconds,Two glowing ring disc &quot;crafts?&quot; glide over intestate
10/11/20 21:00,Naples,NH,Disk,30 minutes,Bright non moving horizontal lights in sky
10/2/20 20:20,Center Conway,NH,Light,24 seconds,"A stationary bright flash of light in the northern sky at 50 degrees from horizontal.

It disappeared then every three seconds after"
10/2/20 18:45,Center Harbor,NH,Light,15 minutes,Lights hovering over Lake Winnipesaukee
9/26/20 20:30,Lincoln,NH,Triangle,15 minutes,Two UAPs seen on September 26 2020 from Pemigewassett Overlook.
