date_time,city,state,shape,duration,summary
5/19/21 14:30,North Haledon,NJ,Other,20 mins,I’m no stranger to flying things but yesterday was very interestingly unusual. Attached is a drawing and that’s how close it was I coul
5/17/21 00:07,Bogota,NJ,Circle,1-3 minutes,Bright green lights in the sky.
5/16/21 18:30,Frenchtown,NJ,Other,2 minutes,Black object effortlessly floated without the use of wings or engine.
5/15/21 21:30,Highbridge,NJ,Cylinder,Under 5 minutes,Brilliant orange cylinder with points of white. Appeared translucent and had a deliberate flight path
5/12/21 01:00,Phillipsburg,NJ,Circle,,Many people in town has reported about 2 circles glowing redi-sh orange. The one was bigger than the other and the like pulsating. Witn
4/21/21 17:00,Woodbridge,NJ,Unknown,Few minutes,UFO reported in central NJ affecting power/electrical
4/18/21 16:47,Teaneck,NJ,,,MADAR Node 28
4/15/21 22:45,Bordentown,NJ,Triangle,30 seconds,Single orange fiery triangle. Faded slowly then vanished within seconds.
4/14/21 18:52,,NJ,Other,15 minutes,Object was high (one to two thousand feet?). Was metallic. Kept having aura flash around it which would obscure the flying object entir
4/8/21 22:00,Bordentown,NJ,Cigar,15 minutes,Multiple flying objects at different heights but in same general area. Some move throughout the sky but others seem to stay stationary
3/31/21 03:34,Southampton,NJ,Light,3 seconds,Ball of white light moved across sky from south to north in about 3 seconds. It was about size of a golf ball compared to the moon. It
3/29/21 20:30,Ringwood,NJ,Light,30 minutes,Multiple objects witnessed changed speed and direction lights changed color and intensity
3/28/21 13:00,Somerset,NJ,Cigar,2 minutes,I captured two ufos on my phone.
3/21/21 15:36,Hillsborough,NJ,Cylinder,30,Slow moving long vertical object with two orange and one green lights.
3/13/21 22:00,Glen Ridge,NJ,Triangle,20 seconds,Lighted Triangle shaped objects flying at night slow them very fast
3/4/21 19:30,Monroe Township,NJ,Other,5 hours,Multiple objects in the sky that flash white and/or red and fly low and together extremely visible at night.
3/1/21,Woodbridge,NJ,Triangle,18:58,Triangular Object In Sky
