date_time,city,state,shape,duration,summary
5/16/21 08:17,Belen,NM,Circle,10 min,As I pulled to the light on my way into the city for work I noticed a big silver metal sphere in the sky not moving so I pulled over an
5/14/21 04:13,Los Alamos,NM,Sphere,8 minutes,Bright gold ball low in the sky in a perfect straight line going east
5/8/21 21:00,Santa Fe,NM,Light,5 minutes,I was at frenchy's field park here in town. About 9 in the evening. I was hanging upside down from the pull up bar doing my regular ca
5/7/21 08:50,Albuquerque,NM,Light,4-5 minutes,A string of lights going from south to north.
5/6/21 21:00,Arroyo Seco,NM,Light,20 minutes,I saw eight moving slow light in the sky &quot;Fleet&quot; ((Starlink satellites??))
5/5/21 22:00,Silver City,NM,Light,2 minutes,I saw seven flying craft with lights all flying in a line and then disappearing within seconds with no lights
5/5/21 22:00,Albuquerque,NM,Formation,15 minutes,I thought I was looking at Cassiopeia with its 'W' shape then I released that it was a series of lights moving silently across the sky
4/19/21 15:29,Albuquerque,NM,,,MADAR Node 23
4/12/21 20:30,Grady,NM,Other,15 seconds,Observed bright white flashes seemed to moved to the south.
3/5/21,Kirtland,NM,Changing,,Daytime video of object changing shape over Kirtland. No time given.
3/2/21 19:25,Socorro,NM,Formation,10 seconds,Observed 5 round orange lights in a line formation. I believe the formation was in a roughly SW to NE line ((Starlink satellites??))
2/21/21 19:18,,NM,Cylinder,,Cruise missile looking. ((NUFORC Note: Report from FAA employee. PD))
2/21/21 15:07,Albuquerque,NM,Disk,,Silver/dull disk with Greenish/Gold dome. Witness provided several photos (3). ((MUFON report))
2/19/21 18:50,Santa Fe,NM,Disk,10 min,Far but looked like heat around a saucer.
2/19/21 04:55,Sandia Park,NM,Light,10 seconds,8 points of light slightly brighter than a star that were in a straight line equally spaced all moving together at the speed of an airc
1/12/21 17:12,Tularosa,NM,Circle,,blinking multicolor light with three orange lights emerging
1/9/21 06:32,Albuquerque,NM,Cigar,2-3 minutes,Linear strand of approximately 5-10 white lights moving quickly and silently across the sky
1/1/21 00:05,Albuquerque,NM,Formation,:30,My son and grand daughter went outside to watch fireworks on NYE 2020/2021  I told them too cold so I did not go w them. My granddaugh
12/27/20 16:30,Outside of truth or consequences,NM,Changing,8 minutes,Cigar shape object that changed shape to a fish like object and others to appear to have landing legs.
12/26/20 13:00,Hondo Seco,NM,Circle,2 hours,There is a bright flashing circular object over Taos Mountain/Taos Ski valley area. it seems to get bigger and brighter then back to sm
12/25/20 20:00,Santa Fe,NM,Other,Seconds,Large flash through sky exact point of origin unknown approximate to south side of town. Flash was quick and indescribable light pro
12/20/20 04:06,Albuquerque,NM,Triangle,40 mins,V shape of 7 ish lights over Abq
12/20/20 00:23,Albuquerque,NM,Circle,10min,Bright light hovering at 9 mile hill
12/7/20 20:30,ranchos de taos,NM,Light,a few hours,Multicolor flickering light shines bright moves slow up into the sky until it's too far to be seen.
12/5/20 19:00,santa fe,NM,Formation,?,I was walking home and through the sky I noticed a diagonal stream of twenty or more slow moving orange-ish lights blinking quickly in
12/4/20 17:45,Santa Fe,NM,Light,30-45 seconds,Bright lights (at least 10) in formation traveling at high altitude west to east at supersonic speed over Santa Fe NM (seriously)
11/15/20 18:00,Santa Fe,NM,Sphere,3 mins,A white sphere flying from north to south over Santa Fe NM approximately 6pm 11/15/2020
11/13/20 00:00,Corrales,NM,Cigar,Moments,Short cigar cigar shaped object. Over the house a little ways. Bright sillouettte.
10/25/20 21:30,Santa Fe,NM,Oval,6 minutes,Very bright light swinging around ascended then ejected 2 objects.
10/24/20 18:59,Roy,NM,Cigar,30 seconds,A centipede type light/craft flying across the sky. Looked like a chem trail but was clearly not. Like a thin building with lights flyi
10/21/20 19:50,San Antonio,NM,Light,45,Witnessed two amber colored circular dots of light hopscotching each other horizontally across the sky and then disappear.
10/19/20 22:45,Los Alamos,NM,Changing,2 hours,The craft blinked in the distance signaling one in the sky like they were blinking in a binary morse code type pattern. Then one descen
