date_time,city,state,shape,duration,summary
5/19/21 17:25,Glens Falls,NY,Triangle,20 minutes,Triangular object over the Hudson River
5/18/21 04:00,Warwick,NY,Unknown,2:00,Four blinking lights hovering without making a sound for at least 3 minutes in Orange County NY
5/17/21 00:06,North Tonawanda,NY,Oval,,Large oval shaped object spotted with lights that had the appearance of shooting stars but it wasn't.
5/16/21 15:55,Niagara falls,NY,Oval,2 minutes,Black oval object with windows shot straight up through cloud's
5/16/21 09:30,ROCHESTER,NY,Rectangle,3 seconds,At around 9:30pm may 16 2021 we had a crescent moon so i brought out the telescope to look at the moon. while looking at a the moon ver
5/16/21 00:05,Utica,NY,Other,30,Seen A Stick Shaped UFO
5/15/21 22:06,Chautauqua Lake,NY,Light,35 minutes,Six bright white fast moving lights appeared above us one of which passed under a jet and followed our boat.
5/15/21 20:40,New York City (Brooklyn),NY,Circle,15 mins,11 glowing orange disc flew silently across the sky. They had no visible way of propulsion and looked like bright circles.
5/1/21 22:00,Massapequa Park,NY,Fireball,20 seconds,Fireball shape moving very fast through the sky. Did not have any sound. Seen moving in a straight line for about 20 seconds before dis
5/1/21 16:35,Glens Falls,NY,Triangle,10-15 minutes,Triangular object glens falls
4/29/21 23:59,Oswego,NY,Rectangle,5 minutes,Flashing red lights and white objects
4/22/21 22:23,New York City (Brooklyn),NY,Fireball,2 minutes,Saw a steady pulsating fireball above that moved slowly away
4/22/21 10:01,Pine City,NY,,,MADAR Node 82
4/20/21 20:30,New York City (Brooklyn),NY,Flash,3:39 minutes,At approximately 8:30pm eastern time I noticed a 1 pulsating light that was stationary in the western sky facing east. As I approached
4/20/21 15:25,Pine City,NY,,,MADAR Node 82
4/19/21 22:00,Glen Oaks,NY,Light,2 minutes,Red pulsating orb low in sky over LIE
4/19/21 20:12,Buffalo,NY,,,MADAR Node 163
4/9/21 20:30,Nyack,NY,Fireball,20 seconds,((NUFORC Note: Witness provides no details about sighting. PD))
4/8/21 20:53,Rochester,NY,Circle,0.30,Observed silent orange round object cross the starlit sky. Upon observation I alerted my sister to record with her cell phone. Ther
4/8/21 20:30,Buffalo,NY,Circle,5 minutes,Circular light moving and rotating blinking lights along side of it
4/7/21 17:42,Jamesport,NY,Other,3 seconds,Three Spheres connected by a tic tac shaped craft
4/3/21 05:43,Pine City,NY,,,MADAR Node 82
3/31/21 06:35,Camillus,NY,Formation,5+ minutes,Cluster of three bright lights
3/30/21 01:12,Huntington,NY,Rectangle,10 seconds,At 1:12 am on March 30th our ring device went off and we saw this strange object which could be a drone Showed it to many people.
3/27/21 01:57,West Chazy,NY,,,MADAR Node 65
3/25/21 19:00,White Plains,NY,Cylinder,48 mins,saw dark object with no lights and making no noise moving in a NE direction.
3/23/21 00:00,Port Jefferson Station,NY,Changing,40 seconds,UFO Second occurrence on Long Island NY in SAME/CLOSE TOWN HAPPENED SAME DATE roughly same time evening 1 month apart
3/23/21 23:30,Clifton Springs,NY,Circle,1 hour,"Round object swaying back and forth.

Changing coloring. Not moving very far.

Seen the same the night before."
3/20/21 13:07,Pine City,NY,,,MADAR Node 82
3/17/21 00:25,Brentwood,NY,Formation,Less than 10 seconds,All of the sudden looking out of my window in the sky appears a V shape craft formation in a very fast speed this craft appear and dis
3/15/21 20:40,Plattsburgh,NY,Fireball,1.5 seconds,it was in the sky  like how light fading away from fireworks looks like it was a beam of red light horizontally and i turned my head
3/12/21 21:06,Caroga Lake,NY,Light,4 minutes,Driving home with my son and we began seeing flashing lights in sky. I thought that maybe the flashing was caused by stars going in and
3/10/21 21:10,Elmsford,NY,Light,3 minutes,Large bright purple/blue hovering light
3/9/21 02:07,Pine City,NY,,,MADAR Node 82
3/6/21 00:00,New York City (Bronx),NY,Sphere,5 minutes,I was walking up 149th street on the bronx ny at around midnight and just happen to catch movement on my periphial and looked up to se
3/5/21 05:00,Charlton,NY,Sphere,15 seconds,Vehicle hit by orange orb no damage done in town of Charlton New York
3/3/21 06:51,Pine City,NY,,,MADAR Node 82
2/28/21 20:10,Rockaway,NY,Light,2 seconds,i was driving and seen a light shoot straight up in the sky i looked around to make sure i wasn't bugging but i swear i know what i see
2/25/21 23:30,Guilderland,NY,Light,1 hour,beam of light second occurance
2/24/21 05:35,Brewerton,NY,Light,5 minutes,Very bright white and orange swirling stationary orb.
2/23/21 13:30,Voleny,NY,Disk,Periodically,WATCHING LIVE VALCANOS AND SAW SEVERAL UFOS
2/16/21 01:00,Richmond Hill,NY,Unknown,1min,I saw a blurry figure emitting a blue/white beam to the ground with a sphere descending from it.
2/15/21 09:00,Saint James,NY,Teardrop,4 minutes,UFO 20 of them with unique moves of t;Understanding Dancing maybe as if I was watching and they KNEW ((Starlink satellites??))
2/9/21 22:45,NYC (Brooklyn),NY,Egg,2-3 seconds,Saw an cylindrical object in Brooklyn with a solid light in front streak across the sky
2/7/21 02:58,Pine City,NY,,,MADAR Node 82
2/6/21 21:45,Oswego,NY,Circle,1.15 minutes,3 UFO’s caught on video
2/5/21 09:28,Pine City,NY,,,MADAR Node 82
2/4/21 21:30,Brewerton,NY,Light,5-10 minutes,I saw an orange and purple orb floating just above the horizon. It was suspended above a field at the end of dark road near my house.
2/4/21 17:40,Endwell,NY,Light,4 minutes,Bight fast moving light disappeared in the west
2/4/21 06:08,Rochester,NY,Cigar,15 seconds,Silver/Blue cigar shaped hoovering over the lake from west to east
2/3/21 00:30,Geneva,NY,Oval,5-6 minutes,Something I've never in my life seen before.
1/25/21 23:55,Fishkill,NY,Disk,4 minutes,The object was visible and showed extremely unusual flight patterns.
1/25/21 09:10,Kings Park,NY,,,MADAR Node 30
1/23/21 16:45,Queens,NY,Other,40 seconds,Small shiny object changing colors oddly moving in NYC sky
1/20/21 02:45,Bayshore,NY,Diamond,45,1 diamond shaped ship with lights blinking in a circular pattern. The lights were orange white and red. The object was moving sideway
1/19/21 19:53,Copiague,NY,Oval,2-3 seconds,Object was moving horizontally at a very fast speed and then made a 45 degree turn downward. The object did not descend downward like a
1/18/21 04:15,Hampton Bays,NY,Changing,30 seconds,Orange orb moving oddly low in the sky two additional orbs appeared behind it forming an elongated triangle.
1/17/21 12:33,New York City (Manhattan),NY,Cigar,6 seconds,UFO over Manhattan
1/14/21 06:21,Pine City,NY,,,MADAR Node 82
1/10/21 18:00,Brooklyn NY,NY,Formation,A few seconds,Three or four glowing orbs in a straight line covered by a cloudy haze appeared for a few seconds then disappeared.
1/10/21 01:00,Richmondville,NY,Light,2 seconds,Silent bright green light darts across night sky and then disappears
1/7/21 23:46,Fuera Bush/Delmar,NY,Light,2:45,Major light movement sin sky causing mass surveillance no help
1/6/21 21:15,Stillwater,NY,Sphere,8 - 10 minutes,Saw a spherical object with extremely brilliant white blue yellow reddish lights that glistened and pulsated.
1/1/21 04:00,Mt.Tremper NY,NY,Disk,On and off for 3 hours,Catskills (Mt.Tremper) NIGHT TIME UFO SIGHTINGS
12/26/20 16:33,Jamesport,NY,Light,5 seconds,Saw ufo 12-26-2020
12/25/20 20:29,Long Island,NY,Disk,1 minute,Actual ufo in the sky with light beam - I have never seen anything like this before in my life.
12/23/20 03:00,East Quogue,NY,Other,30 mins,flickering colored lights in the night sky indistinguishable shape sort of swaying / hovering / rotating around.
12/19/20 15:00,North River,NY,Light,15-30m,Continual light shaped orbs sightings over the past 10 years first picture evidence
12/15/20 20:35,Hilton,NY,Sphere,2 minutes,Hilton NY 3 spheres
12/15/20 19:00,ROCHESTER,NY,Light,5 minutes,Over 20 lights in formation in most parts non stop over Rochester NY
12/13/20 22:20,New York City,NY,Other,One second,Green ring flew over New York city
12/12/20 21:00,New York,NY,Light,5 minutes,BALLS OF LIGHT MOVING IN FIGURE 8
12/12/20 21:00,West Hempstead,NY,Other,3 minutes,We looked up in the sky and there was a square object flying above us very slow and made no sound. Each point had a light and it was t
12/7/20 04:45,Buffalo,NY,Changing,Less than 1 minute,Quick sighting of a strange object flying through the air accompanied with a loud sound and strange energy.
12/6/20 20:10,Indianapolis,NY,Light,5 minutes,Red/orange orb hovering and moving in a serpentine pattern in western sky
12/5/20 17:55,Shirley,NY,Sphere,20 seconds,I was driving down a long stretch of road when I saw off to the side a neon green sphere that dropped out of the sky stopped then sho
12/3/20 06:00,Forest Hills,NY,Disk,15 minutes,I observed a disk/saucer shaped object high above my 31st floor terrace in a partly cloudy predawn sky. The disk was bright red and mo
11/28/20 21:30,Malverne,NY,Fireball,5 minutes,Bright orange object with no sound moving across sky then disappeared
11/25/20 17:45,South Hempstead,NY,Triangle,8 minutes,Green red and white lights on and off on the craft. Was moving slow st first then would speed up super fast and at the end of my blo
11/25/20 06:46,West Chazy,NY,,,MADAR Node 65
11/24/20 01:45,Carmel,NY,Circle,10 minutes,A flashing circle came back in the sky going back and forth flashing different colors while turning on and off.
11/24/20 00:47,Carmel,NY,Circle,4 minutes,Bright light flashing multiple colors hovered for about 4 minutes it did a circle and then took off at an unreal speed.
11/20/20 23:00,Bliss,NY,Diamond,5 min,We were in Bliss New York on November 20th.We were at hunting camp standing outside on the deck having a cigarette. My friend was tryin
11/20/20 23:00,Bliss,NY,Diamond,5 min,We were at our hunting camp Bliss New York there were 4 of us. We were standing on the porch looking at the stars. My friend was showi
11/20/20 17:17,Hopewell Junction,NY,Other,2 minutes,Light spheres and an extremely fast moving Christmas tree/centipede shaped object
11/19/20 06:57,West Chazy,NY,,,MADAR Node 65
11/18/20 14:45,New York,NY,Formation,5 minutes,V-Shaped formation of silver orbs flying over NYC
11/14/20 20:00,Staten island,NY,Sphere,20mins,Orange globe ufo in NYC sky
11/11/20 06:20,Malone,NY,Cylinder,25 seconds,Cylinder shaped object in sky.
11/9/20 17:30,Milan,NY,,1 minute,3 light objects.
11/9/20 17:20,New York,NY,Changing,15 seconds,UFO over Saratoga springs flying With erratic trajectory until it disappears mid air.
11/9/20 17:15,Clarksville,NY,Triangle,45 seconds,3 ROUND BALLS OF WHITE LIGHT IN TRIANGLE PATTERN APPEARED MOVING ACROSS SKY
11/8/20 23:16,Hunter,NY,Light,2 days,Multi colored light. Can see faa red lights from planes passing under it. It moves around and not like satellites. Every Nov-Feb it sho
11/8/20 05:45,Fulton,NY,Formation,10-15 minutes,"A line of 16 ""craft"" moving from west to east apparently in low earth orbit dropped objects into the atmosphere. (Starlink??)"
11/7/20 16:50,Plattekill,NY,Diamond,3 minutes,1 diamond shaped craft flew over my house. Made no sound at all. Wobbled a bit in the sky as it flew over. Followed the movement for a
11/6/20 20:30,Rochester,NY,Circle,2 minutes,5 red orbs that pulsed or blinked above city slowly moving North
11/6/20 18:04,Hamburg,NY,Sphere,30 seconds,I- along with another witness noticed a fast moving sphere glowing white. The sphere was heading north towards the lake. We then notic
11/5/20 18:32,Commack,NY,Oval,10-20 seconds,At 632pm on November 5th myself and a coworker observed what we strongly believe was a ufo in the sky above commack NY on long island
11/5/20 11:37,New York,NY,,,MADAR Node 85
11/4/20 21:15,Lewiston,NY,Unknown,30 minutes,Moving in formation Snake Lights
11/2/20 21:05,Orangeburg,NY,Rectangle,2 seconds,Bright white rectangle flashed at an angle across the sky.
10/31/20 08:00,Geneseo,NY,Light,2 seconds,I saw what I thought was a star and it had stayed there for quite some time. All of a sudden it dropped from the sky and disappeared ov
