date_time,city,state,shape,duration,summary
5/16/21 19:00,Jacksonville,NC,Circle,Hour,Three bright orbs spaced apart and aligned with the moon.
5/8/21 21:35,Mount Airy,NC,Light,5 minutes,At 9:35 pm While setting outside I happen to look up in north west Direction and noticed a string of lights flying toward the south we
5/7/21 21:30,Havelock,NC,Formation,2 minute,I was talking to my brother on my cell phone on my front porch with my wife. I looked up to the stars and off to the left I noticed doz
5/7/21 21:00,Raleigh,NC,Light,3-4 minutes,String of lights over Raleigh near falls lake
4/27/21 04:40,Bladenboro,NC,Light,Minutes,35-30 bright &quot;stars&quot; traveling the same speed and equal distances apart
4/23/21 21:00,Candler,NC,Oval,15 minutes,Watched 3 separate ufos lift up and take off
4/23/21 05:58,Durham,NC,Cone,>5 minutes,A cone of light coming from the sky unlike anything I have ever seen. ((NUFORC Note: Rocket launch from Cape Canaveral. PD))
4/11/21 16:29,Gastonia,NC,Rectangle,Caught by camera,I had a friend take a of a fish I caught and we didn’t see the craft in the upper right hand corner at the time put when I got home I s
4/5/21 19:00,Hudson,NC,Circle,5 minutes,Most amazing thing I have ever seen!!!
3/28/21 21:00,Apex,NC,Circle,1-2 seconds,Saw a fuzzy green orb moving at high speed in a straight line
3/28/21 20:26,Troutman,NC,Cigar,4-5 seconds,Driving down road UFO passes overhead flying at 125 yards. And disappeared into the clouds.
3/28/21 20:20,Summerfield,NC,Sphere,1-2 seconds,I saw a glowing green orb that split into 2 spheres that moved away from each other in opposite directions.
3/17/21 21:20,Kure Beach,NC,Other,5 minutes,Lights with fired object from larger craft
3/13/21 20:23,Burlington,NC,Unknown,5-10 minutes,A formation of brightly lit objects rise through the North Carolina night sky and disappear one by one.
3/9/21 05:15,Wilson,NC,Light,15 seconds,Was looking at what I thought was a plane going through the sky. It was still dark outside so I couldn't see the shape but only the li
3/7/21 00:00,Swansboro,NC,Other,Minutes,Silent U-shaped aircraft performing evasive maneuvers from a military helicopter on its tail in the dead of night.
2/25/21 18:45,Denver,NC,Formation,5+ minutes,Long string os lights in trail. Some stacked line abreast and some had lateral separation consisting of a typical parallel approach a a
2/24/21 20:59,Roaring river,NC,Unknown,2 minutes,Three lights appeared made very strange movements seemingly in a sequence before shooting off further than the eye can see
2/4/21 07:45,Cary,NC,Circle,hours,Very bright and very slow moving from West to East. We first noticed its location next to the moon and thought it was a morning star. B
2/3/21 19:20,Kure Beach,NC,Sphere,10,Appeared over ocean single at first. Thought it was a Shrimp Boat. The second appeared about a minute later beside the first. Then a th
1/29/21 20:08,Rockwell,NC,Other,15min,Big orange / red light in northwest sky in Rockwell NC USA
1/29/21 16:00,Summerfield,NC,Sphere,15-30 minutes,Spherical object enters atmosphere and flies away.
1/28/21 22:30,Fayetteville,NC,Disk,3 MINUTES,One saucer shaped U.F.O. with red light in center flashing red above tree tops moving from N/W TO S/E
1/28/21 18:33,Sanford,NC,Changing,7 hours,Tetrahedron orb flashing colors hovers changes shapes and directions over my field nightly many pictures and videos
1/21/21 18:30,Charlotte,NC,Formation,3-5 minutes,We observed two red lights moving at incredible speeds in perfect formation over Charlotte.
1/19/21 22:45,New Bern,NC,Light,unk,Lights in the night sky
1/14/21 22:15,Asheville,NC,Oval,30 minutes,Bright oval-shaped object flying at considerable height in the night sky
1/13/21 14:56,Pinehurst,NC,Oval,35,((NUFORC Note: Witness provides no detailed information. PD))
12/31/20 21:20,Oak island,NC,Light,3 min,Yellow light moving north over Oak Island NC
12/29/20 16:05,Raleigh,NC,Circle,5 seconds,I saw a large solid black circle next to a cloud parking my car. It was perfectly still and did not move. I continued to stare at it an
12/28/20 21:30,Garner,NC,Light,20 minutes,Bight white orb moving fast but fluid in multiple direction in sky. Possibly saw another orb couldn’t confirm.
12/27/20 19:00,Boone,NC,Unknown,4 seconds,Driving home probably 6-8 pm et. Saw a very bright white light (looked exactly like a bright star) fall straight downward. No tail ext
12/26/20 15:45,Raleigh (13 miles SW of)(in-flight),NC,Unknown,<1 second,A flying object at 29000 feet. ((NUFORC Note: REPORT FROM COMMERCIAL AIRLINE PILOT. PD))
12/26/20 07:00,Oaksboro,NC,Changing,Night and day,I have seen for weeks now orbs in the sky and on the ground they seem to be communicating with these space craft in the sky spycraft t
12/23/20 21:00,New Bern,NC,Light,15 seconds,3 bright lights horizontaly in a row
12/21/20 19:10,Hayesville,NC,Changing,While taken pictures,I was taking pictures of the Christmas star. I was not using flash to take the pictures and the pictures was taken of my phone(A50)
12/10/20 03:15,WinstonSalem,NC,Other,45 mins plus,A bright not moving object with pulsating red light watched for 45min to 1 hour
12/5/20 18:55,Leland,NC,Formation,1 minute,Two Bright Dots moved simultaneously and faded
12/3/20 19:30,Fort Bragg,NC,Rectangle,10 minutes,3 lights horizontally in a row moving horizontally in slow motion towards base. Too slow for a plae or helicopter to stay in the air. T
11/21/20 18:22,MOORESVILLE,NC,Circle,2 seconds,Lighted circle looped around in Northeast sky on camera
11/21/20 17:58,Oak hill,NC,Light,30 sec,Dim moving light that increased in brightness for a short period and then moved out of sight.
