date_time,city,state,shape,duration,summary
5/1/21 18:20,Valley City,ND,,,MADAR Node 93
3/5/21 22:00,West Fargo,ND,Other,5 minutes,I witnessed a flying object flying relatively low & slow with 4 perfectly squared lights marking the corners. The bottom center had a
1/15/21 12:04,Stanley,ND,Rectangle,10 minutes,Large object resembling a flat iron sat motionless off the highway.
12/7/20 23:23,Anamoose,ND,Disk,2 hours,Large spinning  colorful UFO.
10/15/20 06:15,New Leipzig,ND,Sphere,3-5 minutes,At least 61 UFOs in a straight line traveling West to East at 5:45 AM unforgettable !!! ((Starlink satellites??))
8/11/20 23:45,Valley City,ND,Light,30-45 seconds,Lake Ashtabula. High altitude (or low orbit) light moving at extreme speeds in a zig-zag pattern.
7/27/20 17:44,Valley City,ND,,,MADAR Node 93
7/22/20 05:20,Valley City,ND,,,MADAR Node 93
7/21/20 07:24,Valley City,ND,,,MADAR Node 93
7/15/20 23:30,Devil's Lake,ND,Formation,25 minutes,4 flashing lights organized in a rectangle followed distantly by a large helicopter
7/12/20 00:00,Grand Forks,ND,Chevron,5-10 seconds,Large rounded V shaped craft moved silently from South to North.
6/14/20 03:00,Valley City,ND,Triangle,7 seconds,Black triangular craft rising from ground with 3 lights that flashed just before the craft disappeared.
6/1/20 00:30,Fargo,ND,Light,30 seconds,Bright Red light spotted over interstate.
5/11/20 01:30,Arnegard,ND,Changing,1 hour,15-20 white/pulsing/objects form/fly in triangle and disappear.Red/Blue explosions when chasing each other in sky at impossible speeds
4/22/20 03:20,Minot,ND,Formation,5 minutes,Fleet of unknown fast moving bright objects. ((Starlink satellites))
3/15/20 04:25,Valley City,ND,,,MADAR Node 93
3/8/20 18:31,Valley City,ND,,,MADAR Node 93
3/8/20 04:47,Valley City,ND,,,MADAR Node 93
3/7/20 20:30,Fargo,ND,Light,15 minutes,Multiple lights flying across the night sky. ((Spacelink satellites))
3/7/20 05:38,Valley City,ND,,,MADAR Node 93
3/1/20 05:47,Valley City,ND,,,MADAR Node 93
2/24/20 01:00,Stanley,ND,Unknown,15 minutes,Traveling west on hwy2 deep red light hovering 500ft above a house3 miles east of stanley roughly half mile to south of hwy 2 observ
2/22/20 05:22,Valley City,ND,,,MADAR Node 93
