date_time,city,state,shape,duration,summary
5/14/21 23:05,Eaton,OH,Sphere,3 minutes,Orb in the sky looked like a turning ball of light. It went back and forth and closer and then farther away. I recorded it with my cell
5/13/21 22:30,Holden Beach,OH,Light,1/2 hour,My daughter and I were sitting on our beach house back deck when we saw two yellow lights over the ocean in the southern sky. The light
5/12/21 02:36,Saint Clairsville,OH,Oval,25 minutes,Metallic white almond shaped object with bright blue aura in dense woodland
4/30/21 00:45,Fairfield,OH,Fireball,5 seconds,Green flash streak fireball.
4/21/21 21:30,Grandview Heights,OH,Light,,Strange lights hovering low over Columbus. ((NUFOC Note: Possible twinkling star?? PD))
4/18/21 14:03,Garrettsville,OH,,,MADAR Node 64
4/15/21 08:40,Streetsboro,OH,Light,5 minutes,cluster of bright lights in non specific formation
4/11/21 04:05,Cincinnati,OH,Sphere,4 minutes,Videotaped a yellow blinking sphere and another orange orb below
4/7/21 21:18,Girard,OH,Light,3 minutes,Unexplainable Bright Light
4/3/21 11:35,Windham,OH,,,MADAR Node 55
3/27/21 01:40,Cincinnati,OH,Chevron,1 minute or less,UFO sighting on 3/27 01:40 and I have 2 pictures one pic looks like a green chevron the other a blue egg/cyclinder shape
3/26/21 20:14,Youngstown,OH,,,MADAR Node 73
3/19/21 16:44,Coshocton,OH,Unknown,2 minutes or longer,Unknown object.
3/17/21 23:15,Mansfield,OH,Rectangle,5 minutes,Rapid glittering white lights.
3/2/21 15:00,Lebanon,OH,Disk,5 seconds,I was on my way home on the bus from school and then I look out the window. I saw what seemed to be a flock of birds...but they weren't
3/1/21 17:43,Rosarito)(Baja)(Mexico),OH,Other,12 minutes,Kite looking hexagram above Rosarito Beach.
2/28/21 06:56,Garrettsville,OH,,,MADAR Node 64
2/26/21 19:00,??,OH,,15 minutes,Bright pulsating lights moving near the ground matching airplanes speed
2/25/21 18:00,Willard,OH,Cylinder,2 minutes,I was outside saying bye to my fiance as he was going to work. I looked up and the sky was beautiful the clouds were stringy like. I
2/15/21 06:27,Garrettsville,OH,,,MADAR Node 64
2/5/21 20:30,Newark,OH,Light,5 minutes,Several orange colored lights in the southern sky about 25 degrees above the horizon moving west to east. Lights clustered close togeth
1/20/21 19:00,Lancaster,OH,Light,~1 minute,small red light followed by large white light
1/15/21 12:01,Oakhill,OH,Other,It's been going on,Listed above. They use there minds to try to get you to do what they want
1/13/21 19:00,Greenfield,OH,Light,>1 hour,Looked to north after getting out of car at 7:00 p.m. Well after dark 36 degrees F. and 53% humidity. Seen ghostly cloud formation t
1/9/21 20:30,Medina,OH,Other,20 seconds,Slow moving low UFO seen in Medina OH 01/09/21
1/8/21 06:30,Painesville,OH,Circle,Seconds,While taking a picture of the sunset did not notice it with naked eye but in photo shows up clear.
1/7/21 23:30,Marietta,OH,Unknown,5-6 minutes,Huge city block length sighting in Marietta Ohio with 4 huge lights
