date_time,city,state,shape,duration,summary
5/7/21 21:20,Grove,OK,Light,20 minutes,It was like watching a hundred lights marching off to war single file
5/2/21 04:00,Claremore,OK,Triangle,3 seconds,Large triangular object with soft points light blue edges and black towards the center. It was moving incredibly fast. It was moderate
4/17/21 03:00,Porter,OK,Unknown,5 seconds,Two bright white objects fly across sky
4/10/21 21:45,Edmond,OK,Cylinder,10 minutes,12 yellow fireballs that made patterns with a cylindrical object below the lights not visible with the naked eye.
4/10/21 21:30,Edmond,OK,Cylinder,4 minutes,12 Fireballs and one cylinder shaped craft above Edmond OK on Saturday April 10 2021 between 9:30 pm and 10:00 pm
4/7/21 21:02,Nicoma Park,OK,Formation,45 seconds,UFO seen in Oklahoma. ((Starlink satellites??))
4/7/21 09:10,Tulsa,OK,Other,1 minute,I was outside on my porch when I saw a string of 50 lights or so crossing over the sky from the northeast. ((Starlink satellites??))
3/24/21 20:36,Muskogee,OK,Light,20 minutes,Orange Lights in Muskogee Sky
2/24/21 20:15,Maysville,OK,Oval,4 seconds,Strange unidentifiable light
2/24/21 08:10,Pryor,OK,Light,10 seconds,Was walking dog saw a bright white light in The sky no much higher than a tower moving in a downward angle at a slow but steady speed t
1/22/21 22:00,Heavener,OK,Light,1 minute,Light object in the sky near Heavener Oklahoma
1/17/21 22:15,Ramona,OK,Light,15 minutes,Three brightly colored lights took up position on the horizon.
1/12/21 16:00,Mustang/OKC,OK,Light,30 seconds - 1 minute,Bright blue/white ' star-like' light in broad daylight appears moves then vanishes.
1/4/21 23:46,Colcord,OK,Circle,15 seconds,Bright white at the center blue light haze exterior was about 50 Ft from my vehicle if I had to guess the size 10-20 feet in diameter
1/3/21 22:20,Mustang,OK,Cylinder,3 minutes,2 groups of 3 to 6 bright orange cylindrical objects appearing and then disappearing as though they &quot;burned out&quot;.
12/14/20 00:00,,OK,Fireball,,Fireball resembing color of other meteors that night fell perfectly straight down as if it was a drop delivery or disguised landing.
12/6/20 19:00,Edmond,OK,Unknown,45 seconds,Two extremely bright lights appear quickly high in the sky and disappear as fast.
11/28/20 17:14,Ardmore,OK,Other,5 seconds,The creature was tall slender dark humanoid.
11/23/20 19:15,Stillwater,OK,Circle,4 minutes,5 White Circles Moving in random formation.
11/18/20 18:55,Bartlesville,OK,Oval,2 minutes,I was outside taking pictures of the moon. I turned my head away from the moon glancing another direction. As I did so I saw a rathe
