date_time,city,state,shape,duration,summary
5/18/21 00:00,Corvallis,OR,Cigar,20 seconds,Saw cigar shaped whitish/blue object with pulsing white and blue lights in sky near home depot in Corvallis Oregon
5/16/21 22:40,Keizer,OR,Circle,5 minutes or longer,This was either a formation or a single craft with many lights on the outside. It was moving very slowly across the sky above my house.
5/16/21 10:00,Portland,OR,Formation,10 seconds,Formation of lights across the night sky in Portland
5/16/21 04:00,Newberg,OR,Light,Aprox: 2 minutes,there was a spherical light emitting a green laser pointing diagonally towards the surface of the ground. from the lazer were smaller
5/15/21 22:38,Salem,OR,Cylinder,2 1/2 min,Self illuminating craft cylinder shape mile long moving at constant speed. No wings or other lighting seen. No sound.
5/15/21 22:38,Salem,OR,Cylinder,2 1/2 min,Self illuminating craft cylinder shape mile long moving at constant speed. No wings or other lighting seen. No sound.
5/15/21 22:36,Sisters,OR,Cigar,4 minutes,Long and narrow illuminated craft flying high and somewhat slowly over Oregon (5-15-21 22:36); 4 whitnesses
5/15/21 22:35,Jacksonville,OR,Cigar,1 min. 30 sec,Cigar shaped slightly illuminated object moving North-NorthEast.
5/15/21 21:00,Medford,OR,Circle,35 minutes,Orange pulsating lights in a square formation to a straight line formation
5/13/21 01:30,La grande,OR,Formation,2-4 minutes,5-9 tightly grouped objects in a line
5/5/21 10:00,Silver city,OR,Unknown,1 minutes,I was in my car turning onto my street when I saw 7 bright lights all flying in a line right above me and then before I could take a pi
5/5/21 04:40,Oregon City,OR,Circle,3-5 minutes,Around 4:30 AM I went to walk the dog.After sometime I looked up to see if I could find any Aquarid meteors. Instead I saw small orbs o
5/4/21 21:30,Tigard,OR,Light,A few minutes,Row of lights moving together silently through the sky
5/4/21 21:25,Lebanon,OR,Formation,~3 minutes,A distinct tight stream of colored lights (18+) in a straight line moving slowly across sky-definitely not planes-Never seen before
5/4/21 21:25,Santa Clara/Eugene,OR,Unknown,25 seconds,Series of lights seen while stargazing possible UFO the length of the Hindenburg.
5/4/21 19:20,Bend,OR,Light,30 seconds,IFO - StarLink satellite train
5/4/21 04:45,North Plains,OR,,60 seconds,
4/23/21 20:30,Gresham,OR,Circle,5 minutes,2 circular aerial objects observed over Gresham Oregon 4/23/21
4/22/21 11:56,Crooked River Ranch,OR,Light,90 seconds,Lights high speed one catching other then turning left. Covered full sky horizon in 90 seconds.
4/22/21 00:00,Oregon City,OR,Triangle,3-5 minutes,A bright triangular shape hovering in sky observed from Redland Oregon perhaps hovering over Beavercreek area. It hovered for awhile a
4/15/21 21:30,West Linn,OR,Light,70 minutes,flashing color-changing light in south sky. ((NUFORC Note: Possibly Sirius?? PD))
4/12/21 00:00,Portland,OR,Fireball,10 seconds,Seen a lot more in the past have very much encounters no reason to make things up April 2019 I've seen others I mention seeing fog Bank
4/11/21 20:50,Portland,OR,Sphere,30 seconds,Orange sphere crosses overhead in Portland Oregon
4/10/21,Portland,OR,Fireball,10 seconds,I happened to look up in the sky over Rocky Butte claim it for like 10 seconds eyeglass up there and there was coming down at the sky l
4/5/21 23:00,Bend,OR,Sphere,5-8 minutes,Large bright light with smaller lights around. No sound
4/5/21 23:00,Sisters,OR,Sphere,10 minutes,It was over the Cascades and a round ship with sparks shooting from it and it was i/4 over the crest. No sound. Lookes like a hologram
4/1/21 20:41,Salem,OR,Oval,A few minutes,UFO moving very slowly above neighborhood paused nearby above house moved fast away after saw two entities in aircraft
4/1/21 18:37,Boardman,OR,Triangle,4 minutes,Wormhole event filmed from Boardman OR
3/25/21 21:15,The Dalles,OR,Fireball,1 minute,A bright ball to the right of mt hood (south west of here) coming closer and becoming brighter 0.2 inches at arms length. ((re-entry)
3/25/21 21:00,Corvallis (just north of),OR,Cigar,25 seconds,((NUFORC Note: Witness provides no detailed information. PD))
3/25/21 10:15,Milwaukee,OR,,7 minutes,((NUFORC Note: Witness provides no detailed information. PD))
3/25/21 09:00,Portland,OR,Circle,10 seconds,What appeared to be meteors were not in one single file line but messy and after seen booms were heard and a momentary shaking
3/24/21 21:00,North Bend,OR,Light,10-20 seconds,Two Orb-Shaped UFOs Spotted Over North Bend OR
3/23/21 20:06,Happy Valley,OR,Unknown,minutes,Saw a moving object in the Northern Sky. Appears to be to low to be a satellite and no blinking lights of a plane.
3/18/21 00:00,Portland,OR,Diamond,6 minutes,Small star-like object appears in Oregon nighttime sky.
3/7/21 20:15,McMinnville,OR,Rectangle,90 seconds,Looking to the North I saw a vertical rectangular exclamation point-like light slowly moving erratically to the West
3/1/21 19:25,Klamath Falls,OR,Triangle,2-3 minutes,TRIANGULAR OBJECT OVER KLAMATH FALLS OREGON
2/15/21 02:30,Portland,OR,Flash,A few seconds,I saw three objects that flashed and lit up the sky for about two seconds coming from the northwest heading south east
2/13/21 12:00,Salem,OR,Triangle,Google Earth,"Accidently came across this google earth object. It is black and white about 100 feet off of ground. Balloon??? I don't know.

ht"
2/11/21 19:20,LaGrande,OR,Unknown,2 minutes,3 Fireball like objects flying over the city.
2/9/21 06:05,Brookings,OR,,10 seconds,((NUFORC Note: Source of report provides no detailed information. PD))
2/8/21 18:00,Salem,OR,Unknown,15 minutes,Red lights in a row in the sky. Disappeared after a short time.
2/5/21 23:15,Portland,OR,Light,2 minutes,A group of 4 then 6 floating silent amber steady-glowing lights moving around one another before disappearing one at a time.
2/3/21 19:00,Eugene,OR,Diamond,2 minutes,Red lights in diamond form with two lights below diamond. Blinking and moving in a circle.
2/1/21 19:30,Eugene,OR,Circle,Minutes,I’ve seen these lights most of my life starting in 2001.
1/25/21 09:50,Portland,OR,Disk,approx. 50 seconds,I saw a dark shiny/reflective disc shaped object traveling overhead rotating sporadically as it traveled from the SW the NE
1/22/21 22:05,Portland,OR,Circle,5 minutes,
1/8/21 20:11,Springfield,OR,Triangle,20 seconds,Triangular shaped object moving into a cloud.
1/5/21 14:30,Lake Oswego,OR,Circle,10 seconds,I was at work doing my normal thing of picking up small pieces of trash around an apartment complex. About 3 or 4 times a week I hear
1/4/21 21:00,Gresham,OR,Circle,,Black sphere shaped with big light beam coming from the center.
1/4/21 18:30,Williams,OR,Flash,1 second,I am submitting this to confirm other possible sighting reports about a flash of bright light (emanating around an even brighter white
12/31/20 20:50,Oakridge,OR,Triangle,7 seconds,Triangular-Egg shaped craft caught in still photo north of Klamath Falls Or.
