date_time,city,state,shape,duration,summary
5/18/21 12:00,Lewisburg,PA,Other,All night/every night,This has been going on at my residence for the last several months. I’ve contacted the commonwealth as there’s a federal prison behind
5/16/21 09:00,McDonald,PA,Unknown,1.5 hours,15 crafts in space that raced darted faded in and out pretended to be stars and wobbled in all directions in the sky.
5/15/21 20:15,New Hanover Township,PA,Circle,2 - 3 minutes,about 15 orange circular objects flying at low altitude.
5/8/21 21:45,Shrewsbury,PA,Formation,2 minutes,Small lights circulating in a straight line over and over
5/8/21 21:40,Camp Hill,PA,Circle,2 minutes,White dots moving in a line.
5/8/21 21:00,Washington,PA,Light,5 minutes,3 lights odd red color
4/28/21 21:40,Yardley,PA,Unknown,5 minutes,Red flickering lights in Bucks County PA
4/26/21 23:00,Reading,PA,Triangle,20 minutes,Stable in one spot in sky! Looked through binoculars and saw triangle shape with red green and white lights turning off and on with ci
4/21/21 04:47,Erie,PA,,,MADAR Node 39
4/20/21 21:00,Dublin,PA,Fireball,1-2 minutes,Ball of light fastly flashes/transport into a triangle if they were 3 lighting up in triangle formation 1 blink per point at 1 time. A
4/19/21 00:45,Clarion,PA,Light,30,3 lights over the midnight sky
4/15/21 23:00,Cheswick,PA,Other,5 minutes,crescent moon shaped object that changed shape and disappeared.
4/9/21 01:00,Dingman Township,PA,Light,25 minutes,I think I saw a UFO.
4/7/21 21:20,Crum Lynne,PA,Formation,15 seconds,12 nickle size yelloworange white lights by US 13 in Delaware county Pa
4/3/21,Tioga,PA,Light,3 weeks,Noticed it a month ago. And every night since. Yellow glowing orbs rising from the damn. Our town I's built in the shadow of this damn.
4/2/21 21:00,Doylestown,PA,,2 hours,((NUFORC Note: Witness provides no information about sighting; elects to remain totally anonymous. PD))
4/2/21 20:10,Oxford,PA,Oval,1minute,Red flying object
4/1/21 15:30,,PA,Circle,20 seconds,I saw a super bright light while digging field drains.
3/26/21 05:30,New Castle,PA,Oval,5 minutes,Oval craft with red and white lights hovering over trees
3/21/21 07:07,Douglassville,PA,Unknown,10 seconds,watch the video.
3/19/21 20:00,Richboro,PA,Light,3 seconds,Bright white light at high speed SE of Richboro
3/18/21 06:09,Furlong,PA,,,MADAR Node 38
3/15/21 06:35,Windber,PA,Circle,15 minutes,Object was circular and was bright blue in color and was moving left to right hovering above the tree line in the northern sky as the
3/14/21 06:12,Wayne,PA,Formation,5 minutes,4 white lights
3/14/21 06:00,Langhorne,PA,Fireball,1 minute,Looking out at south east morning sky I saw a bright white point of light with lit up trailing vapor ((Falcon 9 launch))
3/12/21 19:20,Arnold,PA,Light,20 minutes,Six Traveled west to east bright to dim as they traveled overhead.
3/7/21 17:36,Nottingham,PA,Cylinder,5 seconds,Hovering craft
3/6/21 17:55,Mckees Rocks,PA,Other,5-6 minutes,Ufo spotted over Mckees Rocks Pennsylvania
2/26/21 00:44,Pittsburgh,PA,Circle,few seconds,The night before strange sounds were heard outside and loud banging against the sliding glass doors.
2/25/21 08:50,Butler,PA,Cigar,15 seconds,Bright cigar shaped object
2/24/21 16:30,Lansdowne,PA,Formation,15 seconds,Observed silver aircrafts at great rocket heights flying in tight formation maneuvering in super tight formation with clear blue sky.
2/20/21 21:00,Oxford,PA,Light,60 seconds,Very bright gold hovering light
2/14/21 06:57,Folsom,PA,Fireball,2 minutes,Two UFO’s reported in pa
2/12/21 06:00,Allenwood,PA,Circle,2 minutes,3 spheres equally spaced apart moving west to east all on the same plane and trajectory.
2/4/21 07:10,King of Prussia,PA,Light,20 seconds,Light moving across the sky over the Pennsylvania turnpike
2/3/21 22:40,Reading,PA,Triangle,Five minutes,Triangular Craft Spotted Above Treeline in Reading
1/30/21 19:00,Exton,PA,Other,5-10 seconds,Massive wide U shaped translucent object with 20 - 30 dim lights heading SW
1/24/21 05:55,Norristown,PA,Light,<1 minute,I saw two lights that looked like stars or aircraft flying in formation to the northwest when I walked outside to at around 5:55 am EST
1/22/21 20:15,Kennett Square,PA,Sphere,3 minutes,Small red blinking sphere
1/10/21 20:00,Philadelphia,PA,Triangle,5 seconds,V/Triangle-shaped silent craft near Philadelphia on 1/10/21
1/10/21 20:00,Reading,PA,Oval,10 minutes,I was on my way home and saw this big oval weird spaceship with two bright LED lights moving oddly really close to earth like 100ft or
1/10/21 20:00,Reading,PA,Oval,10 minutes,I was ob my way home and saw this big oval weird spaceship with two bright LED lights moving oddly really close to earth like 100ft or
1/7/21 20:00,Feasterville,PA,Light,2 minutes,Green humming lights followed by red blinking light as it passes a separate set of white lights that quickly vanish.
1/7/21 20:00,Warminster,PA,Other,10 seconds,Ufo chased by military over Warminster Pa
1/7/21 18:31,Hatfield,PA,Cigar,30 seconds,It was really loud and i first thought it was a helicopter or something like that but when i checked my app Flightradar24 there was no
1/2/21 18:30,Pipersville,PA,Triangle,25 seconds,huge V shaped white lights. 5 lights on each side. No noise. Very odd sort of vapor trail appears then gone.
1/1/21 12:00,Marcus Hook,PA,Fireball,2 minutes,Minutes after fireworks I had noticed an orange fireball in the sky. It was moving fast and it skipped speed a few times.
1/1/21 00:07,Marcus Hook,PA,Fireball,One minute,Orange fireball traveling at high speed
12/31/20 22:30,Nazareth,PA,Fireball,2 minutes,Pulsating orange orb in eastern sky
12/31/20 18:00,sellersville,PA,Circle,6 minutes around,6-7 Orange/Red UFOs
12/29/20 20:00,McKees Rocks,PA,Light,5 minutes,Red lights hovering above Pittsburgh suburbs.
12/27/20 03:43,Lords Valley,PA,,,MADAR Node 44
12/24/20 23:30,West Chester,PA,Sphere,5 minutes,1 sphere like round firework. Still. Turned into 3 spheres. No sound until deep hum. No movement @1st. Then 3 from NW to SE.
12/19/20 01:00,Limerick,PA,Triangle,20 seconds,V-shape white lights moving through the sky before disappearing
12/17/20 18:58,Pottstown,PA,Formation,2 hours,Formation of UFOs back and forth at high altitude.
12/11/20 17:03,Lords Valley,PA,,,MADAR Node 44
12/11/20 09:17,Aston,PA,Triangle,15 min,Very large translucent triangle
12/10/20 19:25,Hookstown,PA,Fireball,3 to 4 seconds,Fiery bluish rocket tail traveling the night sky at a super sonic speed then disappearing; left a distinct smokey travel line.
12/7/20 12:57,Phoenixville,PA,Cigar,20 seconds,White haze horizontal cigar/ sphere shaped object. Flying from south to north. Very high in sky no sound. Consistent travel speed. I se
12/6/20 17:55,Manheim,PA,Triangle,10 ninutes,unusal obect in the sky
12/5/20 19:30,Turnpike near Bristol township,PA,Triangle,2-3 minutes,Big triangle takes off at the speed of light.
12/2/20 23:00,Lords Valley,PA,Cone,4 mins,Top-shaped object. Witness was unnerved by fact it was shining a search beam looking for something.
12/2/20 18:30,Lehighton,PA,Fireball,2 seconds,It was obviously on fire yet no meteors were reported plus if it were a meteor it would be moving side ways this thing came straighdown
12/1/20 19:30,Trexlertown,PA,Light,2 seconds,Saw a massive bright green beam of light shoot out of the ground into the sky
11/29/20 13:00,Bensalem,PA,Other,30 seconds,Tic-tac appears approx 200 feet above in Neshaminy State Park noticed because light reflects off of it into my eyes. I tell my girlfri
11/24/20 06:07,Furlong,PA,,,MADAR Node 38
11/20/20 17:30,Kintnersville,PA,Circle,5 Minutes,Large Circular Object not moving with white lights seen on 412 Durham Road Kintnersville PA
11/19/20 23:00,Perkasie,PA,Circle,~30 minutes,Blinking white and red circular light. Floating is not satellite and barely moves
11/19/20 19:30,New Wilmington,PA,Circle,3 minutes,Something in the sky we hadn't seen before
11/19/20 06:12,Parkesburg,PA,Light,2 seconds,The whole thing lasted 2 seconds and made a letter U in the sky as it disappeared like it was turning around to point back to sky.
11/18/20 19:00,Mercersburg,PA,Unknown,4hours,Over course of a few weeks I've seen strange lights in the sky on certain nights. Always around the same time. The object(s) fly in the
11/16/20 20:45,Meadville,PA,Formation,1/2 second,Blue UFOs Going way over light speed
11/13/20 20:50,bessemer,PA,Triangle,4 seconds,bright fast light
11/10/20 22:10,McClure,PA,Light,15+ minutes,“Star”-like object moves around in one place and seems to be searching.
11/9/20 23:00,East Freedom,PA,Oval,10 minutes,The object observed was a very large oval/disc shaped aircraft that was hovering closer to the ground. The object was blinking red and
11/9/20 22:14,Shirleysburg,PA,Triangle,~40 seconds,((NUFORC Note: Source of report provides no information. PD))
11/9/20 19:00,Kelly Crossroads,PA,Unknown,2-3 MIN,Something stationary with flashing green and white lights (think of a strobe light effect.)
11/8/20 21:15,Oakdale,PA,Light,3 minutes,Possible UFO sighting in small town.
11/8/20 19:25,Harrisburg,PA,Circle,~30 seconds,Circle Floating
11/6/20 23:30,Lower Moreland,PA,Circle,1-2 hours,I will make this as clear as possible. My name is [redacted] and I am a high school student. Last night at around 23:30 My two friends
11/6/20 18:58,Philadelphia,PA,Other,varies,Need to see for yourself
11/5/20 23:00,East Freedom,PA,Disk,2 minutes,My fiance and I both witnessed this event and out of our many star gazing experiences nothing ever came close to what we saw that nigh
11/5/20 18:00,Pine Grove,PA,Light,3 minutes,2 Lights Dancing in Sky
11/3/20 19:20,Dillsburg,PA,Other,<1 minute,Saw a string of bright white lights hovering or slowly moving above South Mountain. We were in the car and lost sight of it as the road
11/1/20 07:40,Pittsburgh,PA,Rectangle,45 seconds,Rectangular object gray in color moving slowly from east to west in the NW sky.
10/31/20 06:55,folsom,PA,Circle,,I was walking across the street and I notice a orange UFO moving slowly across the sky then it disappeared
10/26/20 04:10,Reading,PA,Other,10 minutes,oddly shaped moving object
10/24/20 19:31,Catawissa,PA,Other,4 minutes,Line of lights moving N to S. ((Starlink satellites?))
10/24/20 19:20,Bloomsburg,PA,Other,3 minutes,I was driving in the car with friends when one of them pointed out what they thought was a shooting star. ((Starlink satellites?))
10/22/20 03:45,Millerton,PA,,,MADAR Node 104
10/21/20 21:50,Milroy,PA,Unknown,30 minutes,Was taking out the trash looked up to the east and saw a glowing orange like planet looking thing but moving in a circle them took a pi
10/17/20 19:46,Pittsburgh (east of),PA,Fireball,interval still present,Trans-morphic scintillating orb/fireball south by southeast of Pittsburgh PA about 30 degrees off of the horizon.
10/17/20 04:30,Atglen,PA,Triangle,10 minutes,Extremely bright light contained in a pyramid shape high in the early morning sky.
10/14/20 21:02,Yardey,PA,Unknown,2 minutes,2 brightly lit objects intense orangish in color like shades of fire moved in unimpressive manner followed by 4 more in random spacin
10/14/20 20:30,Pittsburgh,PA,Oval,Ongoing,Saw a Bright color changing/rapidly blinking craft over the city tonight it was oval shaped and silent
10/13/20 20:30,Harlansburg,PA,Triangle,10 minutes,Huge craft with triangle of red lights and one green light
10/11/20 05:58,Millerton,PA,Light,,Witnesses responded to a MADAR alert went outside and saw a bright white light above the overcast cloud layer
10/11/20 05:58,Millerton,PA,Light,30-secs plus,Witnesses responded to a MADAR alert at 5:58 AM on 10-11-20 7 & saw a bright white light above the overcast. ((MUFON rept.))
10/11/20 05:58,Millerton,PA,,,MADAR Node 104
10/10/20 21:00,Hatboro,PA,Sphere,3 seconds,Saw a large green light sphere or circle .shaped go in arc across the sky fairly fast steady rate With no trail.
10/10/20 21:00,Hatboro,PA,Sphere,3 seconds,I looked at the sky above my front yard and saw a bright green light sphere shape travel in a arc across the sky between two trees.
10/8/20 21:00,Pittsburgh,PA,Triangle,2hours,White lights and no sound was rotating and spinning in one spot almost a prism shape
10/7/20 22:45,Freedom,PA,Oval,5 minutes,3 oval shaped objects met in sky and hovered closely.
10/7/20 01:05,Franklin,PA,Oval,1 hour,Donut shaped craft appeared to be a hole in the center fire red to orange in color.(Changed)
10/6/20 17:00,Harrisburg,PA,Cigar,5 seconds,Capsule shaped object seen.
10/3/20 21:00,Everett,PA,Triangle,,One was much larger than the other and the smaller one appeared to be be following the much larger one they also appeared to be commun
10/3/20 21:00,Spring City,PA,Flash,2 seconds,Green light in the sky
10/3/20 20:00,Bethel Park,PA,Light,2 minutes,I was looking up at the big dipper and to the left of the end of the handle I witnessed a light slightly dimmer than the nearest star
10/2/20 09:30,Bryn Mawr,PA,Light,45 seconds,Bright circle of light flying low quickly and erratic about the size of a softball
10/1/20 20:00,Mount Carmel,PA,Circle,5 minutes,Saw a white white circular shape float across the sky for about a mile then went behind a tree waited for it to come out the other sid
10/1/20 04:00,Covington,PA,Light,2 hours,I woke up at 4am to go to the bathroom and when I layed back down I saw a really bright light in the sky that I have never noticed befo
9/30/20 23:00,Monroeville,PA,Unknown,20 seconds,I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light a
9/30/20 17:00,Abington,PA,Cigar,10 minutes,Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud NE sky had what looked like a
9/30/20 06:30,Mechanicsburg,PA,Flash,15 seconds,It was a super bright long lasting flash.
9/28/20 20:30,Clarion,PA,Changing,2 hours,They come back to the same spot frequently.
9/26/20 03:18,Furlong,PA,,,MADAR Node 38
9/25/20 10:30,Conneautville,PA,Light,3 minutes,Object would blink every 30 seconds. At first it was stationary. Right by the dipper but then moved to the south west. Second time I ha
9/25/20 00:20,Aliquippa,PA,,,MADAR Node 68
9/24/20 22:43,Altoona,PA,Disk,10 minutes,On September 242020 I saw one large object saucer with lights in sky size of a bus. It was at 10:43 p.m. at night flying across the sk
9/21/20 21:15,Wharton,PA,Sphere,20+ minutes,Small floating object observed at very close proximity. Intermittent lights and movement.
9/20/20 05:45,Swoyersville,PA,Sphere,30 minutes,Bright orange light in sky moving at high rate of speed moved toward horizon than stopped and wandered about sky.
9/19/20 22:44,Blackwell,PA,Light,40 seconds,2 Mysterious Bright orange objects Burning in the sky
9/19/20 06:47,Furlong,PA,,,MADAR Node 38
9/19/20 04:00,Reading,PA,Cylinder,2 hours,Unidentifiable aircraft hovering in Reading over hundreds of feet in the air flashing red green and blue lights. Moves Weirdly.
9/16/20 22:00,Richboro,PA,Circle,30 minutes,I saw ufo flying in the sky late at night
9/16/20 12:30,Media,PA,Disk,2 minutes,A white disc shaped object flew slowly in the sky and then disappeared.
9/16/20 09:15,Milmont Park,PA,Disk,2 minutes,A white disc shaped object flew from right to left in a strait horizontal line.
9/15/20 21:15,Newtown,PA,Unknown,5 minutes,My wife and I were on our patio talking. It was a clear night and as I looked at the sky I could see the typical stars and as I'm looki
9/15/20 21:03,Cochranville,PA,Unknown,15 minutes,Large unidentified drone-like craft with blinking lights in 19330
9/14/20 06:53,Aliquippa,PA,,,MADAR Node 68
9/14/20 06:53,Aliquippa,PA,,,MADAR Node 68
9/12/20 20:20,Phoenixville,PA,Other,20 seconds,Very fast moving orange arura/ haze flying at amazing speeds and stops to make quick turns.
9/11/20 22:00,Washington,PA,Fireball,5 minutes,Husband and I thought it was Mars we were looking at. Next thing we know the &quot;star&quot; appeared to get bigger glowing bright red
9/10/20 19:47,Hilltown,PA,Triangle,20 seconds,Large fireball entered atmosphere with windblown fire until parachutes opened and landed about ¾ mile apart. Shaped like an Elon Musk c
9/8/20 19:00,Forest Hills,PA,Changing,5min.,White line in the sky at Sunset turns upward and takes off with a large plume behind like a launched rocket.
9/7/20 21:05,Erie,PA,Sphere,60 seconds,Bright orange circle in sky looked on fire was flying very fast and as it turned in east direction it slowed down and then flickered
