date_time,city,state,shape,duration,summary
5/5/21 20:30,Cumberland,RI,Fireball,2-3 minutes,3 yellow/orange fireball like lights traveling silently and following each other.
3/30/21 20:42,Newport,RI,Unknown,10:59,(I HAVE ALL OF THIS ON VIDEO. 11 MINUTES) A &quot;light&quot; appeared in the night sky seemingly out of nowhere in the distance. I've
3/5/21 12:00,Ashaway,RI,Cigar,2-3 minutes,I was on 216 headed twords RT 3 I saw a metal tick tack shaped object. I lost it's view because of the tree line. I turned right into
2/20/21 22:00,Newport,RI,Disk,2-3 minutes,Hovering Saucer with 3 blue/white thruster looking lights. large and undeniably visible.
11/29/20 21:51,Providence,RI,Circle,2 minutes,November 29th 2020 9:50pm I changed our names in my report for privacies sake I was laying in bed after walking my girlfriend to her
10/19/20 22:44,North Providence,RI,Oval,5 seconds,I was in my yard looking up at the sky. Smoking a cigarette. Above the Treeline above 146north. I definitely saw a glowing orb with a t
10/9/20 19:10,South Kingstown,RI,Light,4 minutes,Tiny red object ejects small white light
9/28/20 21:00,East Providence,RI,Circle,2 minutes,Outside on the back porch at night when I saw something in the sky. Object was circular with red panels on the bottom that looked like
9/1/20 15:00,North Providence,RI,Egg,Home,I don’t even know where or how to start this ... I just got back home with my daughter who at the time was 4 . It was sunny and pretty
8/29/20 03:00,Westerly,RI,Other,10 seconds,Star Shaped Fast-Flying Object.
8/25/20 19:35,Pawtucket,RI,Other,2 mins 45 secs,White ball of light/orb flying silently.
8/14/20 04:30,North Providence,RI,Formation,15 seconds,I saw six small star like orbs In a line slowly moving across the sky fading off one by one. ((Starlink satellites?))
8/9/20 21:20,Smithfield,RI,Sphere,1 minute,I was on my motorcycle riding west bound on log road. The night was clear and I saw two very bright orange orbs above me. I pulled into
8/5/20 04:00,Warwick,RI,Circle,30 minutes,At 4:00 am we observed a bright moon like object that darted around in the sky and enlarged in burst like activity and then reduced is
8/1/20 21:15,Woonsocket,RI,Light,4 minutes,I went outside to bring my cat out and there was a Bright light with a small light following it about 10 feet behind[ the perspective i
6/28/20 23:00,Jamestown,RI,Light,1hr+,6 plus people witness a bright light .oving in strange directions
