date_time,city,state,shape,duration,summary
5/14/21 23:50,North Myrtle Beach,SC,Changing,30,Many lights over North Myrtle Beach ocean moving erratically
5/8/21 09:30,Irmo,SC,Formation,30,Saw various lights like starts traveling in a row and disappear in the sky.
4/26/21,easley,SC,Triangle,5 minutes,I have never made one of these reports and I am reluctant to make this one. I am prior USAF SSGT Retire after 23 years of government
4/25/21 22:00,North Charleston (Folly Beach),SC,Changing,,3 lights in a triangle formations changes shapes and 1 light vanishes
4/17/21 06:21,Irmo,SC,,,MADAR Node 95
4/15/21 17:30,Edisto,SC,Sphere,3 minutes,Lingering ufo being pursued by military crafts
4/4/21 20:30,Gaston,SC,Triangle,30 minutes +,triangular object with red green and white rapidly flashing lights apparently stationary low in the westerly sky after sunset
3/9/21 19:48,Charleston,SC,,3-4 seconds,Bright brilliant white - looked like a comet. Fastest thing I’ve ever seen in the sky. ((////rocket launch??))
3/4/21 06:41,Irmo,SC,,,MADAR Node 95
3/2/21 20:00,Walhalla,SC,Formation,86 seconds,3 yellowish orange unidentified oval shaped objects sighted over northern South Carolina.
1/20/21 20:20,North Myrtle Beach,SC,Sphere,10 minutes,Orange orbs appeared and hovered off coast before moving towards beach then they abruptly accelerated and extinguished their light
1/20/21 19:40,Conway,SC,Formation,From when I first saw it,As I am driving east on Hwy 501 in Conway SC towards Myrtle Beach SC 7:40 PM a large formation of bright orb like balls formed a pe
1/19/21 20:52,Saint Stephen,SC,Cigar,(2) 20 second beams,6 bright beam lights in cigar form size of football field hovered for two 20 second round one minute after the other. After roughly 8 m
1/12/21 19:03,Powdersville,SC,Light,5 seconds,Ball of light speeding through the air.
1/5/21 20:00,Harleyville,SC,Other,2 minutes,3 objects with bright flashing orange lights
12/19/20 13:00,Greenville,SC,Sphere,,
12/2/20 15:20,Simpsonville,SC,Light,00:03:47,An identical sighting almost one year after the first one over the SC sky
11/21/20 16:40,COLUMBIA,SC,Cylinder,30 minutes,Noticed a bright light at high altitude >10000 ft. Observed for a few minutes and noticed objects depending at high rate if speed. As
11/13/20 15:00,Blacksburg,SC,Flash,10 Seconds,I seen flashing that was not an airplane.
11/13/20 05:45,Moncks Corner,SC,Other,2 minutes,We have a landfill in town. Something resembling a rocket took off from the area the landfill is at. It's also a methane processing pla
11/11/20 20:50,Bluffton,SC,Triangle,2 minutes,tricycle back wheels blue lights front red light noise was loud roaring sound
11/6/20 15:30,North Charleston,SC,Rectangle,2 minutes,Bright white square-shaped craft with rounded corners and silver band hovers silently then disappears.
11/5/20 18:27,Charleston,SC,Sphere,4 minutes,Red glowing half-sphere
11/2/20 20:30,GREER,SC,Circle,15 minutes,9 bright orange color dots flying from northern sky
10/26/20 06:23,Irmo,SC,,,MADAR Node 95
10/24/20 22:05,Irmo,SC,,,MADAR Node 95
10/22/20 19:13,Edisto Island,SC,Light,30-60 seconds,Hovering bright light(s) horizontally aligned with red flashing lights between them-changing to 5-6 vertically aligned bright lights
10/21/20 21:00,Panama City,SC,Disk,15 minutes,We Spotted a small orange orb over the ocean our first thought was it may be Mars but the orb got bigger and it was able to move very
10/18/20 03:04,Beaufort,SC,,~30 seconds,Contact 2nd night in a row.
10/17/20 22:04,Port Royal,SC,Triangle,2 hours,"Black triangle flight level 090-110 moving south rotational pattern.

Silent low level 3 lights-one hull"
10/16/20 22:00,North,SC,Triangle,3 min. approx.,Triangular aircraft (not a helicopter) hovering in place next to road at night
10/15/20 10:31,Irmo,SC,,,MADAR Node 95
10/11/20 20:50,Bluffton,SC,Formation,2 minutes,v shape with huge two back wheels had blue lights and the front red lights.
10/7/20 19:45,Gaston,SC,Triangle,30 minutes +,repeating observation of object in westerly sky after sundown and before object sets rapid flashing red green white and blue
10/5/20 21:00,Bennettsville,SC,Triangle,three minutes,Second Triangular craft reported over Bennettsville
10/1/20 20:30,Gaston,SC,Triangle,30 minutes +,same as reported on 9/30/2020 triangular craft in western sky at 280 degs inclination is ~30 degs this is about 1 hr earlier than yest
9/30/20 17:15,Gaston,SC,Triangle,30 minutes +,triangular object with red green and white rapidly flashing lights apparently stationary low in the westerly sky at 17:00
9/26/20 20:30,Powdersville,SC,Circle,3 minutes,Spectacular light sightings above the clouds over the highway
9/14/20 20:42,Myrtle Beach,SC,Light,1 minute,Perfect orange orb shape UFO splits in several before disappearing. Over ATLANTIC OFF MYRTLE BEACH
9/13/20 22:50,Summerville,SC,Oval,15 minutes,Orange lights on an oval with a bright ring that was standing still then jerking around.
9/13/20 09:30,North Myrtle Beach,SC,Light,5 seconds,Light moving north to south over beach in north myrtle. No sound. Faster than anything give ever seen.
9/11/20 03:30,York,SC,Oval,1.5 hours,Bright colorful lights capsule shaped object
9/5/20 00:05,Inman,SC,Light,20 seconds,Object spotted off the right on little mountain rd proceeding towards Malcom rd. Caught my attention because the object was bright w
9/3/20 06:43,Irmo,SC,,,MADAR Node 95
9/1/20 15:30,Myrtle Beach,SC,Cylinder,20 minutes,I was laying in poolclear day no clouds.Saw object very high in sky.Got binoculars and located object.It was a large cylinder floating
8/30/20 22:17,Myrtle Beach,SC,Light,streaked by less than a s,Two white lights flashed across the sky in less than a second. No sound.
