date_time,city,state,shape,duration,summary
3/1/21 19:45,Sturgis,SD,Fireball,30 seconds,Bright lime green fireball in the sky
1/1/21 00:00,Rapid City,SD,Light,On going,70 lights all moving around sky. Initially look like stars but are rapidly blinking. An seemingly in atmosphere. Some are orange.some a
12/13/20 22:12,Hot springs,SD,Unknown,50 seconds,Fast approaching object turned into 3 green glowing bow shapes then as it passed over the house light went out and it was metal object
12/5/20 19:03,Huron,SD,Formation,3 min,Line of moving lights in sky
8/28/20 08:30,Sioux Falls,SD,Changing,20 minutes,Bright large shape turns red
8/22/20 22:30,Yankton,SD,Light,30 seconds,2 orange lights hovering slowly before flickering out west of Yankton/North of Gavins Point Dam
7/27/20 11:30,Brookings,SD,Circle,2 minutes,The singular object I saw was a brown darkish flat circular and shiny that was traveling around 35-40 MPH
7/4/20 01:19,Red Iron/Clear Lake,SD,Other,30,My significant other was in the lake without son playing and splashing around when he asked me &quot;what's that in the sky?&quot;I ig
6/3/20 23:11,Madison,SD,Light,.2 minutes,Small burst of light that resembled a shooting star but much much closer. Lasted approximately 5 seconds.
5/14/20,406 Pine St Lot 2,SD,Formation,,So-called' air traffic/thunder storm brings UFO to our skys.
4/18/20 21:00,Milbank,SD,Light,15-30 minutes,Notice single white lights ((Starlink satellites?))
4/17/20 21:15,Rapid City,SD,Circle,15 minutes,50 spaced lightsgoing sw to be at speeds similar to known space labetc. Could see 8-10 at a time.
3/20/20 20:10,Sturgis,SD,Light,15 minutes,"50 UFOs flew in a straight line perfectly spaced apart. ((""Spacelink"" satellites??))"
3/7/20 19:02,Summerset,SD,Formation,2-3 minutes,25-30 white lights flying in a straight line equally spaced apart. ((Spacelink satellites))
2/22/20 21:18,Yankton,SD,Formation,146 seconds,Low flying Ufo cluster over Yankton.
1/19/20 19:00,Worthing,SD,Circle,5 seconds,There was a basketball sized orb that was bright white. Moved up and down and then disappeared.
1/19/20 18:30,Brookings,SD,Triangle,<1 minute,Triangular Shaped Drone
1/11/20 04:30,Garretson,SD,Egg,30 seconds,White seemingly hovering Tic-Tac object Near a plane in the sky Observed for 25 seconds Rapidly accelerated out of visible range in app
12/24/19 18:23,Black Hawk,SD,Light,15 minutes,Line of evenly spaced white star-like lights moving in night sky from west to east and disappearing overhead.
11/23/19 18:00,Sioux Falls,SD,Other,30 seconds,On November 22nd about 6 p.m. I went outside looking west and noticed a large batwinged aircraft approaching from the north heading due
11/19/19 19:24,White Lake,SD,Circle,10 seconds,"We spotted 2-3 warm white lights in the air south of our location. ((NUFORC Note: ""Starlink"" satellites? PD))"
10/16/19 17:00,Hot Springs,SD,Triangle,7 seconds,I was entering Wind Cave National Park from the south end when I got out of my vehicle to get some fresh air from my long drive. I loo
10/16/19 06:30,Brandon,SD,Fireball,2 min,Fireball seen above Brandon sd
9/21/19 21:00,Mankato,SD,Cylinder,2 minutes,9pm saw shiny formation moved effortlessly no lights quiet then flew out of sight.
7/26/19 02:00,St. Francis,SD,Disk,12:00 to 3:00,Like a small lights lining up and blinking oddly and then after that a triangle shape flew across spring creek sky and kept blinks odd
6/15/19 23:30,Hayti (outside of),SD,Cigar,now,Multiple red and blue blinking lights at various altitudes Hamlin Co. SD.
5/25/19 23:26,Sisseton,SD,Light,15 seconds,Line of 30 lights in a line. ((NUFORC Note: Satellites. PD))
5/24/19 00:05,Mitchell,SD,Formation,1 minute,30 white orbs. ((NUFORC Note: Satellites from Falcon 9. PD))
5/14/19 22:00,Belle Fourche,SD,Light,10 seconds,2 lights appear one over the other both ascend slowly disappear. Saw same last 3 nights. ((anonymous report))
5/14/19 20:00,Brandon,SD,Circle,90 minutes,An unusually bright light in the sky NW 20 degrees. ((anonymous report))
5/14/19 20:00,Brandon,SD,Circle,60,The setting sun was reflecting off of it brightly. ((anonymous report))
