date_time,city,state,shape,duration,summary
5/5/21 22:35,Cleveland,TN,Light,10 minutes,30+ lights in a line.
4/30/21 20:45,Jellico,TN,Other,15 seconds,I was out flying a drone in the field and heard this rumbling but not very loud but started feeling the rumbling more than heard looked
4/17/21 08:00,Church Hill,TN,Changing,All morning,Maybe it's not maybe its light and clouds or there is an explanation.
4/14/21 04:05,Shelbyville,TN,Triangle,Minutes,On April 14thIowa's up late as usualwell I looked at the clock and saw how late it was;thereforeI decided to smoke one more cigarett
4/2/21 21:00,Nashville,TN,,10 seconds,Moving object vanishes as airplane approaches
3/31/21 05:50,Alcoa,TN,Triangle,8 seconds,Small black triangle with three solid white lights passed low over my car.
3/29/21 05:16,Eads,TN,,,MADAR Node 32
3/14/21 05:00,Roan Mountain,TN,Fireball,25 seconds,This was a white fireball with large conical plume of white smoke and charged particles ((Falcon 9 launch.))
2/14/21 10:12,Clarksville,TN,,,MADAR Node 138
2/5/21 10:18,Cleveland,TN,Circle,1 second,Blue Orb accidentally caught on camera darting through clouds SE Tennessee
1/29/21 05:22,Eads,TN,,,MADAR Node 32
1/22/21 21:00,Johnson City,TN,Sphere,2-5minutes,Spotted a red sphere that appeared to be flying a little lower than typical passenger plane altitude. It looked like a bright red star.
1/4/21 04:20,Mooresburg,TN,Changing,5-10minutes,Unknown pulsing object
1/3/21 19:30,Lakeland,TN,Sphere,10 min,4 orange orbs flying horizontally in the sky
12/19/20 09:50,Eads,TN,,,MADAR Node 32
12/17/20 16:46,Jackson,TN,Fireball,10 minutes,Orange fireball slowly moved across the sky at sunset
12/4/20 18:00,Nashville,TN,Light,5 minutes,As I was leaving work tonight I saw an odd light in the sky above my office. At first I thought it wasa shoot light or maybe a plane. I
11/30/20 08:30,Pigeon Forge,TN,Triangle,5 minutes,pigeon Forge light spotting and Sky UFO
11/27/20 00:50,Eads,TN,,,MADAR Node 32
11/21/20 07:00,Harrogate,TN,Cylinder,3.5 min,Metallic cylindrical ufo seen over Harrogate TN flying toward VA.
11/16/20 17:30,Cleveland,TN,Circle,5 minutes,Round craft or ball of light
11/12/20 19:00,Decherd,TN,Cigar,7 minutes,My kids alerted me to 4 lights blinking in rhythm it was dark but far off but still huge. It was silent no noise at all and just blinke
11/12/20 18:20,Knoxville,TN,Other,8-10 minutes,I saw eight independent irregular-moving glowing objects cross the night sky.
11/10/20 21:00,Hendersonville,TN,Disk,1 hour,Me and a buddy of mine were walking to his place around 8:45PM.the neighborhood we were in was well lit so you could see in the sky wel
11/1/20 01:03,Jefferson City,TN,Circle,,"Circle of Fog around the moon continually centered. ((NUFORC Note: ""Moon dog??"""
10/24/20 17:35,Clarksville,TN,,,MADAR Node 138
10/21/20 16:00,Sparta,TN,Unknown,5 hours,At first it looks like a star but once you look more closely you can tell it is at about airplane level when I recorded it and enlarged
10/17/20 20:00,Cleveland,TN,Light,15 seconds,Object went overhead at amazing speed. Was the size of a night star and was out of sight in a matter of seconds. Definitely not a mete
10/14/20 18:47,Elizabethton,TN,Fireball,10 minutes,Appeared to be fireballs with a dissipating trail falling toward earth at dusk. Two in number. October 14 2020 6:47 PM Elizabethton
10/13/20 20:30,Knoxville,TN,Triangle,10 seconds,Boomerang-Shaped UFO glides silent and dark over Knoxville
