date_time,city,state,shape,duration,summary
5/5/21 21:42,Salt Lake city,UT,Changing,~8-10 minutes each,3 separate fleets of light in the sky in 1 night.
5/5/21 10:05,Park City,UT,Formation,3 minutes,We witnessed a straight line of approximately 25 white lights (no flashing) traveling at a uniform speed and perfectly spaced. They a
4/29/21 22:00,Aragonite,UT,Disk,10 seconds,Black disc with blue dotted flashing lights hovering near our car on interstate 80
4/18/21 22:05,Spanish Valley,UT,Light,5 minutes,Blue flickering light small quick movements over Spanish Valley UT
4/18/21 20:00,Riverdale,UT,Formation,1 hour,My husband and I were UFO hunting from our yard on the nights of April 17 and 18 we were using 15x70 Celestron binoculars. On the nig
4/11/21 22:01,Monticello,UT,Formation,5 seconds,Odd shimmering lights over Midwest
4/5/21 00:30,Magna,UT,Disk,3 minutes,Disk Gray Metallic color.
4/1/21 22:00,Salt Lake City,UT,Circle,45 minutes,Unusually bright object in West sky.Stationary it appeared to have some type of light occasionally coming from top. Also had red blu
3/18/21 05:02,Plymouth,UT,Other,3 minutes,String of 30+ perfect lights and the bright lights breaking into triangles there and gone. ((Starlink satellites??))
3/17/21 20:50,Lehi,UT,Light,5 minutes,Bright white light that turned to red and vanished.
3/16/21 15:14,Bountiful,UT,Oval,20 seconds,Oval object flying close to the mountains
3/4/21 20:18,Sandy,UT,Unknown,2 minutes,Solid light same brightness as stars high in atmosphere or space moving north to south across Utah.
3/2/21 00:00,Provo,UT,Oval,20 seconds,I saw a bright large circular object flying over Provo Mountains in Provo Utah with lights running down the middle of the object.
2/3/21 20:20,Vernal,UT,Circle,1.5 minutes,Giant bright red light in sky as well as other lights that we say phase out
1/18/21 06:10,Nephi,UT,Sphere,1 minute,Bright green orb seen in my back yard
1/13/21 07:30,Salt Lake City,UT,Light,2 minutes,I was heading west on 4500 South 2300 East at approximately 7:30 a.m. noticed an object hovering in the sky to the west I assumed was
12/27/20 21:57,Vernal/Naples,UT,Fireball,5 minutes,we are looking west as we walk out toward the trucks from house as seen at the bottom of screen . It was coming at us going East then
12/25/20 20:00,Salt Lake City,UT,Fireball,10 minutes,Multiple glowing orange lights flying around in the dark evening sky for several minutes
12/4/20 19:15,Deweyville,UT,,5min,
12/4/20 19:15,Deweyville,UT,Circle,5min,Straight angled line of lights in the sky
11/30/20 22:05,Salt Lake City,UT,Changing,30 minutes,Last night I saw an orange star in the sky above downtown slc. Then I noticed it had lightning type spider legs come outand almost sh
