date_time,city,state,shape,duration,summary
5/17/21 00:00,Rutland,VT,Light,3 Min,String of Lights In The Sky
4/10/21 21:00,Fairfax,VT,Flash,minutes,Five red flashing lights in the sky in a configuration over NW Vermont.
2/6/21 17:30,Thetford/Bradford (between),VT,Triangle,moment,I was driving south on I-91 and noticed a light in front of me ahead. It was dark so I thought maybe it was for construction but as I g
1/22/21 06:55,Burlington,VT,Light,10 Minutes,Bright light hovering over the lake changed colors between blueish white and yellowish orange. Hovered over lake and didnt change alti
1/2/21 18:20,Clarendon,VT,Other,10 Seconds,Tetris-like Football Goal
12/11/20 18:09,Burlington,VT,Egg,2min,Bright light shot up into the sky very fast and then came to a complete stop and lingered.
12/1/20 06:00,Hyde Park,VT,Diamond,30 sec,I saw a very bright light in the sky and then it disappeared.
11/19/20 17:00,Arlington,VT,Light,3 seconds,Bright light dropping vertically from sky then disappearing.
11/17/20 03:00,Colchester,VT,Light,1 hour,White orb of light hovering and moving
11/5/20 19:00,Rutland,VT,Light,5 minutes,Pulled out of parking lot onto street & and saw 3 green lights in the sky ahead of me while driving. It caught my eye because it was un
10/24/20 19:28,Bennington,VT,Cigar,5 minutes,Cigar shape UFO over South Vermont.
10/13/20,S. Burlington,VT,Unknown,0.5 second,the fast flying object you have ever seen.
9/30/20 21:45,Rutland,VT,Disk,3-4 seconds,Glowing oreo cookie shaped disc like object witnessed moving quickly and silently across the night sky.
9/18/20 23:30,Middlesex,VT,Circle,Seconds,On interstate 89 there were 3 lights that just appeared then dashed off upward and then gone
8/30/20 01:30,Island Pond,VT,Sphere,20 minutes,Bright round light moved in and out of focus turn side to side. Once it was closest it hovered in one place. After about 10 minutes of
8/15/20 21:45,Burlington,VT,Light,45 seconds,"Unblinking solid white Light traveling south to north moving slowly. I was just stargazing and the light began to move.

As it move"
8/15/20 21:37,Fletcher Binghamville,VT,Fireball,4 minutes,Fletcher Binghamville Vermont orange fireball
8/13/20 21:45,Middlebury,VT,Circle,1 minute,Saw what we thought was intl space station until it changed direction 45 degrees .....
8/5/20 21:20,Woodstock,VT,Rectangle,1 minute,Enormous long low flying ship flying Westbound over Woodstock Vermont.
7/26/20 23:00,Arlington,VT,Light,3 seconds,Large ball of bright light flying low across the sky
7/4/20 23:17,Burlington,VT,Formation,30 minutes,It was at 11:17pm when my wife and went for a ride and we were traveling south on I89. We seen three really bright lights brighter than
6/23/20 22:30,Putney,VT,Fireball,1 minute after being no,Red light near eastern horizon. Not blinking possibly rising disappears after a minute of observation.
5/23/20 23:10,Bridgewater Corners,VT,Sphere,>10 minutes,Bright spherical 2x brighter than a bright star assuming erratic movements heading south.
5/6/20 21:00,Thetford,VT,Light,1 minute,It was seen twice throughout the day once at dusk and once after dark around 9 pm. The dusk sighting looked like a bright light that m
5/3/20 21:15,Brookfield,VT,Oval,3 minutes,Oval UFO seeing flickering lights standing still and moving in farmland Vermont sky.
4/25/20 20:30,Williston,VT,Unknown,1 minute,3 lights traveling silently across the sky - multiple witnesses. ((Starlink satellites?))
4/4/20 23:30,Colchester,VT,Light,3 minutes,Observed a bright object traveling slowly from North to South in the night sky.
4/2/20 20:00,Northfield,VT,Cross,30,Multiple cross shaped lights zig zagging in sky
3/27/20 20:30,Island Pond,VT,Light,15 minutes,15-20 mildly bright lights all flying in a line. ((Starlink satellites))
3/23/20 07:30,Thetford,VT,Disk,,a circular disc traveling over the road slowly in front of me. traveling at a joggers pace about 20-30 ft. off the ground
3/18/20 05:30,Bridgewater,VT,Other,30 minutes,Extremely bright large crescent-shaped object hovered in southeast sky for 30 minutes before sunrise. ((NUFORC Note: Mars?? PD))
3/9/20 10:47,Jericho,VT,Circle,5 minutes,My girlfriend and I saw a ball of bright light making some impossible maneuvers for at least 5 minlooked away for 1 sec and it’s gone.
3/5/20 14:00,South Reading,VT,Rectangle,3 minutes,Square/rectangular black and white craft no sound.
3/5/20 05:00,Orwell,VT,Circle,20 minutes,A trail of 40 or more lights moving to the east. ((Spacelink satellites))
3/1/20 22:30,Burlington,VT,Triangle,10 seconds,"I noticed several small white lights all in equal luminosity. ((""Starlink satellites??))"
2/23/20 05:25,Newport,VT,Circle,25 minutes,"My self and a couple friends after work at 5:25am on 2/23/20 seen over a hundred white dots moving. (""Starlink"" satellites??))"
2/23/20 05:00,Williston,VT,Formation,30 minutes,Precise straight line procession due East in predawn sky totalling hundreds of varying brightness star-like objects
2/21/20 05:25,Jay,VT,Formation,20 minutes,"A long band formation spotted over Jay Peak Resort. ((""Starlink"" satellites??))"
2/4/20 12:47,Cabot,VT,Triangle,5 seconds,Driving and saw red lights above the trees. Then theyy floated off towards Danville and disappeared
1/17/20 19:04,Alburgh,VT,Formation,2 minutes,"I saw a string of double lights more than 50 moving upward through the sky. ((""Starlink"" satellites??))"
12/28/19 19:00,Townshend,VT,Light,30 minutes+,Three white lights moving in a non-linear fashion traveled from high to low altitude extremely fast.
12/21/19 00:21,Burlington,VT,Light,2 seconds,very bright light similar to a shooting star but bigger and under the cloud cover. Shot toward northeast. Disappeared beyond building
9/12/19 22:30,North Springfield,VT,Formation,30 minutes,Saw multiple formation of lights in the southern sky. Looked as though lights were all joining together in four different parts of the
8/25/19 21:00,East Dummerston,VT,Light,6 seconds,A very bright orange light caught my attention. I looked; it was larger than any star (5x) moving slowly. I couldn’t tell what it was.
8/4/19 04:10,Duxbury,VT,Circle,3 minutes,There was a flashing light which was changing colors zooming through the sky.
8/2/19 23:00,Lyndonville,VT,Light,,Two strange lights in the sky.
7/27/19 22:40,Bridgewater,VT,Circle,1:30,Color changing orb moving very slow and changing course and then suddenly disappears. ((anonymous report))
7/13/19 21:00,Arlington,VT,Light,10minutes,Bright whitestar- likemoving and stopping over Southwestern Vermontchanging course easily
7/4/19 21:30,Williston,VT,Light,30 minutes,Neon blueish flashing light moving around sky.
7/1/19 09:50,Derby (near),VT,Fireball,10 minutes,An orange ball followed me in a rural area of Northern Vermont
6/11/19 23:00,Center Rutland,VT,Disk,75 seconds,Thick disk with yellow - orange lights seen hovering in sky looking toward eastern VT. ((anonymous report))
5/27/19 23:00,Colchester,VT,Teardrop,5 minutes,Facing east there were two objects bright as a distant star the same light given off as a satellite. One was stationary at the 12 o’c
5/27/19 22:15,Burlington,VT,Light,5 minutes,Three groups of istant successive fast moving lights in formation traveling from E to W. ((NUFORC Note: Space Link satellites. PD))
5/26/19 23:15,Cavendish,VT,Light,3-5 minutes,Object with 3 lights seen crossing the sky.
5/24/19 23:45,Topsham,VT,Other,5 minutes,White string of lights. 50ish individual balls of light moving in a straight line. ((NUFORC Note: Space Link satellites. PD))
5/24/19 23:30,Orwell,VT,Cylinder,1 minute,A long string of lights moving slowly like a cylinder with lighted windows. ((NUFORC Note: SpaceLink satellites. PD))
5/24/19 21:00,Saxtons River,VT,Other,90 seconds,Multiple linked objects. ((NUFORC Note: ~60 Space Link satellites. PD)) ((anonymous source))
5/24/19 01:00,Groton,VT,Light,90 seconds,We looked up to see what appear to be approximately 15 lights in a perfect line heading Northeast. ((NUFORC Note: Satellites. PD))
5/7/19 03:25,Walden,VT,Triangle,15 minutes,Triangular Craft over Vermont. ((anonymous report))
5/3/19 23:00,Grand Isle,VT,Light,15-20 minutes,2 fast-flickering red and white objects/lights transiting in a non-linear way from west to east.
3/23/19 20:45,Braintree,VT,Light,10 minutes,Single point of light covering 1/5th of clear sky south to north then reversing retracing path with side flashes.
2/20/19 00:30,Stowe,VT,Triangle,20 minutes,Triangular green and red flashing lights seem over Mt. Mansfield.
12/19/18 07:35,Graniteville,VT,Rectangle,20 seconds,We were riding in our car and I saw a what looked like two stars. But tonight it was cloudy and there were no stars visible. The lights
11/8/18 01:00,Townshend,VT,Fireball,1 minute,We were driving on RT 30 when an oblong shaped object that looked like it was glowing hot fell from the sky to the ground in a zig zag.
10/20/18 23:23,Williamstown,VT,Sphere,1 second,Blue sphere was flying acrossed sky very low to ground.
10/4/18 20:15,Assumpsic,VT,Triangle,20 minutes,triangle shaped object with numerous rotaing flashing colored lights hovering for about 20 min in passumpsic vt 4 9 2018 at 815 pm
9/22/18 18:15,Westfield,VT,Circle,4 minutes,Westfield Vermont facing 210 degrees sw. 3 red/orange circle shaped lights in triangle formation followed by 5 more in a diamond shape.
9/18/18 20:20,Milton,VT,Formation,2 minutes,Four big bright orange lights connected with not as bright lines running between them like a constellation to form a diamond.
9/1/18 18:20,Townshend,VT,Oval,3 minutes,Disc shaped object with brilliant circulating white lights. No sound object headed SE. altitude seemed much lower than a plane.
8/20/18 23:32,Vergennes,VT,Light,45-50 minutes,Two supposed spacecrafts with one big light and 2-3 small lights flying and shooting up.
8/18/18 22:45,Vermont (45 minutes from Quebec border),VT,Circle,3 minutes,“Ghost Rider” Headlight AGAIN!!!
8/18/18 05:28,Hewitt,VT,Cigar,1.5 minutes,White Cigar Shaped UFO Caught on Wildlife Camera
8/14/18 07:30,Shelburne,VT,Egg,2 minutes,There was a bright egg shape object in the sky we were looking at it for 2 minutes and then it disappeared I believe it was in the fall
8/11/18 23:00,Newbury,VT,Triangle,10 minutes,Yellowish Glowing Triangle Floating High Above Road.
