date_time,city,state,shape,duration,summary
5/8/21 21:36,Ashburn,VA,Circle,1 minute,6-8 lights moving in circular pattern from west to south along the sky
5/8/21 21:30,Aldie,VA,Formation,1:30,Dozens of lights moving in single-filed formation flying east
5/1/21 18:00,Fredericksburg,VA,Circle,5 minutes,Large group of small circular objects
4/23/21 06:00,Mechanicsville,VA,Circle,Seconds,Ball in the sky ((NUFORC Note: Rocket launch from Cape Canaveral. PD))
3/22/21 16:41,Lyndhurst,VA,Oval,5 seconds,Mt. Torrey road near Chinquapin Dr highly reflective oval shape spotted above tree line was almost stationary before dipping down quick
3/22/21 09:45,Coeburn,VA,Oval,30 seconds,It wasn’t a shooting star or plane I know what I saw
3/17/21 08:00,Fredericksburg,VA,Light,30 seconds,Orange lights interacting with each other
3/10/21 07:00,Lynchburg,VA,Cylinder,~2 minutes,I leave for work at 7am and was excited to be able to see the passing International Space Station scheduled for that morning at 7am com
3/8/21 00:35,Richmond to Norfolk,VA,Light,2-3 minutes,Commercial airliner pilots sighted two white lights at altitude. ((NUFORC Note: Report from airline pilot. PD))
2/25/21 06:15,Richmond,VA,Changing,Seconds,Indeterminable Orb In Early Morning Sky Richmond VA
2/13/21 12:10,SPRINGFIELD,VA,Circle,15,ufo next to the north star
2/9/21 18:31,Norfolk,VA,Cylinder,10 minutes,White cylindrical object with trailing haze bigger than our plane pilots don’t know what it is.
1/30/21 23:30,Richmond,VA,Unknown,10,weird sounding and yellowish glow
1/30/21 11:30,Henrico,VA,Cigar,30 minutes,Eyewitness lights in the sky that hovered far above a house through my woods I have seen similar events on different days. This one did
1/28/21 17:10,Suffolk,VA,Formation,30-45 seconds,2 Rows of 4-5 vertical white solid lights moving slowly together in the evening sky just over the tree lines. ((Starlink satellites??
1/28/21 13:00,Fort Eustis,VA,Disk,still in place,US military built flying saucer's
1/17/21 21:00,Waynesboro,VA,Circle,3 seconds,We were driving down Interstate 64 West when I looked up and saw a bright white circle or ball shoot across the Interstate it was maybe
1/16/21 20:30,Orange,VA,Circle,5 minutes,Looked like the full moon but was not.
12/29/20 22:00,Spotsylvania,VA,Flash,Every night for weeks,My name is ((deleted)) and for the last couple of weeks me and my wife and grandkids have been watching this flashing light in the ski.
12/26/20 06:15,Chesapeake,VA,Unknown,5 minutes,Very bright blinking white object in early morning western sky on 12/26/2020
12/12/20 03:00,rt66,VA,Disk,about 1 minute,Cannot come up with another excuse for what I saw.
12/11/20 11:30,Summerville,VA,Diamond,5 minutes,((HOAX??)) A bright light appeared  three colored lights in back. It zigzagged  dropped to the ground behind hill.
12/9/20,Gloucester,VA,Triangle,Five minutes,My sister called five minutes ago and told me to go outside and look up to see a triangluar vechicle moving through the sky with red an
12/2/20 23:00,Richmond,VA,Light,5 minutes,Strange flashing lights hovering and the sound of whales singing from all around me in the sky
11/26/20 20:00,Fredericksburg,VA,Light,30mims,I was out in my back yard walking the dog around 8:00pm. The moon is bright and it's a clear night I can see the stars every well. I'm
11/17/20 19:01,Virginia Beach,VA,Circle,A few minutes,Glowing sphere silently climbs to great height at a constant speed and in a straight line
11/16/20 13:00,North Chesterfield,VA,Light,45 seconds,While standing on my porch a helicopter flew over my house and I didn’t pay attention to it until it came to a stop. It was hovering i
11/16/20 00:01,Ashburn,VA,Cylinder,5 min,Disc like craft with 3 lights and blinked hovers and lands on street 200 yards behind house by soccer field
11/14/20 06:40,ASHBURN,VA,Light,5 minutes,There were bright orange lights side by side moving very slowly. Sometimes there was one lone light. One bright light followed with ano
11/13/20 17:50,Burke,VA,Light,2 minutes,2 lights following each other at high speed. No blinking lights and no engine noise. They kept the same distance apart and went across
11/13/20 17:45,Portsmouth,VA,Light,10 minutes,Seen a light in western sky traveling east as it got closer it was 2 dots i took pictures
11/13/20 06:03,Virginia beach,VA,Light,10 minutes,I was at my local basketball courts with some friends and we saw lights moving in the sky in ways that didn’t seem normal. There was an
11/7/20 05:28,Arlington,VA,Light,20 minutes,White ball-shaped light heading East along the Potomac River toward Washington DC (not a plane or helicopter)
11/2/20 21:00,Warrenton,VA,Other,2 minutes,Brightly illuminated large object above Warrenton Va.
11/2/20 20:40,Rural Retreat,VA,Unknown,Still going on,Star like lights stationary but occasional red light flashing from them on the East sides of the lights.
10/21/20 14:00,Virginia Beach,VA,Cigar,45 seconds,2 Navy Jets being followed by what???
10/18/20 03:00,Broadway,VA,Disk,1 hour,Bright lights white and red and green. Maybe 6 lights at bottom of disc. Very clear night. High in the southwest sky above the moun
10/17/20 19:15,Fredericksburg,VA,Triangle,2 minutes,I was driving on I-95 with my mother in the passenger seat. I saw bright lights in the sky sort of low. Lower than a plane but higher
10/7/20 20:00,Gordonsville,VA,Oval,30 seconds,A oval shaped object flew by close to the ground without making noise.
10/7/20 06:15,Charlottesville,VA,Circle,1 minute,Driving to work on I-64 I saw two really bright stars in my peripheral vision. They didn’t catch my attention.... until one moved extr
9/28/20 21:00,Richmond,VA,Changing,5-10 seconds,This tight shape fanned out into 6 to 7 individual dimly lit red lights in a downward V-shaped formation traveling horizontally.
9/23/20 23:51,Virginia Beach,VA,Fireball,5 minutes,They were fast red orbs that gravitated to a pulsating light of of the water of the ocean.
9/23/20 20:40,Alexandria,VA,Triangle,6 minutes,Black Triangle UFO spotted at night over Woodrow Wilson bridge following I-95 torwards Alexandria VA.
9/21/20 13:00,Linden,VA,Other,1 hour,witnessed countless orbs and an actual flying saucer simply amazing.
9/20/20 20:50,Virginia Beach,VA,Circle,10 minutes,Orange glow in the sky
9/16/20 21:00,Charlottesville,VA,Sphere,4 minutes,Red Sphere moving in the sky
9/15/20 19:35,Alexandria,VA,Changing,9 minutes,I'm not crazy but we saw something that we couldn't identify.
9/14/20 21:15,Virginia Beach,VA,,30 seconds,((NUFORC Note: Source of report provides no detailed information about the sighting. PD))
9/13/20 20:44,Virginia Beach,VA,Rectangle,60 seconds,strange extraterrestrial like object turns red flames off when realizing that they’re exposed and then disappears
9/4/20 03:20,York County,VA,Other,1-2 seconds,I was heading back from a friends house coming back in to york county from Newport News and I was pulling up to the first stop intersec
9/2/20 01:00,Newport News,VA,Changing,40 minutes,A bright moonlit night with no stars to see except one that was in our atmosphere moving slowly and I knew it was special.
8/22/20 21:59,Manassas,VA,Light,5 minutes,Slow pulsating orange light coming from the south and disappearing after approx. 30 seconds.
8/18/20 17:45,Bristow,VA,Light,1 minute,Stationary row of lights in the sky in daylight
8/16/20 22:00,Alexandria,VA,Disk,1 minute,Round disc flying above 100 yards and approximately 25 mph with a green flashing light.
8/14/20 00:20,Virginia Beach,VA,Unknown,5 minutes,Pink brown floating jellyfish over Virginia beach
8/9/20 21:45,Woodbridge,VA,Light,4 minutes,A total of 10 orange bright lights move across the sky. No sound 2 at first then 4 then 2 more 2 more. Their was no surface wind. They
8/4/20 11:00,Norfolk,VA,Other,1 hour,August 4 2020 mid day seen best with binoculars a stationary angular object reflecting the sun's light.
8/3/20 16:00,Stafford,VA,Other,20 seconds,Fast moving objects over Stafford Virginia 4PM 08/03/2020 during a storm cloud video
8/2/20 21:30,Woodbridge,VA,Formation,8-10 minutes,14-24 CRAFT WITH WHITE/ORANGE LIGHTS IN FORMATION FOLLOWING EACH OTHER
7/26/20 00:00,,VA,Diamond,25 seconds,Sleeping outside with the kids around midnight watching the stars. We saw a shimmering object that flew across the whole horizon in sec
7/24/20 21:50,Broadway,VA,Light,10 seconds,I was sitting on my neighbor's back porch eating pizza and chitchatting. I noticed my neighbor was watching something in the sky for a
7/22/20 04:15,Suffolk,VA,Sphere,15 minutes,Early morning and clear night sky this was an absolute object with brilliant light that moving in many erratic directions and
7/19/20 22:45,Vienna,VA,Light,25 minutes,Light at very high altitude began moving erratically for several minutes.
7/19/20 06:30,Huddleston,VA,Oval,~3 hours,"Close to Smith Mountain lake. Observed numerous orbs and one ""tic tac"" shaped craft. Craft where white/silver in color."
7/18/20 08:30,Portsmouth,VA,Unknown,7 minutes,White object hoovering with a deliberate path
7/16/20 21:15,Buckingham,VA,Light,45 seconds,Large bright light moving slowly across the sky at low altitude
7/15/20 04:19,Virginia Beach,VA,Other,02:00,2 people and dog present saw multiple planetary bodies moving and behaving extremely erratically.
7/14/20 10:15,Aylett,VA,Flash,,Sitting on my front porch and looked up thought it was a plane but it kept flashing super bright every minute or so across the sky in
7/13/20 23:00,Radford,VA,Light,2 minutes,High-altitude fast wiggling white light.
7/13/20 01:15,Roanoke,VA,Light,A few seconds,I went outside my apartment for a walk. I like to sit and swing at the communal playground and look at the stars while smoking. There w
7/12/20 10:26,Chesapeake,VA,Light,30 seconds,Floating Light Vanishes Above Greenbrier Chesapeake VA
7/8/20 23:00,Portsmouth and Virginia Beach,VA,Chevron,30 minutes,Bright white and blue object next to the moon. I was traveling home when I saw it in Portsmouth Va about 20 minutes from my home in Vir
7/8/20 22:00,Williamsburg,VA,Light,1 minute,White ball of light with blinking green light in front of it. Moving at a steady pace at a couple hundred feet up.
7/7/20 22:25,Dale City,VA,Light,45 minutes,Huge lightning on the sky but that spreads over the sky like waves and the light in each wave last for at least 7 seconds then lighted
7/6/20 22:30,Upperville,VA,Light,30 minutes,Persistent lightning like explosions with no sound
