date_time,city,state,shape,duration,summary
5/16/21 23:10,Richland,WA,Circle,.5 hour,3 events of multiple UFO’ a with 1/2 hour span
5/16/21 23:00,Bellingham,WA,Light,20 min,numerous pinpricks of light following each other evenly spaced
5/15/21 22:45,randle,WA,Disk,4 minutes,Two friends and i witnessed several bright balls of light in the sky heading northeast at 10:30 pm then at 1045 we observed a very larg
5/15/21 22:37,Concrete,WA,Other,4 minutes,Linear white lights on object slowly floating in sky..like nothing I have ever seen before. Inexplicable.
5/15/21 22:36,Longview,WA,Cylinder,5 minutes,Object that looked like a string of pearls in the sky.
5/15/21 22:35,Carson,WA,Rectangle,5 minutes,A large horizontal bar of light moved slowly across the night sky eventually lifting its back end to 45 degrees and maintaining course
5/15/21 22:35,Vancouver,WA,Cigar,1-3 minutes,Oblong white light travelling west to east slowly in northern sky's of Vancouver Washington
5/15/21 22:30,Conconully,WA,Cylinder,4 Min,On a camping trip and after my wife went to bed I was standing at the campfire looking up at all of the stars. I saw a long patch of w
5/15/21 22:30,Ferndale,WA,Cylinder,four min,saw a green segmented object slowly traveling thru the sky
5/13/21 21:00,Marysville,WA,Changing,3 hours,Immense colorful shapeshifting Orb illuminating hovering in the sky.
5/4/21 21:30,Stanwood,WA,Other,3 minutes,White unblinking lights in long line straight formation no sound slow steady speed in straight line moving west to east
5/4/21 21:25,Spanaway,WA,Light,20 seconds,A large craft with numerous lights forming a line moving silently towards Mt. Rainier (east)
5/4/21 21:25,Vancouver,WA,Cylinder,2 minutes,At about 9:25 PM over West Vancouver I observed what appeared to be a long tube or cylindrical shaped object flying at an angle toward
5/4/21 21:24,Muklteo,WA,Other,2 minutes,On 5/24/21 just after dusk with last light on a cloudless Western sky I was taking my dog on our nightly walk around my neighborhood
5/4/21 21:00,Everett,WA,Formation,30 seconds,Multiple lights that contracted then retracted into one then disappeared. ((Starrlink satellites??))
5/3/21 13:00,Auburn,WA,Oval,2 seconds,Drone footage of impossible fast moving object.
5/3/21 13:00,Auburn,WA,Oval,Two seconds,Drone footage of impossible fast moving object.
5/2/21 06:30,Seattle,WA,Circle,15 minutes,Circle objest hovering in the clouds above flight path.
4/27/21 20:15,Everett,WA,Light,15 minutes,Triangle formation of twinkling lights
4/26/21 17:44,Edmonds,WA,,,MADAR Node 61
4/23/21 03:07,Mountlake Terrace,WA,,,MADAR Node 100
4/22/21 03:35,Lacey,WA,,,MADAR Node 50
4/22/21 03:35,Lacey,WA,,,MADAR Node 50
4/22/21 03:35,Lacey,WA,,,MADAR Node 50
4/20/21 23:43,Brier,WA,Oval,15 minutes,Oval shaped grey hovering no sound fast ship.
4/20/21 04:52,Mountlake Terrace,WA,,,MADAR Node 100
4/19/21 20:04,Edmonds,WA,,,MADAR Node 61
4/16/21 21:50,Kent,WA,Circle,3-5 seconds,I was driving north on the Kent Black Diamond Rd. I had passed Jenkins Creek and there was farmland to my left. All of a sudden at arou
4/16/21 16:00,Longview,WA,Oval,4 minutes,Flat oval shaped object in the sky that suddenly disappeared.
4/15/21 22:16,Shoreline,WA,Formation,2-4 seconds,Dark colored formation of objects traveling from the south to north just north of Seattle. (APR 15 21:10:16PM)((Starlink satellites??))
4/13/21 14:00,Bellevue,WA,Triangle,5 minutes,Pulsating triangle object moving across a blue sky matching People video:https://people.com/human-interest/pentagon-confirms-that-shock
