date_time,city,state,shape,duration,summary
5/8/21 21:30,Lewisburg,WV,Formation,20 minutes,string of lights roughly in line numbering more than 50 heading from roughly west then turning to the south
5/8/21 21:25,Bluefield,WV,Rectangle,1 minutes,I saw a row of 5 lights round each one the same size appear in the sky and slowly 1 by 1 faded away at the same point in the sky.
4/30/21 00:00,Oak Hill,WV,Circle,10 minutes,A little after midnight at a resort in WV. Was outside in a hot tub relaxing. Had 3 beers 1 had a drink koozie around it the one I was
1/29/21 18:00,Williamstown,WV,Oval,1 minute,Two orange orb lights with no sound
1/27/21 15:20,montcalm,WV,Sphere,10 minutes,spherical objects with lights moving in a calculated way
1/15/21 19:00,Charleston,WV,Cigar,15 minutes,Myself abd a friend were just cleaning up our tools and material after fishing up working on my roof when we both noticed this HUGE cig
12/10/20 03:20,McConnell,WV,Disk,3 seconds,Seen from old rt 10 on 3 mile curve. One disc like structure at high speed was witnessed to drop straight down behind tree line locate
11/26/20 01:34,Webster Springs,WV,Disk,15 minutes,Unexplained craft rising from the side of the mountain.
11/8/20 14:00,Huntington,WV,Changing,2 minutes,2 round objects in the sky.
11/5/20 11:03,Montrose,WV,Other,Ongoing,For well over a month now I have been seeing these orange or bright LED orbs where I live. My neighbor up the road has seen and managed
10/17/20 23:00,Mount Hope,WV,Light,2 minutes,Object at Low Altitude Zigzagging
10/8/20 12:00,Davy,WV,,1 hour,Intergalactic ufo have a truly wide range of shape patterns lights size n distance never discount a shaky looking star of a
10/8/20 01:00,Charleston,WV,Light,2 seconds,Around 1am driving around kanawha city my girlfriend and I saw a white light with a green hue around it streaking down toward the groun
9/24/20 22:15,Weston,WV,Fireball,1 minute,Fireball like object seen in sky from Weston WV.
9/20/20 23:40,Valley grove,WV,Other,30 seconds,UFO mother ship stalking me and one of its smaller ships coming close
9/5/20 21:20,Fayetteville,WV,Sphere,10 minutes,Crafts with Falling sparks
9/4/20 13:00,Mannington,WV,Light,1 minutes,Light travels fast then stops
9/4/20 01:00,Williamstown,WV,Teardrop,Seconds,Looked up and caught a glimpse of a light moving faster than any plane I’ve ever seen. 2?? 3?? Times as fast. Covered the horizon dista
8/30/20 22:30,Curtin,WV,Light,>30 minutes,My husband and I were leaving from a storage shed that out friend is renting and we are storing some items in. As I was backing out int
8/16/20 20:30,REEDY,WV,Other,10 minutes,Friend called me ask me to go outside and look for a craft that was just hovering in the air it was there almost 10 minutes and never m
8/10/20 23:30,Bunker Hill,WV,Triangle,3-5 minutes,witnessed a bright craft that appeared to be orange or amber in color. At first I thought it was a light or a star but it started dart
8/2/20 21:45,Berkeley Springs,WV,Triangle,1.5-2.5 minutes,There were two objects. A triangle shaped on heading east and dot of light heading west. When they heard each other the dot made a 90 d
7/29/20 02:45,Charlestown/ Harpers Ferry,WV,Changing,60 minutes,Unknown lights over Jefferson county wv
7/21/20 04:36,Martinsburg,WV,Oval,4 seconds,6 lights flying in formation while one avoided and object
7/19/20 22:00,Hico,WV,Triangle,1 minute,Triangle of lights
7/19/20 20:00,Fairdale,WV,Egg,3 minutes,I glanced up at the sky and noticed a very shiny silver egg shaped object moving very slowly like it was gliding. There was no sound
7/15/20 23:00,Not sure outside lubeck,WV,Triangle,2-3 minutes,Rapid moving shifting course appearing as triangular with circular white light surrounding it
7/12/20 23:50,Clarksburg,WV,Sphere,1:00,I was just getting off of work so I went to go see my brother when I got to his house I looked up to look at the stars. That’s when I
7/4/20 21:45,Gassaway,WV,Circle,10 seconds,Object was spherical kelly green in color the ball sat in place for approximately 10 seconds and shot off eastward.
7/4/20 21:30,Charleston,WV,Circle,5-10 minutes,We did not see the shape but we saw around 3 neon green lights (1 blinking) in a circular shape then it shot to the right.
7/1/20 19:00,Berkeleysprings,WV,Light,1 hour,It's a regular event anymore from bright blinding white light to the multi color flashing light with two solid light like-wings triang
6/30/20 20:00,Elkins,WV,Triangle,2 minutes,On the last Day of June 2020 there was an orange light hoovering above the pine trees just behind our house as the neighbors let off fi
6/7/20 21:30,Lewisburg,WV,Fireball,1 minute,Blue fireball shaped object descending from the sky.
6/7/20 19:30,Mount Hope,WV,Fireball,1 minute,Fireball Object Descending from Sky
6/2/20 21:00,Poca,WV,Circle,All night,Lights and flashes in the sky with interaction every night since the spring of 2020.
6/2/20 21:00,Poca,WV,Oval,All night all summer,All summerthey flashthey interact also if we flash 4 or 6 they do the same we've seen fireball stle and circle and red orbsand 1 me
5/14/20 22:00,Bunker Hill,WV,Light,,Really bright light in the sky looking like it was crashing to the ground and it was going pretty fast.
4/28/20 21:30,Elkview,WV,Light,30 seconds,5-6 star like objects in a straight line moving across the sky from west to south east. ((Starlink satellites>))
