date_time,city,state,shape,duration,summary
5/6/21 21:30,Fitchburg,WI,Light,2-3 minutes,Dozens of aircraft seen traveling in a line outside Madison Wisconsin. Looked like oriens belt but with 40 stars instead of 3.
5/4/21 21:58,Weston,WI,Formation,50 seconds,Looked like a string of white lights..solid.
5/1/21 20:00,Fond du Lac,WI,Circle,10 seconds,dark circular object comes out of the clouds before disappearing back into them
5/1/21 20:00,Fond du Lac,WI,Circle,7 seconds,black/dark gray circular object comes out of the clouds before disappearing back into them
4/22/21 20:50,Appleton,WI,Triangle,20+ minutes,Metallic triangular shaped object appearing to tumble in the sky.
4/16/21 19:00,Port Washington,WI,Disk,few hours,During the week off April 12 2021- I saw a disk or saucer shape object in the North sky.It did have red and blue flashing lights-which
2/16/21 21:45,Montello,WI,Light,10 Seconds,Always believed but never thought I’d see such strange sky sighting.
2/15/21 05:55,Fall Creek,WI,Other,1 minute,I witnessed a straight line of white lights almost directly above me. They were equally spaced...about 12-15 ((Starlink satellites??))
1/25/21 19:00,Tofte,WI,Changing,7-8 minutes,North Shore Minnesota UFO sighting one orb morphs to three
1/25/21 00:20,Beloit,WI,Triangle,1 min,Bright V-shaped flashing object moved faster than a plane in night sky
1/20/21 20:00,Stevens point,WI,Circle,1 minute,Driving southbound on I-39 in Stevens Point we witnessed 6 circular large glowing lights that seemed relatively close. Two were to the
1/9/21 06:00,Athelstane,WI,Disk,3 minutes,Came out back door & immediately noticed Top hat shaped craft with amber & red lights and moving away from me towards cty c first spot
12/5/20 19:00,Whitewater,WI,Formation,1 minute,Straight linear formation of about 100 solid lights that went out one by one
12/4/20 17:30,Verona,WI,Other,3 min,Straight line of 24 to 30 lights equally spaced moving across the sky.
11/27/20 23:02,Newton,WI,Oval,Seconds,Coming home from work I saw a reddish color orb move from east to west horizon to horizon then seconds later it moved from west to east
11/21/20 04:30,Miladore,WI,Cigar,2 minutes,Bright light hovering in sky behind a dark long object. Object took off so fast it disappeared within 10 inches of sky.
11/20/20 22:00,KENOSHA,WI,Sphere,30seconds,Super bright round object smooth rapid turn then gone.
11/20/20 05:00,Fremont,WI,Light,3 minutes,Three bright lights traveling fast
11/18/20 21:15,Appleton area,WI,Disk,01:00,On night drive with kids joked about object hovering in sky blinking red and white for nearly an hour when we suddenly came within may
11/18/20 10:10,Sheboygan,WI,Light,10,Blinking lights at close range just over tree line blue and yellow then craft paused in air for 3 min or more emitting an orange light
11/17/20 20:00,Boscobel,WI,Triangle,5 to 10 minutes,It was a rounded triangular shape with 3 bright white lights on each corner. In the center was red light that changed to blue. The colo
11/17/20 11:45,Wausau,WI,Light,,Predominantly white flickering various colors with inconsistent movement it’s too stable on a windy night and too high to be a drone.
10/31/20 12:00,Franklin,WI,Rectangle,30-60 seconds,Large flat black rectangular shape just hanging in sky.
10/17/20 19:10,Milwaukee,WI,Light,5 minutes,A group of 3 and a singular orange spherical light came into view moving south to northeast.
10/15/20 19:35,Whitefish Bay,WI,Changing,7 minutes,Two rows of parallel lights each containing 6 lights hovering stationary in the night sky until I started taking pictures.
10/15/20 16:10,West Allis,WI,Cylinder,Still up there,A bright gold light mass that has other different colors blinking i live in West Wisconsin the object is is straight east
10/12/20 06:30,Pepin,WI,Unknown,10 minutes,I noticed this red light N about a 1/4 mile distance then just above the tree line. Then these white dots started appearing dim then gr
10/5/20 03:10,Walworth,WI,Light,30 minutes,bright star like form moving up and down
9/21/20 00:00,Newberlin,WI,Circle,1 minute,Going north on nation ave 130th looked to my left above trees line going parallel with nation ave about 200 feet off ground high rate o
9/19/20 20:07,Grafton,WI,Other,3 minutes,7 sided bright object zero sound straight flight path
9/19/20 07:30,Fond du lac,WI,Disk,5 minutes,Me and two friends were getting ready to go into a grocery store and disc shaped object with m no lights or engine sounds which lasted
9/18/20 01:00,New London,WI,Disk,6 hours,There are 4 they are all glowing red upon seeing I looked through a range finder and took pics but it been doing weird shit let alone t
9/15/20 18:21,Ojibwa,WI,Circle,30 seconds,Flying donut-shaped craft flew from West to East in an unnatural and silent manner!!
9/12/20 22:00,Middleton,WI,Light,30-60 seconds,Bright Lights 12-15 flying together moving under power much brighter than anything I have ever seen. (Starlink satellites?)
9/5/20 22:30,Pewaukee,WI,Changing,Several minutes,Bright colors with shape shifting.
9/3/20 21:15,Mukwonago,WI,Triangle,2 minutes,Triangle with 3 white lights on corners.
9/2/20 20:40,Indianford/Fulton/Edgerton,WI,Triangle,45-60 seconds,4 large white lights with 2 on either side (cross shaped) surrounded by 3 larger red lights on top left and right side
8/31/20 22:00,Beldenville,WI,Teardrop,3 minutes,first hand visual
8/30/20 20:05,Pewaukee,WI,Diamond,10 minutes,Diamond Shaped UFO Sighting on the Lake
8/17/20 22:00,Superior,WI,Light,1 hour,My husband came inside and drew on paper a zig zagged z like form and told me a light was going in those directions. I went outside wit
8/11/20 13:15,Burlington,WI,Formation,2 minutes,Don't have any answers.
8/11/20 02:30,Lake Geneva,WI,Cigar,3-5 minutes,LONG BAR WITH LIGHTS IN IT FOLLOWED BY INDIVIDUAL LIGHTS.
8/10/20 23:00,Baileys Harbor,WI,Triangle,40 minutes,To quit for human aircraft. To low and to fast for normally airplane.
8/8/20 02:35,Racine,WI,Light,1 minutes,A line of UFOs in the sky headed east toward lake Michigan. Must of been 16 square/rectangular light objects flying in close line follo
8/6/20 20:00,Janesville,WI,Other,15 minutes,Small ball
8/4/20 03:00,Madison,WI,Triangle,1.5 hours,Large triangle object/ craft emitting extremely bright light and deploying smaller lights/ objects
7/30/20 02:00,Waupaca,WI,Disk,>1 hour,It was saucer shaped with light on top and a spinning light under the craft it moved once in a while then went back to it's originating
7/27/20 22:45,La Crosse,WI,Circle,~5 minutes,Several bright circular firework like objects hung on the horizon.
7/25/20 21:00,Millston,WI,Circle,1 minute,See video! Strange humming also but is hard to here. Between millston and brf wi
7/23/20 23:30,Alvin,WI,Other,6.5 hours,On the night of July 23 2020 I arrived at the fishing camp in rural Alvin wi along with my two good friends that I have known since mid
7/17/20 22:15,Menomonee Falls,WI,Light,10 Minutes,Pulsing light near comet Neowise
7/16/20 20:05,Brown Deer,WI,Circle,8 minutes,My sister age 55 my son age 30 myself age 62 and my husband age 66 saw the object moving in the low sky coming from the southeas
7/15/20 22:00,Superior,WI,Light,~8 minutes,3 strange glowing lights stopped all street lights and followed me home.
7/15/20 18:50,Gordon,WI,Disk,~12 seconds,Driving on hwy 53 north around 6:30 pm. Mostly sunny skies the driver in the truck I was ridding in just him & me. He looks straight up
7/14/20 19:20,Brown Deer,WI,Diamond,3 minutes,My husband and I took our dogs out around 1930. We looked up to the southeast sky to see Jupiter shining bright and one star to the lef
7/13/20 22:30,Beloit,WI,Triangle,3 minutes,Perfectly still silent brightly lighted object suspended in sky
7/13/20 00:20,Hayward,WI,Triangle,1 minute,Bright White Light Slow and Silent
7/5/20 01:30,Highland,WI,Changing,2 hour,Multiple balls of color changing lights appeared over Blackhawk lake around 1:30 am. It started as 2 balls hovering over an area in fro
7/4/20 22:10,New Berlin,WI,Light,5 minutes,I went on my deck to see some fireworks and to my right flank at about a 45 degree angle were 2 of the brightest red lights just sittin
7/4/20 21:35,West Allis,WI,Sphere,5 minutes,While watching fireworks we witnessed 2 red orbs over the neighborhood to the south of us.
7/4/20 21:14,Beloit,WI,Sphere,90 seconds,While watching fireworks on the 4th of July I was treated to more than just fireworks -- a couple red glowing orbs passed overhead.
6/28/20 09:00,Madison,WI,Circle,1 minute,I was fishing at the olbrick breakwater looking to the north i saw three statonary round objects with two round objects moving around
6/28/20 09:00,Madison,WI,Circle,1 minute,While fishing on a breakwater pier on lake monona i observed five round silver objects high in the sky.three were staitonary and in a t
6/21/20 21:35,Menomonee Falls,WI,Triangle,10 minutes,Triangular craft with orange lights
6/12/20 02:00,Chippewa Falls,WI,Teardrop,10 minutes,I was drivinh down 29 towards ChippewaFalls around 2am saw a glowing blood orangish colored kinda triangle shaped but circular on the
6/1/20 21:38,De Pere,WI,Fireball,2 minutes 20 seconds,Bright “fireball” orb glides above city
6/1/20 20:30,Plymouth,WI,Circle,60 seconds,Fast circular bright white object no sound.
5/31/20 18:04,Cornell,WI,Other,5-6 seconds,Aircraft looking object moved across the sky at thousands of mile per hour!
5/21/20,Franksville,WI,Other,,Unusual round patterns prints in horse barn & horse was hurt.
5/20/20 23:30,Fontana,WI,Light,15 minutes,red/orange/yellowish flickering light white bright spherical light falling towards the ground
5/20/20 18:00,Hartland,WI,Light,30 minutes,At around the event time me and some members of my family saw a single distant light or reflective object in the sky. It wasn't movi
5/14/20 20:45,Black River Falls,WI,Triangle,2 minutes,Orange triangular craft followed by military jet
5/11/20 23:00,Presque Isle,WI,Disk,8 hours,Send up USAF and USNavy please!
5/9/20 03:36,Waukesha,WI,Light,breif,Far away dot of light intercepted a satellite. 3:35am waukesha sky.
5/7/20 21:00,Cassville,WI,Disk,2-3 hours,have this video footage from grant county wi and not sure what it is theirs 2 to 3 different crafts either drone or ufo is what I think
5/3/20 21:00,Thiensville,WI,Light,5 min,Long line of equadistant lights. ((Starlink satellites?))
5/2/20 22:00,Marinette,WI,Light,Approx 10 min,String of 17 lights even spaced moving w-e at same speed all heading to same larger light. ((Starlink satellites?))
5/1/20 20:35,Waukesha,WI,Triangle,2-3 minutes,Triangle shaped spotted by Frame Park. Disappeared from sight after getting almost underneath in car. Thought was a plane before realiz
5/1/20 08:30,Brownsville,WI,Unknown,5 minutes,Craft hovered and then moved away at a high speed. The vehicle flashed red white and green lights.
4/26/20 21:45,West Allis,WI,Circle,30 minutes,wife an I see craft over w. allis for about 30 min an then it drifted n.w. out of sight
4/26/20 21:25,Palmyra,WI,Sphere,1 minute,line of white lights travel across palmyra sky and disappear. ((Starlink satellites?))
4/26/20 21:09,Menomonee Falls,WI,Circle,1.5 minutes,Line of lights in the sky. ((Starlink satellites?))
